"","GOID","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","GOSlim"
"1","GO:0043524",0.0015834331835488,0.999460511489055,18,46,"negative regulation of neuron apoptotic process","BP","death"
"2","GO:0019221",0.0017508279647584,0.999534380276216,13,29,"cytokine-mediated signaling pathway","BP","signal transduction"
"3","GO:0045648",0.00343088575383567,0.999640400935685,6,9,"positive regulation of erythrocyte differentiation","BP","developmental processes"
"4","GO:0008217",0.00349817859851842,0.998848833038071,15,37,"regulation of blood pressure","BP","other biological processes"
"5","GO:0007269",0.00357122176648295,0.999014651075565,12,27,"neurotransmitter secretion","BP","cell-cell signaling"
"6","GO:0007166",0.00412084065835515,0.997617058775877,47,164,"cell surface receptor signaling pathway","BP","signal transduction"
"7","GO:0045454",0.00428225633642943,0.998347670331779,18,51,"cell redox homeostasis","BP","other biological processes"
"8","GO:0042554",0.00440218035038459,0.999655936969769,5,7,"superoxide anion generation","BP","other metabolic processes"
"9","GO:0010225",0.00463923522999949,0.998966329816807,9,19,"response to UV-C","BP","other biological processes"
"10","GO:0007168",0.0047267471803826,0.998970846841037,9,18,"receptor guanylyl cyclase signaling pathway","BP","signal transduction"
"11","GO:0006915",0.00493919101253185,0.996629107013129,87,347,"apoptotic process","BP","death"
"12","GO:0050793",0.0054018671667206,0.998955978435888,8,15,"regulation of developmental process","BP","other biological processes"
"13","GO:0045475",0.00629462844520819,0.999149084471412,6,10,"locomotor rhythm","BP","other biological processes"
"14","GO:0045762",0.00700883706591287,0.999028938310796,6,10,"positive regulation of adenylate cyclase activity","BP","other metabolic processes"
"15","GO:0000460",0.00820075537434786,0.998726896646295,6,11,"maturation of 5.8S rRNA","BP","RNA metabolism"
"16","GO:0060012",0.00898828206005646,0.997488170563915,10,23,"synaptic transmission, glycinergic","BP","cell-cell signaling"
"17","GO:0016049",0.00924151991928179,0.9968233770082,13,33,"cell growth","BP","other biological processes"
"18","GO:0048168",0.00953960321560377,0.998898240591884,5,8,"regulation of neuronal synaptic plasticity","BP","cell-cell signaling"
"19","GO:0007275",0.00998357806649715,0.992968645370156,87,351,"multicellular organism development","BP","developmental processes"
"20","GO:0044257",0.0103603488651615,0.998776805600648,5,8,"cellular protein catabolic process","BP","protein metabolism"
"21","GO:0042136",0.0105251860787015,0.998752079539094,5,8,"neurotransmitter biosynthetic process","BP","cell-cell signaling"
"22","GO:0048489",0.0106821439544935,0.99823701376843,6,11,"synaptic vesicle transport","BP","transport"
"23","GO:0006811",0.0108838069826159,0.995763370086568,15,42,"ion transport","BP","transport"
"24","GO:0016188",0.0116643213994958,0.998578248982587,5,8,"synaptic vesicle maturation","BP","cell organization and biogenesis"
"25","GO:0007589",0.0124140292338069,0.997877467295596,6,11,"body fluid secretion","BP","transport"
"26","GO:0043588",0.012583886419162,0.99653501654352,9,21,"skin development","BP","developmental processes"
"27","GO:0046579",0.0133338784682419,0.997168300370935,7,14,"positive regulation of Ras protein signal transduction","BP","signal transduction"
"28","GO:0006919",0.0140198758260888,0.994313173869545,15,44,"activation of cysteine-type endopeptidase activity involved in apoptotic process","BP","death"
"29","GO:0045669",0.0147088904032956,0.994783056144589,12,32,"positive regulation of osteoblast differentiation","BP","developmental processes"
"30","GO:0007568",0.014727425806952,0.992504121296462,24,80,"aging","BP","other biological processes"
"31","GO:0042542",0.0154640393337634,0.996493053020618,7,15,"response to hydrogen peroxide","BP","stress response"
"32","GO:0006869",0.0155829453482513,0.994118895521758,13,36,"lipid transport","BP","transport"
"33","GO:0007267",0.0162571455010183,0.993064297830103,16,47,"cell-cell signaling","BP","cell-cell signaling"
"34","GO:0001822",0.0164640160460617,0.991845946077669,22,70,"kidney development","BP","developmental processes"
"35","GO:0010944",0.0165337889961621,0.998454416258256,4,6,"negative regulation of transcription by competitive promoter binding","BP","RNA metabolism"
"36","GO:0021680",0.0169965940724265,0.998396843848094,4,6,"cerebellar Purkinje cell layer development","BP","developmental processes"
"37","GO:0001942",0.0172954147555004,0.993714701683351,12,32,"hair follicle development","BP","developmental processes"
"38","GO:0006401",0.0175497986531144,0.996558656275641,6,12,"RNA catabolic process","BP","RNA metabolism"
"39","GO:0046330",0.0181981855373561,0.993245472999774,12,34,"positive regulation of JNK cascade","BP","signal transduction"
"40","GO:0042417",0.0186191367294844,0.995012695097073,8,18,"dopamine metabolic process","BP","other metabolic processes"
"41","GO:0070059",0.0187568588583139,0.994868679915451,8,19,"intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress","BP","death"
"42","GO:0046578",0.0193846909910974,0.998091295083953,4,6,"regulation of Ras protein signal transduction","BP","signal transduction"
"43","GO:0014070",0.0196563632025348,0.991634657355589,15,45,"response to organic cyclic compound","BP","other biological processes"
"44","GO:0055016",0.0197356292528675,0.998045235457155,4,6,"hypochord development","BP","developmental processes"
"45","GO:0001840",0.0197356292528675,0.998045235457155,4,6,"neural plate development","BP","developmental processes"
"46","GO:0048337",0.0197356292528675,0.998045235457155,4,6,"positive regulation of mesodermal cell fate specification","BP","developmental processes"
"47","GO:0042663",0.0197356292528675,0.998045235457155,4,6,"regulation of endodermal cell fate specification","BP","other biological processes"
"48","GO:0021523",0.0197356292528675,0.998045235457155,4,6,"somatic motor neuron differentiation","BP","developmental processes"
"49","GO:0021531",0.0197356292528675,0.998045235457155,4,6,"spinal cord radial glial cell differentiation","BP","developmental processes"
"50","GO:0051966",0.0208724722250072,0.993603319721227,9,22,"regulation of synaptic transmission, glutamatergic","BP","cell-cell signaling"
"51","GO:0034097",0.0219178083897472,0.992094392007179,11,30,"response to cytokine","BP","other biological processes"
"52","GO:0050768",0.0219423508107516,0.992147184797197,11,29,"negative regulation of neurogenesis","BP","developmental processes"
"53","GO:0002315",0.0221206627786691,0.994577021961254,7,15,"marginal zone B cell differentiation","BP","developmental processes"
"54","GO:0050728",0.0228714707181893,0.988847509725177,19,63,"negative regulation of inflammatory response","BP","stress response"
"55","GO:0043408",0.023407908934324,0.991950458509082,10,27,"regulation of MAPK cascade","BP","signal transduction"
"56","GO:0001709",0.0234849092166778,0.992642753216522,9,22,"cell fate determination","BP","other biological processes"
"57","GO:0007517",0.0239496135955526,0.98949668306511,15,46,"muscle organ development","BP","developmental processes"
"58","GO:0001890",0.0240760672620974,0.993075847214016,8,19,"placenta development","BP","developmental processes"
"59","GO:0031018",0.025168566765915,0.993479347314027,7,16,"endocrine pancreas development","BP","developmental processes"
"60","GO:0030948",0.0255512398712719,0.995380861876689,5,10,"negative regulation of vascular endothelial growth factor receptor signaling pathway","BP","signal transduction"
"61","GO:0015718",0.0257861424821657,0.990378880121814,11,31,"monocarboxylic acid transport","BP","transport"
"62","GO:0042421",0.0263862291647244,0.994049155541756,6,13,"norepinephrine biosynthetic process","BP","other metabolic processes"
"63","GO:0048863",0.027124460745381,0.99200710418204,8,19,"stem cell differentiation","BP","other biological processes"
"64","GO:0006826",0.0272796806489051,0.996429316499151,4,7,"iron ion transport","BP","transport"
"65","GO:0021762",0.0275008641681264,0.996390703239707,4,7,"substantia nigra development","BP","developmental processes"
"66","GO:0016578",0.0300126909482165,0.995944561399876,4,7,"histone deubiquitination","BP","cell organization and biogenesis"
"67","GO:0033962",0.0300413123069427,0.994315053872977,5,10,"P-body assembly","BP","cell organization and biogenesis"
"68","GO:0009060",0.0302715534824547,0.992713292147866,6,14,"aerobic respiration","BP","other metabolic processes"
"69","GO:0048771",0.0306570907814568,0.990584009364678,8,20,"tissue remodeling","BP","other biological processes"
"70","GO:0046426",0.0307516770877712,0.994141730258425,5,10,"negative regulation of receptor signaling pathway via JAK-STAT","BP","signal transduction"
"71","GO:0043114",0.0310019377744218,0.992720993092701,6,13,"regulation of vascular permeability","BP","other biological processes"
"72","GO:0048596",0.0312961897713226,0.994008035026833,5,10,"embryonic camera-type eye morphogenesis","BP","developmental processes"
"73","GO:0034356",0.0315627619559198,0.99394232024696,5,10,"NAD biosynthesis via nicotinamide riboside salvage pathway","BP","other metabolic processes"
"74","GO:0010942",0.0316781336534413,0.991169261199866,7,17,"positive regulation of cell death","BP","death"
"75","GO:0010719",0.0318889901910858,0.995602387135552,4,7,"negative regulation of epithelial to mesenchymal transition","BP","cell organization and biogenesis"
"76","GO:0031016",0.0320940225651009,0.990048699126457,8,20,"pancreas development","BP","developmental processes"
"77","GO:0048265",0.0322043343119682,0.993783459166766,5,10,"response to pain","BP","stress response"
"78","GO:0060718",0.0322328227300912,0.99553887925113,4,7,"chorionic trophoblast cell differentiation","BP","other biological processes"
"79","GO:0006855",0.0324454714170679,0.992294053443553,6,13,"xenobiotic transmembrane transport","BP","transport"
"80","GO:0046847",0.0345127392641336,0.993203814445504,5,10,"filopodium assembly","BP","cell organization and biogenesis"
"81","GO:0040018",0.035056408613762,0.986942369329407,10,28,"positive regulation of multicellular organism growth","BP","other biological processes"
"82","GO:0060487",0.0351353805505634,0.994993096089927,4,7,"lung epithelial cell differentiation","BP","developmental processes"
"83","GO:0060279",0.0355119467888909,0.994921044837004,4,7,"positive regulation of ovulation","BP","other biological processes"
"84","GO:0007521",0.036977361460959,0.990920192713863,6,13,"muscle cell fate determination","BP","developmental processes"
"85","GO:0006182",0.0376800431123657,0.984236494718402,12,35,"cGMP biosynthetic process","BP","other metabolic processes"
"86","GO:0060079",0.038623987557609,0.988734215359683,7,17,"excitatory postsynaptic potential","BP","cell-cell signaling"
"87","GO:0046331",0.0392602074778996,0.982091540792389,14,43,"lateral inhibition","BP","cell-cell signaling"
"88","GO:0007612",0.0397044639252265,0.982516601657938,13,39,"learning","BP","other biological processes"
"89","GO:0032469",0.0403636855270061,0.991266464759606,5,11,"endoplasmic reticulum calcium ion homeostasis","BP","other biological processes"
"90","GO:0045316",0.0407324517104059,0.991582250822376,5,10,"negative regulation of compound eye photoreceptor development","BP","developmental processes"
"91","GO:0009608",0.0407517259455017,0.991577095843105,5,10,"response to symbiont","BP","other biological processes"
"92","GO:0009952",0.0418640890874189,0.980719797146157,14,43,"anterior/posterior pattern specification","BP","developmental processes"
"93","GO:0007218",0.0425327130547411,0.976355598706137,22,78,"neuropeptide signaling pathway","BP","signal transduction"
"94","GO:0006334",0.0431992273303672,0.983049432101666,10,30,"nucleosome assembly","BP","cell organization and biogenesis"
"95","GO:0045785",0.0436517692902802,0.986668026327742,7,18,"positive regulation of cell adhesion","BP","cell adhesion"
"96","GO:0000272",0.0437913852703926,0.988422957158372,6,14,"polysaccharide catabolic process","BP","other metabolic processes"
"97","GO:0051262",0.0442763498057944,0.983792200832529,9,25,"protein tetramerization","BP","cell organization and biogenesis"
"98","GO:0009887",0.0456445306628939,0.978628596750797,14,44,"animal organ morphogenesis","BP","developmental processes"
"99","GO:0030212",0.0472747806849368,0.989286563329645,5,11,"hyaluronan metabolic process","BP","other metabolic processes"
"100","GO:0006650",0.0489449690192916,0.991388077796248,4,8,"glycerophospholipid metabolic process","BP","other metabolic processes"
"101","GO:0046928",0.049897811949727,0.988509663506177,5,11,"regulation of neurotransmitter secretion","BP","cell-cell signaling"
