,GOID,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,ontology,GOSlim
95,GO:0045785,0.043651769,0.986668026,7,18,positive regulation of cell adhesion,BP,biological regulation
75,GO:0010719,0.03188899,0.995602387,4,7,negative regulation of epithelial to mesenchymal transition,BP,biological regulation
5,GO:0007269,0.003571222,0.999014651,12,27,neurotransmitter secretion,BP,biological regulation
18,GO:0048168,0.009539603,0.998898241,5,8,regulation of neuronal synaptic plasticity,BP,biological regulation
50,GO:0051966,0.020872472,0.99360332,9,22,"regulation of synaptic transmission, glutamatergic",BP,biological regulation
86,GO:0060079,0.038623988,0.988734215,7,17,excitatory postsynaptic potential,BP,biological regulation
101,GO:0046928,0.049897812,0.988509664,5,11,regulation of neurotransmitter secretion,BP,biological regulation
29,GO:0045669,0.01470889,0.994783056,12,32,positive regulation of osteoblast differentiation,BP,biological regulation
46,GO:0048337,0.019735629,0.998045235,4,6,positive regulation of mesodermal cell fate specification,BP,biological regulation
52,GO:0050768,0.021942351,0.992147185,11,29,negative regulation of neurogenesis,BP,biological regulation
90,GO:0045316,0.040732452,0.991582251,5,10,negative regulation of compound eye photoreceptor development,BP,biological regulation
4,GO:0008217,0.003498179,0.998848833,15,37,regulation of blood pressure,BP,biological regulation
12,GO:0050793,0.005401867,0.998955978,8,15,regulation of developmental process,BP,biological regulation
47,GO:0042663,0.019735629,0.998045235,4,6,regulation of endodermal cell fate specification,BP,biological regulation
71,GO:0043114,0.031001938,0.992720993,6,13,regulation of vascular permeability,BP,biological regulation
81,GO:0040018,0.035056409,0.986942369,10,28,positive regulation of multicellular organism growth,BP,biological regulation
83,GO:0060279,0.035511947,0.994921045,4,7,positive regulation of ovulation,BP,biological regulation
6,GO:0007166,0.004120841,0.997617059,47,164,cell surface receptor signaling pathway,BP,biological regulation
10,GO:0007168,0.004726747,0.998970847,9,18,receptor guanylyl cyclase signaling pathway,BP,biological regulation
27,GO:0046579,0.013333878,0.9971683,7,14,positive regulation of Ras protein signal transduction,BP,biological regulation
39,GO:0046330,0.018198186,0.993245473,12,34,positive regulation of JNK cascade,BP,biological regulation
42,GO:0046578,0.019384691,0.998091295,4,6,regulation of Ras protein signal transduction,BP,biological regulation
55,GO:0043408,0.023407909,0.991950459,10,27,regulation of MAPK cascade,BP,biological regulation
60,GO:0030948,0.02555124,0.995380862,5,10,negative regulation of vascular endothelial growth factor receptor signaling pathway,BP,biological regulation
70,GO:0046426,0.030751677,0.99414173,5,10,negative regulation of receptor signaling pathway via JAK-STAT,BP,biological regulation
93,GO:0007218,0.042532713,0.976355599,22,78,neuropeptide signaling pathway,BP,biological regulation
24,GO:0016188,0.011664321,0.998578249,5,8,synaptic vesicle maturation,BP,cellular process
67,GO:0033962,0.030041312,0.994315054,5,10,P-body assembly,BP,cellular process
80,GO:0046847,0.034512739,0.993203814,5,10,filopodium assembly,BP,cellular process
94,GO:0006334,0.043199227,0.983049432,10,30,nucleosome assembly,BP,cellular process
97,GO:0051262,0.04427635,0.983792201,9,25,protein tetramerization,BP,cellular process
16,GO:0060012,0.008988282,0.997488171,10,23,"synaptic transmission, glycinergic",BP,cellular process
33,GO:0007267,0.016257146,0.993064298,16,47,cell-cell signaling,BP,cellular process
87,GO:0046331,0.039260207,0.982091541,14,43,lateral inhibition,BP,cellular process
48,GO:0021523,0.019735629,0.998045235,4,6,somatic motor neuron differentiation,BP,cellular process
49,GO:0021531,0.019735629,0.998045235,4,6,spinal cord radial glial cell differentiation,BP,cellular process
82,GO:0060487,0.035135381,0.994993096,4,7,lung epithelial cell differentiation,BP,cellular process
84,GO:0007521,0.036977361,0.990920193,6,13,muscle cell fate determination,BP,cellular process
17,GO:0016049,0.00924152,0.996823377,13,33,cell growth,BP,cellular process
56,GO:0001709,0.023484909,0.992642753,9,22,cell fate determination,BP,cellular process
63,GO:0048863,0.027124461,0.992007104,8,19,stem cell differentiation,BP,cellular process
78,GO:0060718,0.032232823,0.995538879,4,7,chorionic trophoblast cell differentiation,BP,cellular process
1,GO:0043524,0.001583433,0.999460511,18,46,negative regulation of neuron apoptotic process,BP,death
11,GO:0006915,0.004939191,0.996629107,87,347,apoptotic process,BP,death
28,GO:0006919,0.014019876,0.994313174,15,44,activation of cysteine-type endopeptidase activity involved in apoptotic process,BP,death
41,GO:0070059,0.018756859,0.99486868,8,19,intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress,BP,death
74,GO:0010942,0.031678134,0.991169261,7,17,positive regulation of cell death,BP,death
19,GO:0007275,0.009983578,0.992968645,87,351,multicellular organism development,BP,developmental processes
26,GO:0043588,0.012583886,0.996535017,9,21,skin development,BP,developmental processes
34,GO:0001822,0.016464016,0.991845946,22,70,kidney development,BP,developmental processes
36,GO:0021680,0.016996594,0.998396844,4,6,cerebellar Purkinje cell layer development,BP,developmental processes
37,GO:0001942,0.017295415,0.993714702,12,32,hair follicle development,BP,developmental processes
44,GO:0055016,0.019735629,0.998045235,4,6,hypochord development,BP,developmental processes
45,GO:0001840,0.019735629,0.998045235,4,6,neural plate development,BP,developmental processes
57,GO:0007517,0.023949614,0.989496683,15,46,muscle organ development,BP,developmental processes
58,GO:0001890,0.024076067,0.993075847,8,19,placenta development,BP,developmental processes
59,GO:0031018,0.025168567,0.993479347,7,16,endocrine pancreas development,BP,developmental processes
65,GO:0021762,0.027500864,0.996390703,4,7,substantia nigra development,BP,developmental processes
72,GO:0048596,0.03129619,0.994008035,5,10,embryonic camera-type eye morphogenesis,BP,developmental processes
76,GO:0031016,0.032094023,0.990048699,8,20,pancreas development,BP,developmental processes
