gene,log2FoldChange,description
LOC105321376,5.67358790108704,uncharacterized protein LOC105321376
LOC105348059,3.70627078597481,uncharacterized protein LOC105348059
LOC109619112,3.57522949005158,uncharacterized protein LOC109619112
LOC105323935,3.322569164517,uncharacterized protein LOC105323935
LOC105339383,3.10304860482752,uncharacterized protein LOC105339383
LOC117687133,2.99697159340995,uncharacterized protein LOC117687133 isoform X2
LOC105329989,2.63937649349658,uncharacterized protein LOC105329989
LOC105342641,2.62647312594578,uncharacterized protein LOC105342641
LOC117685363,2.59346537039116,uncharacterized protein LOC117685363
LOC117681755,2.55190865983954,uncharacterized protein LOC117681755 isoform X3
LOC117683439,2.52903377127186,uncharacterized G-patch domain protein DDB_G0278987-like
LOC117688741,2.42516013622842,uncharacterized protein LOC117688741
LOC105325816,2.41669169700114,uncharacterized protein LOC105325816
LOC117687720,2.32270832390044,uncharacterized protein LOC117687720
LOC105329159,2.21345253438772,uncharacterized protein LOC105329159
LOC117692019,2.20126318072065,uncharacterized protein LOC117692019
LOC105318474,2.19330977006122,uncharacterized protein LOC105318474
LOC105346227,2.183895501339,uncharacterized protein LOC105346227
LOC105341672,2.06332756860317,uncharacterized protein LOC105341672 isoform X2
LOC117683248,2.03156001346443,uncharacterized protein LOC117683248
LOC105339624,1.98787991483627,uncharacterized protein LOC105339624
LOC105322775,1.97293809758073,uncharacterized protein LOC105322775
LOC117690809,1.94245059831881,uncharacterized protein LOC117690809 isoform X1
LOC105331986,1.91658218912811,uncharacterized protein LOC105331986
LOC117692861,1.90959823150341,uncharacterized protein LOC117692861
LOC105321759,1.88887681476955,uncharacterized protein LOC105321759
LOC109617341,1.79480883028765,uncharacterized protein LOC109617341
LOC117689886,1.78533736425437,uncharacterized protein LOC117689886
LOC105318683,1.77717430273387,uncharacterized protein LOC105318683
LOC105327620,1.72401395010753,uncharacterized protein LOC105327620 isoform X1
LOC105326485,1.7150213252484,uncharacterized protein LOC105326485
LOC117688097,1.68344948675281,uncharacterized protein LOC117688097
LOC105338148,1.68323977141448,uncharacterized protein LOC105338148 isoform X3
LOC105329988,1.66972575319406,uncharacterized protein LOC105329988
LOC105330545,1.6654580805535,uncharacterized protein LOC105330545
LOC105347632,1.6540488960545,uncharacterized protein LOC105347632 isoform X1
LOC117684232,1.5922915584952,uncharacterized protein LOC117684232
LOC105335204,1.55573341440686,uncharacterized PE-PGRS family protein PE_PGRS54
LOC105330650,1.54457731504526,uncharacterized protein LOC105330650 isoform X3
LOC117692823,-1.54777143760192,uncharacterized protein LOC117692823
LOC105344530,-1.55411831482459,uncharacterized protein LOC105344530
LOC105324030,-1.56602870136514,uncharacterized protein LOC105324030 isoform X1
LOC117688698,-1.57113536092537,uncharacterized protein LOC117688698
LOC117690710,-1.61469428658966,uncharacterized protein LOC117690710
LOC105317048,-1.62816351306725,uncharacterized protein LOC105317048
LOC117683972,-1.6517735060199,uncharacterized protein LOC117683972
LOC105332641,-1.79807306813367,uncharacterized protein LOC105332641
LOC117687807,-1.92647043529282,uncharacterized protein LOC117687807
LOC117685458,-1.93928800154247,uncharacterized protein LOC117685458
LOC109619835,-1.95620529685129,uncharacterized protein LOC109619835
LOC105343671,-2.00810045949954,uncharacterized protein LOC105343671
LOC117691374,-2.1118628652778,uncharacterized protein LOC117691374
LOC117680401,-2.23193215012087,uncharacterized protein LOC117680401
LOC105330059,-2.35646195509747,uncharacterized protein LOC105330059 isoform X1
LOC117687810,-2.38726033759509,uncharacterized protein LOC117687810
