gene,log2FoldChange,description
LOC105335843,5.87077157112889,myosin-3
LOC105324285,4.64960840942565,patched domain-containing protein 3-like
LOC105337690,4.5878888327634,atrial natriuretic peptide receptor 1
LOC105337143,4.10748623058004,perlucin-like protein
LOC105346178,4.04615209197585,acetylcholinesterase-like isoform X1
LOC105341313,3.89758093829308,protein ALP1-like
LOC117684541,3.83838652873125,heat shock protein 68-like
LOC105320429,3.71233064643461,histone H3
LOC105343542,3.65054094822065,alpha-mannosidase 2x-like
LOC117682793,3.52782637818843,nucleolar protein dao-5-like isoform X1
LOC117687453,3.50033065966642,alpha-mannosidase 2x-like
LOC105321434,3.37007023551386,perlucin-like protein
LOC105338289,3.33466590775408,bcl-2-associated transcription factor 1-like
LOC105330135,3.29986384277949,potassium voltage-gated channel protein Shaw
LOC117689418,3.28498317669976,translation initiation factor IF-2-like
LOC105342592,3.21235775470542,sulfotransferase 1 family member D1
LOC105329018,3.20086531156639,perlucin-like
LOC105341995,3.10767736367379,neurotrypsin isoform X1
LOC117689920,3.059178367732,P-selectin-like
LOC105328933,3.02242430134298,low-density lipoprotein receptor-related protein 4
LOC105323226,3.00053799867748,FK506-binding protein 2
LOC117688384,2.97345779916001,multiple epidermal growth factor-like domains protein 10
LOC105348616,2.9363803181779,protein mesh
LOC105348613,2.9067186047158,ganglioside GM2 activator-like isoform X2
LOC105338509,2.84387274204401,gonadotropin-releasing hormone II receptor
LOC105330102,2.82038857801791,cytochrome P450 4F12
LOC105338617,2.79418991466028,LOW QUALITY PROTEIN: rotatin
LOC105324826,2.75841452417792,tyrosinase-like protein 1
LOC105337262,2.73502017622321,multiple epidermal growth factor-like domains protein 6
LOC117688484,2.73040094095436,fucolectin-1-like
LOC105324728,2.72004519386967,cytochrome P450 2D20
LOC105348202,2.70665253590833,DNA polymerase nu isoform X1
LOC117692625,2.6621158438449,zinc finger protein 182-like
LOC105318825,2.66163062579299,serine/arginine repetitive matrix protein 1 isoform X2
LOC105343679,2.64604804344054,solute carrier family 22 member 15-like isoform X1
LOC105341789,2.6330396920903,A disintegrin and metalloproteinase with thrombospondin motifs 6
LOC117691482,2.60743910098524,perlucin-like isoform X2
LOC117692398,2.600795025089,histone H4
LOC105320234,2.59779764227246,angiopoietin-4-like
LOC105336368,2.591397859553,protein PIF-like
LOC105325465,2.57095003078056,stimulated by retinoic acid gene 6 protein-like
LOC105317300,2.55944422792345,high choriolytic enzyme 1
LOC117691654,2.55414852310516,perlucin-like protein
LOC109621217,2.55098639822404,fibropellin-1
LOC105336862,2.53905557311094,protein SpAN-like
LOC117681100,2.5330615238911,von Willebrand factor D and EGF domain-containing protein-like
LOC105337729,2.529712831898,protein Wnt-7b isoform X4
LOC105330239,2.52676010221353,putative cuticle collagen 75
LOC105320474,2.5233358819535,ecdysone receptor isoform X1
LOC105318064,2.52128330440261,LOW QUALITY PROTEIN: alkaline phosphatase, tissue-nonspecific isozyme
LOC105320731,2.51544356229049,cadherin-23
LOC105344805,2.5135229672676,QRFP-like peptide receptor
LOC117688518,2.49907291416501,fucolectin-5-like
LOC105327693,2.45844374675574,transcription factor 15
LOC117682693,2.45791689032208,multiple epidermal growth factor-like domains protein 10
LOC105345562,2.45382776911332,multiple epidermal growth factor-like domains protein 11
LOC105344624,2.42232285080363,dual 3',5'-cyclic-AMP and -GMP phosphodiesterase 11A isoform X2
LOC105320489,2.41827763762287,formin-like protein 14
LOC105319776,2.41764283991723,integumentary mucin C.1
LOC117680333,2.4098929766911,protein FAM124A-like
LOC105340334,2.39166366680715,thymidine kinase, cytosolic isoform X1
LOC105338525,2.38889974513691,probable G-protein coupled receptor B0563.6
LOC105336363,2.3868018985047,relaxin receptor 2
LOC117691483,2.38615729569139,perlucin-like
LOC105340623,2.38354442537499,solute carrier organic anion transporter family member 4A1 isoform X1
LOC105327493,2.37524523878824,solute carrier organic anion transporter family member 4A1
LOC105325538,2.36837943255173,caveolin-1
LOC105340578,2.35427406360218,metabotropic glutamate receptor 3
LOC117688485,2.35089405787826,fucolectin-1-like
LOC117690522,2.33528143385622,brain tumor protein-like
LOC105348538,2.33409012223019,sperm receptor for egg jelly
LOC105332686,2.32901205979987,unconventional myosin-XVI isoform X2
LOC105338785,2.31959210788087,transmembrane protein 65
LOC105327609,2.31882129678995,cilia- and flagella-associated protein 300
LOC105348432,2.3010462595683,kelch-like protein 12
LOC117687299,2.29817809289987,myristoylated alanine-rich C-kinase substrate-like
LOC105321801,2.29202522197402,multiple epidermal growth factor-like domains protein 11
LOC105336312,2.28152608768687,tryptophan 5-hydroxylase 1
LOC105336684,2.26873412183176,collagen alpha-4(VI) chain
LOC105320024,2.26290295259738,kunitz-type serine protease inhibitor BmKTT-3-like
LOC105317867,2.24654432423464,growth hormone secretagogue receptor type 1
LOC105318776,2.24124843619472,organic cation transporter protein-like
LOC117686979,2.23037293151805,salivary glue protein Sgs-3-like
LOC105323056,2.22300227496604,temptin
LOC105335573,2.21370682462699,probable alpha-ketoglutarate-dependent hypophosphite dioxygenase
LOC105343702,2.21345201822125,sodium- and chloride-dependent glycine transporter 1
LOC117692024,2.2106439509104,protein THYLAKOID RHODANESE-LIKE, chloroplastic-like
LOC105330061,2.20388688463695,GRAM domain-containing protein 4 isoform X1
LOC105338917,2.19935304903182,homeobox protein ceh-32
LOC105321226,2.19439392673046,epidermal growth factor receptor isoform X1
LOC105340562,2.19019898946168,C-X-C chemokine receptor type 2
LOC105318999,2.18966732308133,WD repeat-containing protein 37 isoform X1
LOC105347081,2.18941953480623,BTB/POZ domain-containing protein 17
LOC105323253,2.18775450192036,FMRFamide receptor
LOC105321903,2.17966650077992,failed axon connections homolog
LOC105317762,2.17304055924311,paired mesoderm homeobox protein 2
LOC105326042,2.16827968127992,substance-K receptor
LOC117682108,2.16612867618317,paired mesoderm homeobox protein 2-like
LOC117685548,2.14529137349198,putative nuclease HARBI1
LOC105332147,2.13015120291346,latent-transforming growth factor beta-binding protein 2
LOC105342692,2.12978176293329,methylthioribulose-1-phosphate dehydratase
LOC105342723,2.12835254595011,meiosis 1 arrest protein isoform X1
LOC105332601,2.12668912272352,motor neuron and pancreas homeobox protein 1
LOC105327401,2.1266256076628,collagen alpha-1(XII) chain isoform X2
LOC105318991,2.12513591836097,sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1-like
LOC105340378,2.11960932553356,CD109 antigen isoform X5
LOC105331186,2.11717760801016,tyrosinase-like protein 2
LOC117682500,2.10970292074614,putative nuclease HARBI1
LOC117690815,2.0843904627167,translation initiation factor IF-2-like isoform X1
LOC105335241,2.08084623233344,LIM/homeobox protein Lhx3-like
LOC105318208,2.07473365822782,glycine N-acyltransferase-like protein 3
LOC117692806,2.0723244973413,atrial natriuretic peptide receptor 2-like
LOC117687324,2.07110656001582,fucolectin-1-like
LOC105322986,2.05948816183055,spidroin-1-like
LOC105340204,2.05497933419225,5-hydroxytryptamine receptor 6-like
LOC105320146,2.04625182659666,synaptotagmin-7
LOC105321102,2.04026593276627,paired box protein Pax-6 isoform X1
LOC105346330,2.03646287511218,growth hormone secretagogue receptor type 1
LOC105340338,2.03115353062443,CB1 cannabinoid receptor-interacting protein 1
LOC117689959,2.02723915167697,uromodulin-like
LOC105319354,2.01509746900873,protein amnionless-like isoform X1
LOC105339278,2.00221056998063,brain tumor protein
LOC117692888,1.99658464548384,ATP-dependent DNA helicase Q-like SIM
LOC105332085,1.99357343551084,FMRFamide receptor
LOC117692687,1.99008584946217,salivary glue protein Sgs-3-like
LOC117688377,1.98558497345389,angiopoietin-1 receptor-like
LOC105323111,1.98529814990404,calcium-responsive transcription factor
LOC105318527,1.98450722557406,L-galactose dehydrogenase
LOC105345936,1.97454381321665,peroxiredoxin-5, mitochondrial
LOC105317730,1.97255081477868,neurogenic locus notch homolog protein 1
LOC117688291,1.97225233162049,integumentary mucin C.1-like
LOC105345968,1.9720235544943,prostaglandin E2 receptor EP4 subtype
LOC105326052,1.97165274046968,protein GDAP2 homolog isoform X1
LOC105322681,1.96154762515366,barrier-to-autointegration factor
LOC105329802,1.9610726975599,guanylate cyclase 32E-like isoform X1
LOC105346541,1.94864131237079,calcitonin gene-related peptide type 1 receptor-like
LOC109620163,1.94488245084241,cystatin-A
