GO.ID,Term,Annotated,Significant,Expected,classic
GO:0007204,positive regulation of cytosolic calcium...,388,7,1.07,0.00010
GO:0001501,skeletal system development,842,10,2.32,0.00011
GO:0006970,response to osmotic stress,170,5,0.47,0.00011
GO:0030208,dermatan sulfate biosynthetic process,6,2,0.02,0.00011
GO:1901879,regulation of protein depolymerization,171,5,0.47,0.00011
GO:0044106,cellular amine metabolic process,173,5,0.48,0.00012
GO:1901222,regulation of NIK/NF-kappaB signaling,92,4,0.25,0.00013
GO:0000165,MAPK cascade,1220,12,3.37,0.00013
GO:0060544,regulation of necroptotic process,95,4,0.26,0.00014
GO:0062098,regulation of programmed necrotic cell d...,95,4,0.26,0.00014
GO:1901565,organonitrogen compound catabolic proces...,1847,15,5.1,0.00014
GO:0006637,acyl-CoA metabolic process,96,4,0.26,0.00015
GO:0035383,thioester metabolic process,96,4,0.26,0.00015
GO:0009308,amine metabolic process,183,5,0.5,0.00016
GO:0050651,dermatan sulfate proteoglycan biosynthet...,7,2,0.02,0.00016
GO:1901621,negative regulation of smoothened signal...,7,2,0.02,0.00016
GO:0070936,protein K48-linked ubiquitination,98,4,0.27,0.00016
GO:0043410,positive regulation of MAPK cascade,426,7,1.18,0.00018
GO:0023061,signal release,730,9,2.01,0.00018
GO:0048705,skeletal system morphogenesis,300,6,0.83,0.00019
GO:0050900,leukocyte migration,300,6,0.83,0.00019
GO:0006032,chitin catabolic process,40,3,0.11,0.00019
GO:0070266,necroptotic process,102,4,0.28,0.00019
GO:0009628,response to abiotic stimulus,2112,16,5.83,0.00019
GO:0050793,regulation of developmental process,3814,23,10.52,0.00019
GO:0045596,negative regulation of cell differentiat...,905,10,2.5,0.00019
GO:0014074,response to purine-containing compound,304,6,0.84,0.00020
GO:0098586,cellular response to virus,104,4,0.29,0.00020
GO:0001959,regulation of cytokine-mediated signalin...,105,4,0.29,0.00021
GO:1901072,glucosamine-containing compound cataboli...,42,3,0.12,0.00022
GO:0010939,regulation of necrotic cell death,106,4,0.29,0.00022
GO:0006952,defense response,1921,15,5.3,0.00022
GO:0033209,tumor necrosis factor-mediated signaling...,107,4,0.3,0.00022
GO:0007601,visual perception,311,6,0.86,0.00022
GO:0031349,positive regulation of defense response,312,6,0.86,0.00023
GO:0000209,protein polyubiquitination,444,7,1.23,0.00023
GO:0034121,regulation of toll-like receptor signali...,110,4,0.3,0.00025
GO:0048871,multicellular organismal homeostasis,454,7,1.25,0.00026
GO:0060759,regulation of response to cytokine stimu...,112,4,0.31,0.00027
GO:0030154,cell differentiation,7062,34,19.49,0.00029
GO:0043244,regulation of protein-containing complex...,210,5,0.58,0.00029
GO:0097300,programmed necrotic cell death,115,4,0.32,0.00029
GO:0006513,protein monoubiquitination,117,4,0.32,0.00031
GO:0097340,inhibition of cysteine-type endopeptidas...,117,4,0.32,0.00031
GO:0097341,zymogen inhibition,117,4,0.32,0.00031
GO:1990001,inhibition of cysteine-type endopeptidas...,117,4,0.32,0.00031
GO:0009967,positive regulation of signal transducti...,1767,14,4.88,0.00032
GO:0050953,sensory perception of light stimulus,332,6,0.92,0.00032
GO:0006030,chitin metabolic process,48,3,0.13,0.00032
GO:0048869,cellular developmental process,7098,34,19.59,0.00032
GO:1901620,regulation of smoothened signaling pathw...,10,2,0.03,0.00033
GO:0023051,regulation of signaling,4780,26,13.19,0.00033
GO:0002753,cytoplasmic pattern recognition receptor...,119,4,0.33,0.00034
GO:0051261,protein depolymerization,217,5,0.6,0.00034
GO:0010646,regulation of cell communication,4788,26,13.21,0.00034
GO:0061003,positive regulation of dendritic spine m...,50,3,0.14,0.00036
GO:0051480,regulation of cytosolic calcium ion conc...,479,7,1.32,0.00036
GO:0046348,amino sugar catabolic process,52,3,0.14,0.00041
GO:0051216,cartilage development,226,5,0.62,0.00041
GO:0070265,necrotic cell death,126,4,0.35,0.00042
GO:0007043,cell-cell junction assembly,228,5,0.63,0.00043
GO:0046785,microtubule polymerization,229,5,0.63,0.00044
GO:0010977,negative regulation of neuron projection...,230,5,0.63,0.00045
GO:1902532,negative regulation of intracellular sig...,825,9,2.28,0.00045
GO:0030205,dermatan sulfate metabolic process,12,2,0.03,0.00049
GO:0060831,smoothened signaling pathway involved in...,12,2,0.03,0.00049
GO:0010955,negative regulation of protein processin...,132,4,0.36,0.00050
GO:1903318,negative regulation of protein maturatio...,132,4,0.36,0.00050
GO:0009409,response to cold,56,3,0.15,0.00051
GO:0050655,dermatan sulfate proteoglycan metabolic ...,13,2,0.04,0.00058
GO:0070162,adiponectin secretion,13,2,0.04,0.00058
GO:0070163,regulation of adiponectin secretion,13,2,0.04,0.00058
GO:0070165,positive regulation of adiponectin secre...,13,2,0.04,0.00058
GO:0030072,peptide hormone secretion,382,6,1.05,0.00067
GO:0009966,regulation of signal transduction,4178,23,11.53,0.00071
GO:0030308,negative regulation of cell growth,145,4,0.4,0.00071
GO:0051129,negative regulation of cellular componen...,1076,10,2.97,0.00075
GO:0002790,peptide secretion,394,6,1.09,0.00078
GO:0046683,response to organophosphorus,264,5,0.73,0.00083
GO:0062207,regulation of pattern recognition recept...,152,4,0.42,0.00084
GO:1901606,alpha-amino acid catabolic process,152,4,0.42,0.00084
GO:1901071,glucosamine-containing compound metaboli...,68,3,0.19,0.00089
GO:0006816,calcium ion transport,559,7,1.54,0.00090
GO:0061448,connective tissue development,272,5,0.75,0.00095
GO:0048583,regulation of response to stimulus,5406,27,14.92,0.00097
GO:0035356,cellular triglyceride homeostasis,17,2,0.05,0.00100
GO:0070613,regulation of protein processing,159,4,0.44,0.00100
GO:0033500,carbohydrate homeostasis,275,5,0.76,0.00100
GO:0042593,glucose homeostasis,275,5,0.76,0.00100
GO:1901575,organic substance catabolic process,2960,18,8.17,0.00102
GO:0038061,NIK/NF-kappaB signaling,160,4,0.44,0.00102
GO:1903317,regulation of protein maturation,162,4,0.45,0.00107
GO:0022408,negative regulation of cell-cell adhesio...,280,5,0.77,0.00108
GO:0015833,peptide transport,420,6,1.16,0.00109
GO:0051301,cell division,1551,12,4.28,0.00109
GO:0080134,regulation of response to stress,1776,13,4.9,0.00111
GO:0071638,negative regulation of monocyte chemotac...,18,2,0.05,0.00112
GO:0006022,aminoglycan metabolic process,285,5,0.79,0.00117
GO:0002682,regulation of immune system process,1569,12,4.33,0.00121
GO:0060348,bone development,429,6,1.18,0.00121
