,GOID,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,ontology,GOSlim
7,GO:0048681,0.002690125,0.999942247,2,12,negative regulation of axon regeneration,BP,biological regulation
8,GO:0048259,0.002806968,0.999937697,2,13,regulation of receptor-mediated endocytosis,BP,biological regulation
32,GO:0010977,0.029846866,0.997550293,2,32,negative regulation of neuron projection development,BP,biological regulation
37,GO:0048671,0.039075225,0.999359229,1,6,negative regulation of collateral sprouting,BP,biological regulation
59,GO:0034384,0.044235519,0.999153894,1,7,high-density lipoprotein particle clearance,BP,biological regulation
64,GO:0048679,0.045433385,0.999107025,1,7,regulation of axon regeneration,BP,biological regulation
66,GO:0050765,0.045849989,0.999115359,1,6,negative regulation of phagocytosis,BP,biological regulation
6,GO:0032228,0.002575584,0.999947579,2,10,"regulation of synaptic transmission, GABAergic",BP,biological regulation
13,GO:0070165,0.008597855,0.999668793,2,11,positive regulation of adiponectin secretion,BP,biological regulation
17,GO:0007269,0.014356777,0.999207819,2,27,neurotransmitter secretion,BP,biological regulation
28,GO:0048337,0.028146476,0.999668989,1,6,positive regulation of mesodermal cell fate specification,BP,biological regulation
45,GO:0045685,0.041497985,0.9992766,1,6,regulation of glial cell differentiation,BP,biological regulation
50,GO:0031642,0.042276021,0.999248984,1,6,negative regulation of myelination,BP,biological regulation
29,GO:0042663,0.028146476,0.999668989,1,6,regulation of endodermal cell fate specification,BP,biological regulation
38,GO:0060279,0.039340777,0.999332075,1,7,positive regulation of ovulation,BP,biological regulation
47,GO:0060134,0.041974153,0.999238872,1,7,prepulse inhibition,BP,biological regulation
54,GO:0043547,0.042748047,0.995662936,2,52,positive regulation of GTPase activity,BP,biological regulation
63,GO:0046621,0.044429118,0.999169816,1,6,negative regulation of organ growth,BP,biological regulation
20,GO:0070373,0.021167074,0.997162063,3,57,negative regulation of ERK1 and ERK2 cascade,BP,biological regulation
35,GO:0007161,0.038022964,0.999376398,1,7,calcium-independent cell-matrix adhesion,BP,cellular process
56,GO:0034113,0.043595425,0.999161519,1,8,heterotypic cell-cell adhesion,BP,cellular process
69,GO:0050901,0.047486005,0.998988086,1,9,leukocyte tethering or rolling,BP,cellular process
16,GO:0001935,0.014129091,0.999232528,2,24,endothelial cell proliferation,BP,cellular process
9,GO:0000028,0.003178781,0.999931433,2,8,ribosomal small subunit assembly,BP,cellular process
15,GO:0070206,0.012148108,0.999425226,2,13,protein trimerization,BP,cellular process
48,GO:0031175,0.042125116,0.992531758,3,107,neuron projection development,BP,cellular process
57,GO:0070086,0.04386624,0.999190902,1,6,ubiquitin-dependent endocytosis,BP,cellular process
60,GO:0016188,0.044277451,0.999134848,1,8,synaptic vesicle maturation,BP,cellular process
4,GO:0021514,0.002196555,0.999957477,2,12,ventral spinal cord interneuron differentiation,BP,cellular process
11,GO:0048699,0.003485345,0.999912004,2,15,generation of neurons,BP,cellular process
30,GO:0021523,0.028146476,0.999668989,1,6,somatic motor neuron differentiation,BP,cellular process
