GO.ID,Term,Annotated,Significant,Expected,classic
GO:0019700,organic phosphonate catabolic process,3,2,0.02,0.00010
GO:0051584,regulation of dopamine uptake involved i...,3,2,0.02,0.00010
GO:0051940,regulation of catecholamine uptake invol...,3,2,0.02,0.00010
GO:0010721,negative regulation of cell development,386,10,2.27,0.00010
GO:0031038,myosin II filament organization,42,4,0.25,0.00011
GO:1903356,positive regulation of distal tip cell m...,44,4,0.26,0.00013
GO:0098660,inorganic ion transmembrane transport,936,16,5.5,0.00014
GO:0045792,negative regulation of cell size,45,4,0.26,0.00014
GO:0019098,reproductive behavior,193,7,1.13,0.00015
GO:0035356,cellular triglyceride homeostasis,18,3,0.11,0.00015
GO:0043067,regulation of programmed cell death,2406,29,14.14,0.00017
GO:0010959,regulation of metal ion transport,491,11,2.89,0.00017
GO:1903050,regulation of proteolysis involved in ce...,196,7,1.15,0.00017
GO:0001964,startle response,47,4,0.28,0.00017
GO:0014003,oligodendrocyte development,47,4,0.28,0.00017
GO:0097105,presynaptic membrane assembly,47,4,0.28,0.00017
GO:0099054,presynapse assembly,47,4,0.28,0.00017
GO:0051252,regulation of RNA metabolic process,4491,45,26.4,0.00017
GO:0046434,organophosphate catabolic process,264,8,1.55,0.00018
GO:0042045,epithelial fluid transport,19,3,0.11,0.00018
GO:0055021,regulation of cardiac muscle tissue grow...,48,4,0.28,0.00018
GO:0060420,regulation of heart growth,49,4,0.29,0.00020
GO:0030308,negative regulation of cell growth,144,6,0.85,0.00022
GO:0043269,regulation of ion transport,684,13,4.02,0.00022
GO:0051588,regulation of neurotransmitter transport,93,5,0.55,0.00023
GO:0006940,regulation of smooth muscle contraction,51,4,0.3,0.00023
GO:0045732,positive regulation of protein catabolic...,207,7,1.22,0.00023
GO:0070633,transepithelial transport,21,3,0.12,0.00025
GO:1902307,positive regulation of sodium ion transm...,52,4,0.31,0.00025
GO:2000651,positive regulation of sodium ion transm...,52,4,0.31,0.00025
GO:0051241,negative regulation of multicellular org...,1092,17,6.42,0.00026
GO:0098661,inorganic anion transmembrane transport,96,5,0.56,0.00026
GO:0009584,detection of visible light,53,4,0.31,0.00027
GO:0046685,response to arsenic-containing substance,53,4,0.31,0.00027
GO:0010765,positive regulation of sodium ion transp...,54,4,0.32,0.00029
GO:0051960,regulation of nervous system development,801,14,4.71,0.00029
GO:1901016,regulation of potassium ion transmembran...,215,7,1.26,0.00029
GO:0042981,regulation of apoptotic process,2373,28,13.95,0.00031
GO:0046621,negative regulation of organ growth,55,4,0.32,0.00031
GO:0097352,autophagosome maturation,55,4,0.32,0.00031
GO:0006518,peptide metabolic process,1110,17,6.52,0.00031
GO:0031099,regeneration,363,9,2.13,0.00032
GO:0008063,Toll signaling pathway,23,3,0.14,0.00032
GO:0016057,regulation of membrane potential in phot...,23,3,0.14,0.00032
GO:0015850,organic hydroxy compound transport,219,7,1.29,0.00033
GO:0035176,social behavior,101,5,0.59,0.00033
GO:0046839,phospholipid dephosphorylation,56,4,0.33,0.00033
GO:1903362,regulation of cellular protein catabolic...,220,7,1.29,0.00034
GO:0060433,bronchus development,5,2,0.03,0.00034
GO:0097628,distal tip cell migration,57,4,0.34,0.00036
GO:1903354,regulation of distal tip cell migration,57,4,0.34,0.00036
GO:0031123,RNA 3'-end processing,103,5,0.61,0.00036
GO:0042391,regulation of membrane potential,630,12,3.7,0.00037
GO:0010468,regulation of gene expression,5798,53,34.08,0.00040
GO:0019219,regulation of nucleobase-containing comp...,4803,46,28.23,0.00040
GO:0010717,regulation of epithelial to mesenchymal ...,59,4,0.35,0.00041
GO:0021955,central nervous system neuron axonogenes...,59,4,0.35,0.00041
GO:0045475,locomotor rhythm,59,4,0.35,0.00041
GO:2000463,positive regulation of excitatory postsy...,59,4,0.35,0.00041
GO:1901888,regulation of cell junction assembly,299,8,1.76,0.00041
GO:0051899,membrane depolarization,163,6,0.96,0.00042
GO:0050808,synapse organization,734,13,4.31,0.00043
GO:0006406,mRNA export from nucleus,107,5,0.63,0.00043
GO:0051438,regulation of ubiquitin-protein transfer...,60,4,0.35,0.00044
GO:0010657,muscle cell apoptotic process,61,4,0.36,0.00046
GO:0010660,regulation of muscle cell apoptotic proc...,61,4,0.36,0.00046
GO:0010224,response to UV-B,26,3,0.15,0.00047
GO:0045887,positive regulation of synaptic assembly...,26,3,0.15,0.00047
GO:1904398,positive regulation of neuromuscular jun...,26,3,0.15,0.00047
GO:0060079,excitatory postsynaptic potential,109,5,0.64,0.00047
GO:0006366,transcription by RNA polymerase II,2191,26,12.88,0.00048
GO:2000058,regulation of ubiquitin-dependent protei...,167,6,0.98,0.00048
GO:0051893,regulation of focal adhesion assembly,110,5,0.65,0.00049
GO:0090109,regulation of cell-substrate junction as...,110,5,0.65,0.00049
GO:0150116,regulation of cell-substrate junction or...,110,5,0.65,0.00049
GO:0002227,innate immune response in mucosa,6,2,0.04,0.00051
GO:0010469,regulation of signaling receptor activit...,114,5,0.67,0.00058
GO:0031641,regulation of myelination,65,4,0.38,0.00059
GO:0061077,chaperone-mediated protein folding,65,4,0.38,0.00059
GO:0070227,lymphocyte apoptotic process,65,4,0.38,0.00059
GO:0099068,postsynapse assembly,65,4,0.38,0.00059
GO:0097090,presynaptic membrane organization,66,4,0.39,0.00063
GO:1901889,negative regulation of cell junction ass...,67,4,0.39,0.00066
GO:0031326,regulation of cellular biosynthetic proc...,4912,46,28.87,0.00067
GO:0007416,synapse assembly,327,8,1.92,0.00074
GO:0070371,ERK1 and ERK2 cascade,327,8,1.92,0.00074
GO:0055017,cardiac muscle tissue growth,69,4,0.41,0.00074
GO:0010467,gene expression,7436,63,43.71,0.00075
GO:0097306,cellular response to alcohol,183,6,1.08,0.00077
GO:0014823,response to activity,70,4,0.41,0.00078
GO:2000106,regulation of leukocyte apoptotic proces...,70,4,0.41,0.00078
GO:0010941,regulation of cell death,2645,29,15.55,0.00079
GO:1901379,regulation of potassium ion transmembran...,254,7,1.49,0.00079
GO:0009059,macromolecule biosynthetic process,6414,56,37.7,0.00083
GO:0060298,positive regulation of sarcomere organiz...,72,4,0.42,0.00087
GO:0045455,ecdysteroid metabolic process,32,3,0.19,0.00087
GO:0009889,regulation of biosynthetic process,4977,46,29.25,0.00089
GO:0043266,regulation of potassium ion transport,259,7,1.52,0.00089
GO:0019634,organic phosphonate metabolic process,8,2,0.05,0.00094
GO:1900244,positive regulation of synaptic vesicle ...,8,2,0.05,0.00094
GO:0060297,regulation of sarcomere organization,74,4,0.43,0.00096
GO:0045596,negative regulation of cell differentiat...,905,14,5.32,0.00097
GO:0048024,regulation of mRNA splicing, via spliceo...,129,5,0.76,0.00101
GO:0050908,detection of light stimulus involved in ...,34,3,0.2,0.00104
GO:0050962,detection of light stimulus involved in ...,34,3,0.2,0.00104
GO:0021953,central nervous system neuron differenti...,196,6,1.15,0.00110
GO:0006412,translation,814,13,4.78,0.00110
GO:0007602,phototransduction,77,4,0.45,0.00112
GO:0010812,negative regulation of cell-substrate ad...,77,4,0.45,0.00112
GO:0030218,erythrocyte differentiation,133,5,0.78,0.00116
GO:0010043,response to zinc ion,78,4,0.46,0.00117
GO:0032101,regulation of response to external stimu...,1142,16,6.71,0.00120
GO:0051085,chaperone cofactor-dependent protein ref...,9,2,0.05,0.00120
GO:0051583,dopamine uptake involved in synaptic tra...,9,2,0.05,0.00120
GO:0051934,catecholamine uptake involved in synapti...,9,2,0.05,0.00120
GO:0090493,catecholamine uptake,9,2,0.05,0.00120
GO:0090494,dopamine uptake,9,2,0.05,0.00120
GO:0048854,brain morphogenesis,79,4,0.46,0.00123
GO:0060419,heart growth,79,4,0.46,0.00123
GO:1902041,regulation of extrinsic apoptotic signal...,79,4,0.46,0.00123
GO:0070050,neuron cellular homeostasis,36,3,0.21,0.00124
GO:0034101,erythrocyte homeostasis,136,5,0.8,0.00128
GO:0043647,inositol phosphate metabolic process,80,4,0.47,0.00129
GO:2001238,positive regulation of extrinsic apoptot...,80,4,0.47,0.00129
GO:0050767,regulation of neurogenesis,631,11,3.71,0.00133
GO:0006351,transcription, DNA-templated,4646,43,27.31,0.00134
GO:0032412,regulation of ion transmembrane transpor...,359,8,2.11,0.00134
GO:0097659,nucleic acid-templated transcription,4647,43,27.32,0.00134
GO:0032088,negative regulation of NF-kappaB transcr...,81,4,0.48,0.00135
GO:0061001,regulation of dendritic spine morphogene...,81,4,0.48,0.00135
GO:0098815,modulation of excitatory postsynaptic po...,81,4,0.48,0.00135
GO:0006405,RNA export from nucleus,138,5,0.81,0.00137
GO:0099565,chemical synaptic transmission, postsyna...,138,5,0.81,0.00137
GO:0022898,regulation of transmembrane transporter ...,361,8,2.12,0.00139
GO:0032774,RNA biosynthetic process,4656,43,27.37,0.00140
GO:0040008,regulation of growth,941,14,5.53,0.00140
GO:0051898,negative regulation of protein kinase B ...,82,4,0.48,0.00141
GO:0055090,acylglycerol homeostasis,38,3,0.22,0.00145
GO:0070328,triglyceride homeostasis,38,3,0.22,0.00145
GO:0043484,regulation of RNA splicing,208,6,1.22,0.00149
GO:0000338,protein deneddylation,10,2,0.06,0.00150
GO:0016358,dendrite development,645,11,3.79,0.00159
GO:0007229,integrin-mediated signaling pathway,144,5,0.85,0.00165
GO:0060078,regulation of postsynaptic membrane pote...,145,5,0.85,0.00170
GO:0032409,regulation of transporter activity,374,8,2.2,0.00174
GO:0043523,regulation of neuron apoptotic process,754,12,4.43,0.00175
GO:0051648,vesicle localization,293,7,1.72,0.00181
GO:0035666,TRIF-dependent toll-like receptor signal...,41,3,0.24,0.00181
GO:0048934,peripheral nervous system neuron differe...,41,3,0.24,0.00181
GO:0048935,peripheral nervous system neuron develop...,41,3,0.24,0.00181
GO:0055094,response to lipoprotein particle,11,2,0.06,0.00182
GO:0071402,cellular response to lipoprotein particl...,11,2,0.06,0.00182
GO:0071404,cellular response to low-density lipopro...,11,2,0.06,0.00182
GO:2000134,negative regulation of G1/S transition o...,88,4,0.52,0.00183
GO:2000649,regulation of sodium ion transmembrane t...,88,4,0.52,0.00183
GO:0051093,negative regulation of developmental pro...,1192,16,7.01,0.00186
GO:0050805,negative regulation of synaptic transmis...,89,4,0.52,0.00191
GO:0002262,myeloid cell homeostasis,149,5,0.88,0.00192
GO:0099175,regulation of postsynapse organization,90,4,0.53,0.00199
GO:1902807,negative regulation of cell cycle G1/S p...,90,4,0.53,0.00199
GO:0055085,transmembrane transport,1670,20,9.82,0.00200
GO:0010605,negative regulation of macromolecule met...,3078,31,18.09,0.00201
GO:0070372,regulation of ERK1 and ERK2 cascade,299,7,1.76,0.00202
GO:0006913,nucleocytoplasmic transport,384,8,2.26,0.00205
GO:0034220,ion transmembrane transport,1204,16,7.08,0.00206
GO:0050807,regulation of synapse organization,385,8,2.26,0.00208
GO:0051169,nuclear transport,385,8,2.26,0.00208
GO:0045933,positive regulation of muscle contractio...,92,4,0.54,0.00216
GO:0060997,dendritic spine morphogenesis,92,4,0.54,0.00216
GO:2000243,positive regulation of reproductive proc...,92,4,0.54,0.00216
GO:0060049,regulation of protein glycosylation,12,2,0.07,0.00218
GO:0071712,ER-associated misfolded protein cataboli...,12,2,0.07,0.00218
GO:0010650,positive regulation of cell communicatio...,44,3,0.26,0.00221
GO:0032480,negative regulation of type I interferon...,44,3,0.26,0.00221
GO:0042044,fluid transport,44,3,0.26,0.00221
GO:1900827,positive regulation of membrane depolari...,44,3,0.26,0.00221
GO:1902260,negative regulation of delayed rectifier...,44,3,0.26,0.00221
GO:1903817,negative regulation of voltage-gated pot...,44,3,0.26,0.00221
GO:0031033,myosin filament organization,93,4,0.55,0.00224
GO:0051602,response to electrical stimulus,93,4,0.55,0.00224
GO:0043043,peptide biosynthetic process,883,13,5.19,0.00226
GO:0010556,regulation of macromolecule biosynthetic...,4781,43,28.1,0.00235
GO:0002756,MyD88-independent toll-like receptor sig...,45,3,0.26,0.00236
GO:0071214,cellular response to abiotic stimulus,485,9,2.85,0.00239
GO:0104004,cellular response to environmental stimu...,485,9,2.85,0.00239
GO:0061045,negative regulation of wound healing,96,4,0.56,0.00252
GO:0021538,epithalamus development,13,2,0.08,0.00257
GO:0021986,habenula development,13,2,0.08,0.00257
GO:0051580,regulation of neurotransmitter uptake,13,2,0.08,0.00257
GO:0060576,intestinal epithelial cell development,13,2,0.08,0.00257
GO:1900242,regulation of synaptic vesicle endocytos...,13,2,0.08,0.00257
GO:0051402,neuron apoptotic process,790,12,4.64,0.00257
GO:0050804,modulation of chemical synaptic transmis...,493,9,2.9,0.00267
GO:0099177,regulation of trans-synaptic signaling,493,9,2.9,0.00267
GO:0071286,cellular response to magnesium ion,47,3,0.28,0.00268
GO:0071887,leukocyte apoptotic process,98,4,0.58,0.00271
GO:0044271,cellular nitrogen compound biosynthetic ...,6297,53,37.01,0.00281
GO:0021954,central nervous system neuron developmen...,99,4,0.58,0.00281
GO:0006821,chloride transport,163,5,0.96,0.00283
GO:0034112,positive regulation of homotypic cell-ce...,48,3,0.28,0.00284
GO:0099003,vesicle-mediated transport in synapse,318,7,1.87,0.00285
GO:0099504,synaptic vesicle cycle,318,7,1.87,0.00285
GO:0006915,apoptotic process,3149,31,18.51,0.00286
GO:0006939,smooth muscle contraction,100,4,0.59,0.00292
GO:1990090,cellular response to nerve growth factor...,100,4,0.59,0.00292
GO:0006488,dolichol-linked oligosaccharide biosynth...,14,2,0.08,0.00298
GO:0006490,oligosaccharide-lipid intermediate biosy...,14,2,0.08,0.00298
GO:0070162,adiponectin secretion,14,2,0.08,0.00298
GO:0070163,regulation of adiponectin secretion,14,2,0.08,0.00298
GO:0070165,positive regulation of adiponectin secre...,14,2,0.08,0.00298
GO:1990089,response to nerve growth factor,101,4,0.59,0.00302
GO:0030516,regulation of axon extension,166,5,0.98,0.00306
GO:0060255,regulation of macromolecule metabolic pr...,7392,60,43.45,0.00314
GO:0010649,regulation of cell communication by elec...,50,3,0.29,0.00319
GO:0098902,regulation of membrane depolarization du...,50,3,0.29,0.00319
GO:1900825,regulation of membrane depolarization du...,50,3,0.29,0.00319
GO:0009583,detection of light stimulus,103,4,0.61,0.00324
GO:0051155,positive regulation of striated muscle c...,103,4,0.61,0.00324
GO:0043603,cellular amide metabolic process,1384,17,8.14,0.00338
GO:0010644,cell communication by electrical couplin...,51,3,0.3,0.00338
GO:0050684,regulation of mRNA processing,170,5,1,0.00339
