"gene" "baseMean" "log2FoldChange" "lfcSE" "svalue" "description" "feature"
"LOC117680554" 32.5989122349176 11.2384173083321 3.30603887142627 0.000115118795629992 "uncharacterized protein LOC117680554" "genome"
"LOC105322866" 28.1852427603544 5.98799371628448 0.725950710261082 3.92428782232217e-15 "uncharacterized protein LOC105322866" "genome"
"LOC105335843" 80.8531558926633 5.87077157112889 0.502562905678757 4.10678906795763e-27 "myosin-3" "genome"
"LOC117692922" 17.9649194822682 4.95413400476362 0.62989820538444 1.53004782070167e-13 "uncharacterized protein LOC117692922 isoform X1" "genome"
"LOC105324285" 28.0432491959111 4.64960840942565 0.744379829163475 2.75597620453465e-09 "patched domain-containing protein 3-like" "genome"
"LOC105337690" 34.0024911211924 4.5878888327634 0.486558038896629 7.49363475387009e-18 "atrial natriuretic peptide receptor 1" "genome"
"LOC105337143" 21.2287886567641 4.10748623058004 0.694285963180068 1.35014128934143e-08 "perlucin-like protein" "genome"
"LOC105346178" 21.1908522893552 4.04615209197585 0.678891185726924 1.07477493658272e-08 "acetylcholinesterase-like isoform X1" "genome"
"LOC117683439" 11.3927785335541 3.95573246718563 0.505410921537549 1.4913609430613e-12 "uncharacterized G-patch domain protein DDB_G0278987-like" "genome"
"LOC105341313" 20.0341565774999 3.89758093829308 0.83643045661006 5.8568158089538e-06 "protein ALP1-like" "genome"
"LOC117683059" 10.8095410505156 3.86780206044376 0.358722467087591 2.55527550897808e-21 "uncharacterized protein LOC117683059" "genome"
"LOC117684541" 7.00238833927364 3.83838652873125 0.609653817852133 5.02923914240291e-09 "heat shock protein 68-like" "genome"
"LOC105320429" 56.2177942942213 3.71233064643461 0.41415137002213 1.400949997018e-15 "histone H3" "genome"
"LOC105343542" 15.9582916116986 3.65054094822065 0.609032561485895 2.51248360949798e-08 "alpha-mannosidase 2x-like" "genome"
"LOC105327497" 155.808686237423 3.56948782229639 0.506970223351801 2.4435907443795e-10 "uncharacterized protein LOC105327497" "genome"
"LOC105325816" 44.3733160265979 3.5559046296682 0.818464725956316 2.09314923695271e-05 "uncharacterized protein LOC105325816" "genome"
"LOC117682793" 11.5248322558095 3.52782637818843 0.515900998949215 7.38468942921976e-10 "nucleolar protein dao-5-like isoform X1" "genome"
"LOC117687453" 19.4989943462621 3.50033065966642 0.685698489462037 1.47095031717455e-06 "alpha-mannosidase 2x-like" "genome"
"LOC105344467" 139.964819888621 3.4950546319975 0.578171477846858 2.81255393005864e-08 "uncharacterized protein LOC105344467 isoform X3" "genome"
"LOC117680321" 78.0125359478911 3.45700143131223 1.07712627640666 0.000763808981858572 "uncharacterized protein LOC117680321" "genome"
"LOC105321434" 59.1845184407345 3.37007023551386 0.259717176723911 5.82435960888594e-28 "perlucin-like protein" "genome"
"LOC105338289" 74.2821619075872 3.33466590775408 1.1539806793451 0.00212032925629143 "bcl-2-associated transcription factor 1-like" "genome"
"LOC105327945" 31.5818518613702 3.32351596126246 0.505234377127791 3.20590170301994e-09 "uncharacterized protein LOC105327945" "genome"
"LOC105330135" 36.7496807184257 3.29986384277949 0.609540324967757 3.70396401385445e-07 "potassium voltage-gated channel protein Shaw" "genome"
"LOC117681755" 13.5728842571154 3.29801426915731 0.496755513070715 2.39394600502832e-09 "uncharacterized protein LOC117681755 isoform X3" "genome"
"LOC117689418" 10.8781800768109 3.28498317669976 0.404412118830151 1.07059229267143e-12 "translation initiation factor IF-2-like" "genome"
"LOC105347441" 125.944947675428 3.25192760245775 0.626935082341274 1.39006137413434e-06 "uncharacterized protein LOC105347441" "genome"
"LOC105341287" 23.9693011486912 3.23377087049205 0.828282951347548 0.000128694108528766 "uncharacterized protein LOC105341287" "genome"
"LOC105342592" 119.829778471371 3.21235775470542 0.37474730217828 6.8452011172741e-14 "sulfotransferase 1 family member D1" "genome"
"LOC105329018" 47.2236345891551 3.20086531156639 0.591249646023933 4.15982084876478e-07 "perlucin-like" "genome"
"LOC105346580" 19.0189044173619 3.15869058420372 0.29508730461917 1.16437744294278e-19 "uncharacterized protein LOC105346580" "genome"
"LOC105341995" 84.5096813566589 3.10767736367379 0.585436740614612 8.8665691990419e-07 "neurotrypsin isoform X1" "genome"
"LOC105321376" 243.986870034011 3.06782735675009 0.829876238298049 0.000295218872379811 "uncharacterized protein LOC105321376" "genome"
"LOC117689920" 20.9183835505455 3.059178367732 0.575112222084096 1.09348312271044e-06 "P-selectin-like" "genome"
"LOC117682258" 10.7627139506217 3.05226313391445 0.586336014611409 1.74190459000852e-06 "uncharacterized protein LOC117682258" "genome"
"LOC105318674" 25.0054072363108 3.05012864314833 0.628709897156417 6.85857487237317e-06 "uncharacterized protein LOC105318674" "genome"
"LOC117687261" 26.6763216360278 3.04719003065801 0.709340654832889 3.96181472916025e-05 "uncharacterized protein LOC117687261" "genome"
"LOC117690809" 74.4872285400227 3.02996264589703 0.41670375840762 3.31302987759112e-10 "uncharacterized protein LOC117690809 isoform X1" "genome"
"LOC105322531" 54.9498958612987 3.02504400793007 0.655847358213433 1.28080680644717e-05 "uncharacterized protein LOC105322531" "genome"
"LOC105328933" 22.2815106413878 3.02242430134298 0.521997216784635 1.42504804305368e-07 "low-density lipoprotein receptor-related protein 4" "genome"
"LOC105323226" 98.8869017907016 3.00053799867748 0.684705950471056 2.96071599890852e-05 "FK506-binding protein 2" "genome"
"LOC117688512" 36.9414669000152 2.99291346050793 0.628947621309942 9.16636603560699e-06 "uncharacterized protein LOC117688512" "genome"
"LOC117688384" 8.74799683573133 2.97345779916001 0.480185012141741 4.00144233854782e-08 "multiple epidermal growth factor-like domains protein 10" "genome"
"LOC117681619" 110.045270633125 2.965616574232 0.631284968028172 1.12670350277489e-05 "uncharacterized protein LOC117681619" "genome"
"LOC105334430" 38.6538356007096 2.95310848687222 0.649389688125092 2.0224701762638e-05 "uncharacterized protein LOC105334430" "genome"
"LOC117681801" 16.9476091762111 2.94255857748527 0.582418441095934 3.19237597890421e-06 "uncharacterized protein LOC117681801" "genome"
"LOC105348616" 42.7085124129946 2.9363803181779 0.649596234491057 2.23715728534898e-05 "protein mesh" "genome"
"LOC105327498" 58.9211038295607 2.91547645878928 0.391850791810701 1.2573121706256e-10 "uncharacterized protein LOC105327498" "genome"
"LOC105348613" 46.702615050608 2.9067186047158 0.432031872933004 3.78473376442522e-09 "ganglioside GM2 activator-like isoform X2" "genome"
"LOC117686722" 19.5977808776526 2.90370984848574 0.319325500665302 1.53781093404311e-14 "uncharacterized protein LOC117686722" "genome"
