GO.ID,Term,Annotated,Significant,Expected,classic
GO:0010882,regulation of cardiac muscle contraction...,33,4,0.25,0.00010
GO:0086014,atrial cardiac muscle cell action potent...,33,4,0.25,0.00010
GO:0086026,atrial cardiac muscle cell to AV node ce...,33,4,0.25,0.00010
GO:0086066,atrial cardiac muscle cell to AV node ce...,33,4,0.25,0.00010
GO:0061077,chaperone-mediated protein folding,63,5,0.47,0.00011
GO:0035815,positive regulation of renal sodium excr...,13,3,0.1,0.00011
GO:0048895,lateral line nerve glial cell differenti...,13,3,0.1,0.00011
GO:0048897,myelination of lateral line nerve axons,13,3,0.1,0.00011
GO:0048918,posterior lateral line nerve development,13,3,0.1,0.00011
GO:0048931,posterior lateral line nerve glial cell ...,13,3,0.1,0.00011
GO:0048932,myelination of posterior lateral line ne...,13,3,0.1,0.00011
GO:0048937,lateral line nerve glial cell developmen...,13,3,0.1,0.00011
GO:0048938,lateral line nerve glial cell morphogene...,13,3,0.1,0.00011
GO:0048941,posterior lateral line nerve glial cell ...,13,3,0.1,0.00011
GO:0048942,posterior lateral line nerve glial cell ...,13,3,0.1,0.00011
GO:0060876,semicircular canal formation,13,3,0.1,0.00011
GO:0060879,semicircular canal fusion,13,3,0.1,0.00011
GO:0044403,biological process involved in symbiotic...,309,10,2.3,0.00011
GO:0034470,ncRNA processing,439,12,3.26,0.00012
GO:0006338,chromatin remodeling,253,9,1.88,0.00012
GO:0048514,blood vessel morphogenesis,889,18,6.61,0.00013
GO:0032290,peripheral nervous system myelin formati...,14,3,0.1,0.00014
GO:0035810,positive regulation of urine volume,14,3,0.1,0.00014
GO:0006911,phagocytosis, engulfment,205,8,1.52,0.00016
GO:0050953,sensory perception of light stimulus,323,10,2.4,0.00016
GO:0052126,movement in host environment,207,8,1.54,0.00017
GO:0001568,blood vessel development,1006,19,7.48,0.00020
GO:0051147,regulation of muscle cell differentiatio...,333,10,2.47,0.00021
GO:0032508,DNA duplex unwinding,73,5,0.54,0.00022
GO:0030913,paranodal junction assembly,41,4,0.3,0.00024
GO:0032392,DNA geometric change,75,5,0.56,0.00024
GO:0099024,plasma membrane invagination,222,8,1.65,0.00027
GO:0006259,DNA metabolic process,1566,25,11.64,0.00027
GO:0030422,production of siRNA involved in post-tra...,18,3,0.13,0.00030
GO:0001944,vasculature development,1042,19,7.74,0.00031
GO:0032436,positive regulation of proteasomal ubiqu...,79,5,0.59,0.00031
GO:0001818,negative regulation of cytokine producti...,172,7,1.28,0.00032
GO:0003230,cardiac atrium development,44,4,0.33,0.00032
GO:0006367,transcription initiation from RNA polyme...,123,6,0.91,0.00032
GO:2000288,positive regulation of myoblast prolifer...,4,2,0.03,0.00033
GO:0010324,membrane invagination,231,8,1.72,0.00035
GO:0007168,receptor guanylyl cyclase signaling path...,19,3,0.14,0.00036
GO:0035809,regulation of urine volume,19,3,0.14,0.00036
GO:0006457,protein folding,234,8,1.74,0.00039
GO:1901342,regulation of vasculature development,300,9,2.23,0.00044
GO:0050777,negative regulation of immune response,86,5,0.64,0.00046
GO:0008037,cell recognition,369,10,2.74,0.00047
GO:0009751,response to salicylic acid,21,3,0.16,0.00049
GO:0042730,fibrinolysis,21,3,0.16,0.00049
GO:0048892,lateral line nerve development,21,3,0.16,0.00049
GO:0042692,muscle cell differentiation,998,18,7.42,0.00051
GO:0039534,negative regulation of MDA-5 signaling p...,5,2,0.04,0.00054
GO:0035812,renal sodium excretion,22,3,0.16,0.00056
GO:0035813,regulation of renal sodium excretion,22,3,0.16,0.00056
GO:0090049,regulation of cell migration involved in...,22,3,0.16,0.00056
GO:0097254,renal tubular secretion,22,3,0.16,0.00056
GO:0006203,dGTP catabolic process,23,3,0.17,0.00064
GO:0009146,purine nucleoside triphosphate catabolic...,23,3,0.17,0.00064
