GOID,p.value,gene,padj,log2FoldChange,description,GeneID,genomic_accession,start,end,GOterm,GOSlim,GOcat
GO:0000413,0.00289,LOC105345603,0.0000000000000000000375384246678579,-2.13677030173044,peptidyl-prolyl cis-trans isomerase B isoform X2,105345603,NC_047564.1,23235768,23239722,protein peptidyl-prolyl isomerization,protein metabolism,P
GO:0000413,0.00289,LOC105345603,0.0000000000000000000375384246678579,-2.13677030173044,peptidyl-prolyl cis-trans isomerase B isoform X2,105345603,NC_047564.1,23235768,23239713,protein peptidyl-prolyl isomerization,protein metabolism,P
GO:0001525,0.000054067427,LOC117688377,0.00584278197673993,-1.87515448087878,angiopoietin-1 receptor-like,117688377,NC_047560.1,13331917,13336601,angiogenesis,developmental processes,P
GO:0001525,0.000054067427,LOC105337955,0.0000252445314586127,-1.80135543095242,uncharacterized protein LOC105337955 isoform X1,105337955,NC_047560.1,53662976,53692173,angiogenesis,developmental processes,P
GO:0001525,0.000054067427,LOC105343637,0.00415773918819192,2.10242678985336,complement C1q tumor necrosis factor-related protein 2,105343637,NC_047565.1,15088424,15089593,angiogenesis,developmental processes,P
GO:0001525,0.000054067427,LOC105342651,0.00228170062955828,-1.67681017434519,transforming growth factor-beta-induced protein ig-h3,105342651,NC_047565.1,28778038,28805938,angiogenesis,developmental processes,P
GO:0001525,0.000054067427,LOC105343643,0.0000202438097015603,3.0226836324137,complement C1q tumor necrosis factor-related protein 7,105343643,NC_047565.1,15103715,15105188,angiogenesis,developmental processes,P
GO:0001525,0.000054067427,LOC117691511,0.00391465803358619,-1.87879898199563,ryncolin-4-like,117691511,NC_047563.1,7292230,7295573,angiogenesis,developmental processes,P
GO:0001525,0.000054067427,LOC105342726,0.00653456727306712,-1.77419483651142,delta-like protein 1,105342726,NC_047564.1,36078072,36085632,angiogenesis,developmental processes,P
GO:0001525,0.000054067427,LOC117681483,0.00278434062648182,-1.69924035876545,transforming growth factor-beta-induced protein ig-h3-like,117681483,NC_047565.1,28809644,28811729,angiogenesis,developmental processes,P
GO:0001775,0.00144,LOC117692236,0.0000085674026915916,-2.22140722752093,toll-like receptor 4,117692236,NC_047563.1,25611670,25619528,cell activation,other biological processes,P
GO:0002215,0.00238,LOC105332284,0.000000128589767689083,1.90236086480673,eosinophil peroxidase,105332284,NC_047567.1,35392315,35423054,defense response to nematode,stress response,P
GO:0002215,0.00238,LOC117680475,0.00000155269736172861,2.0021824685248,eosinophil peroxidase-like,117680475,NC_047567.1,34343608,34368208,defense response to nematode,stress response,P
GO:0006094,0.00882,LOC105338324,0.0000000696968623316863,-1.55772422281204,mitochondrial dicarboxylate carrier,105338324,NC_047568.1,43942986,43950217,gluconeogenesis,other metabolic processes,P
GO:0006203,0.00064,LOC117685389,0.0268594093228148,2.20748110504351,deoxynucleoside triphosphate triphosphohydrolase SAMHD1-like isoform X1,117685389,NW_022994819.1,658425,671982,dGTP catabolic process,other metabolic processes,P
GO:0006203,0.00064,LOC117685389,0.0268594093228148,2.20748110504351,deoxynucleoside triphosphate triphosphohydrolase SAMHD1-like isoform X1,117685389,NW_022994819.1,658418,671983,dGTP catabolic process,other metabolic processes,P
GO:0006203,0.00064,LOC117685389,0.0268594093228148,2.20748110504351,deoxynucleoside triphosphate triphosphohydrolase SAMHD1-like isoform X1,117685389,NW_022994819.1,658418,671982,dGTP catabolic process,other metabolic processes,P
GO:0006265,0.00406,LOC105341070,0.0000000000000000000000000141995898877522,1.66933155845885,DNA topoisomerase I; mitochondrial isoform X1,105341070,NC_047564.1,52322188,52330737,DNA topological change,DNA metabolism,P
GO:0006265,0.00406,LOC105341070,0.0000000000000000000000000141995898877522,1.66933155845885,DNA topoisomerase I; mitochondrial isoform X1,105341070,NC_047564.1,52322186,52330737,DNA topological change,DNA metabolism,P
GO:0006268,0.000000306555,LOC105329085,0.000000000000000000000000000887626183870997,-1.97770414504081,high mobility group-T protein,105329085,NC_047565.1,7562941,7565815,DNA unwinding during replication,DNA metabolism,P
GO:0006268,0.000000306555,LOC105329085,0.000000000000000000000000000887626183870997,-1.97770414504081,high mobility group-T protein,105329085,NC_047565.1,7563193,7565815,DNA unwinding during replication,DNA metabolism,P
GO:0006268,0.000000306555,LOC105329085,0.000000000000000000000000000887626183870997,-1.97770414504081,high mobility group-T protein,105329085,NC_047565.1,7562918,7565815,DNA unwinding during replication,DNA metabolism,P
GO:0006310,0.00074,LOC117683174,0.000781418402505519,1.68590849178917,uncharacterized protein LOC117683174 isoform X2,117683174,NC_047559.1,10341737,10348858,DNA recombination,DNA metabolism,P
GO:0006310,0.00074,LOC117693159,0.000920648875995171,1.69061998652439,uncharacterized protein LOC117693159 isoform X2,117693159,NC_047564.1,11958442,11965566,DNA recombination,DNA metabolism,P
GO:0006310,0.00074,LOC117693159,0.000920648875995171,1.69061998652439,uncharacterized protein LOC117693159 isoform X2,117693159,NC_047564.1,11958445,11965566,DNA recombination,DNA metabolism,P
GO:0006310,0.00074,LOC117693159,0.000920648875995171,1.69061998652439,uncharacterized protein LOC117693159 isoform X2,117693159,NC_047564.1,11958446,11965566,DNA recombination,DNA metabolism,P
GO:0006310,0.00074,LOC105328140,0.000937561023482262,1.7208631953986,uncharacterized protein LOC105328140,105328140,NC_047561.1,21357554,21365258,DNA recombination,DNA metabolism,P
GO:0006310,0.00074,LOC117693157,0.000496479226708793,2.3944018975829,uncharacterized protein LOC117693157,117693157,NC_047559.1,45294744,45300021,DNA recombination,DNA metabolism,P
GO:0006338,0.00012,LOC105329085,0.000000000000000000000000000887626183870997,-1.97770414504081,high mobility group-T protein,105329085,NC_047565.1,7562918,7565815,chromatin remodeling,cell organization and biogenesis,P
GO:0006338,0.00012,LOC105329085,0.000000000000000000000000000887626183870997,-1.97770414504081,high mobility group-T protein,105329085,NC_047565.1,7562941,7565815,chromatin remodeling,cell organization and biogenesis,P
GO:0006338,0.00012,LOC105341070,0.0000000000000000000000000141995898877522,1.66933155845885,DNA topoisomerase I; mitochondrial isoform X1,105341070,NC_047564.1,52322188,52330737,chromatin remodeling,cell organization and biogenesis,P
GO:0006338,0.00012,LOC105329085,0.000000000000000000000000000887626183870997,-1.97770414504081,high mobility group-T protein,105329085,NC_047565.1,7563193,7565815,chromatin remodeling,cell organization and biogenesis,P
GO:0006338,0.00012,LOC105326492,0.00362090159067302,-1.56416194606068,paired box protein Pax-7 isoform X2,105326492,NC_047564.1,16295166,16306142,chromatin remodeling,cell organization and biogenesis,P
GO:0006338,0.00012,LOC105326492,0.00362090159067302,-1.56416194606068,paired box protein Pax-7 isoform X2,105326492,NC_047564.1,16295166,16304143,chromatin remodeling,cell organization and biogenesis,P
GO:0006338,0.00012,LOC105341070,0.0000000000000000000000000141995898877522,1.66933155845885,DNA topoisomerase I; mitochondrial isoform X1,105341070,NC_047564.1,52322186,52330737,chromatin remodeling,cell organization and biogenesis,P
GO:0006367,0.00032,LOC105336096,0.00149388965300803,-1.54377641525004,nuclear receptor subfamily 2 group E member 1,105336096,NC_047563.1,38308193,38314735,transcription initiation from RNA polymerase II promoter,cell organization and biogenesis,P
GO:0006367,0.00032,LOC105336096,0.00149388965300803,-1.54377641525004,nuclear receptor subfamily 2 group E member 1,105336096,NC_047563.1,38308193,38314735,transcription initiation from RNA polymerase II promoter,RNA metabolism,P
GO:0006388,0.000079765463,LOC105332044,0.0000000394726090216085,2.16204922079134,uncharacterized protein LOC105332044 isoform X1,105332044,NC_047564.1,53571515,53574089,tRNA splicing, via endonucleolytic cleavage and ligation,RNA metabolism,P
GO:0006388,0.000079765463,LOC105332044,0.0000000394726090216085,2.16204922079134,uncharacterized protein LOC105332044 isoform X1,105332044,NC_047564.1,53571515,53573965,tRNA splicing, via endonucleolytic cleavage and ligation,RNA metabolism,P
GO:0006457,0.00039,LOC105322320,0.00000000000000000000064655209802873,1.60869420282807,protein disulfide-isomerase A4 isoform X2,105322320,NC_047567.1,31419863,31426751,protein folding,protein metabolism,P
GO:0006457,0.00039,LOC105322320,0.00000000000000000000064655209802873,1.60869420282807,protein disulfide-isomerase A4 isoform X2,105322320,NC_047567.1,31393858,31426751,protein folding,protein metabolism,P
GO:0006457,0.00039,LOC117680291,0.000000000000000492670067854527,1.92463443310523,heat shock protein 83-like,117680291,NC_047561.1,16157313,16160535,protein folding,protein metabolism,P
GO:0006457,0.00039,LOC105341388,0.00000000000482145413997951,1.5582488250817,protein disulfide-isomerase A6 isoform X1,105341388,NC_047559.1,12178644,12184706,protein folding,protein metabolism,P
GO:0006457,0.00039,LOC105341388,0.00000000000482145413997951,1.5582488250817,protein disulfide-isomerase A6 isoform X1,105341388,NC_047559.1,12179185,12184706,protein folding,protein metabolism,P
GO:0006851,0.00840,LOC105319697,0.00000000000000388308461626352,-1.78238676190955,sodium/calcium exchanger 3 isoform X3,105319697,NC_047568.1,45562249,45571944,mitochondrial calcium ion transport,transport,P
GO:0006909,0.000048481304,LOC117680557,0.0000258527255136041,-1.57233650523735,multiple epidermal growth factor-like domains protein 10 isoform X2,117680557,NC_047560.1,64808972,64818579,phagocytosis,transport,P
GO:0006909,0.000048481304,LOC117680557,0.0000258527255136041,-1.57233650523735,multiple epidermal growth factor-like domains protein 10 isoform X2,117680557,NC_047560.1,64808972,64818570,phagocytosis,cell organization and biogenesis,P
GO:0006909,0.000048481304,LOC117680557,0.0000258527255136041,-1.57233650523735,multiple epidermal growth factor-like domains protein 10 isoform X2,117680557,NC_047560.1,64808972,64818570,phagocytosis,transport,P
GO:0006909,0.000048481304,LOC117680557,0.0000258527255136041,-1.57233650523735,multiple epidermal growth factor-like domains protein 10 isoform X2,117680557,NC_047560.1,64808972,64832253,phagocytosis,cell organization and biogenesis,P
GO:0006909,0.000048481304,LOC117680557,0.0000258527255136041,-1.57233650523735,multiple epidermal growth factor-like domains protein 10 isoform X2,117680557,NC_047560.1,64808972,64818579,phagocytosis,cell organization and biogenesis,P
GO:0006909,0.000048481304,LOC117680557,0.0000258527255136041,-1.57233650523735,multiple epidermal growth factor-like domains protein 10 isoform X2,117680557,NC_047560.1,64808972,64832253,phagocytosis,transport,P
GO:0006910,0.000012374183,LOC117691483,0.00852919660406425,-1.75089099257528,perlucin-like,117691483,NC_047563.1,53941456,53944939,phagocytosis, recognition,cell organization and biogenesis,P
GO:0006910,0.000012374183,LOC117691483,0.00852919660406425,-1.75089099257528,perlucin-like,117691483,NC_047563.1,53941456,53944939,phagocytosis, recognition,transport,P
GO:0006937,0.00132,LOC105343216,0.000940785516296465,3.07993646560714,heat shock protein 27,105343216,NW_022994901.1,45618,46405,regulation of muscle contraction,other biological processes,P
GO:0006952,0.00784,LOC117689449,0.0000792703177398324,-1.67447615894981,RNA-dependent RNA polymerase 2-like isoform X1,117689449,NC_047561.1,31839526,31848432,defense response,stress response,P
GO:0006952,0.00784,LOC117689449,0.0000792703177398324,-1.67447615894981,RNA-dependent RNA polymerase 2-like isoform X1,117689449,NC_047561.1,31845235,31848432,defense response,stress response,P
GO:0006952,0.00784,LOC117691483,0.00852919660406425,-1.75089099257528,perlucin-like,117691483,NC_047563.1,53941456,53944939,defense response,stress response,P
GO:0007168,0.00036,LOC105343975,0.00787299067827986,-1.6241752320137,atrial natriuretic peptide receptor 2,105343975,NC_047564.1,8825308,8840057,receptor guanylyl cyclase signaling pathway,signal transduction,P
GO:0007168,0.00036,LOC105328111,0.00151183323625919,-1.61488573186393,atrial natriuretic peptide receptor 1,105328111,NC_047564.1,54534254,54551936,receptor guanylyl cyclase signaling pathway,signal transduction,P
GO:0007168,0.00036,LOC105331377,0.000322981102969383,-1.80858038316806,atrial natriuretic peptide receptor 1,105331377,NC_047568.1,9612735,9629542,receptor guanylyl cyclase signaling pathway,signal transduction,P
GO:0007204,0.00231,LOC117693106,0.0117810486965874,-1.52199194670263,acetylcholine receptor subunit delta-like,117693106,NC_047564.1,12616273,12617796,elevation of cytosolic calcium ion concentration,other biological processes,P
GO:0007379,0.000009853397,LOC105329085,0.000000000000000000000000000887626183870997,-1.97770414504081,high mobility group-T protein,105329085,NC_047565.1,7562941,7565815,segment specification,developmental processes,P
GO:0007379,0.000009853397,LOC105329085,0.000000000000000000000000000887626183870997,-1.97770414504081,high mobility group-T protein,105329085,NC_047565.1,7562918,7565815,segment specification,developmental processes,P
GO:0007379,0.000009853397,LOC105329085,0.000000000000000000000000000887626183870997,-1.97770414504081,high mobility group-T protein,105329085,NC_047565.1,7563193,7565815,segment specification,developmental processes,P
GO:0007519,0.000073470348,LOC105326492,0.00362090159067302,-1.56416194606068,paired box protein Pax-7 isoform X2,105326492,NC_047564.1,16295166,16304143,skeletal muscle tissue development,developmental processes,P
GO:0007519,0.000073470348,LOC105326492,0.00362090159067302,-1.56416194606068,paired box protein Pax-7 isoform X2,105326492,NC_047564.1,16295166,16306142,skeletal muscle tissue development,developmental processes,P
GO:0007601,0.000095215700,LOC105323826,0.000629275630429843,-1.75002212991523,melanopsin-B-like,105323826,NC_047561.1,25102771,25122322,visual perception,other biological processes,P
GO:0007601,0.000095215700,LOC105347399,0.0041788762540104,1.78640711033284,uncharacterized protein LOC105347399 isoform X2,105347399,NC_047560.1,62754671,62782357,visual perception,other biological processes,P
GO:0007601,0.000095215700,LOC105347399,0.0041788762540104,1.78640711033284,uncharacterized protein LOC105347399 isoform X2,105347399,NC_047560.1,62754667,62790201,visual perception,other biological processes,P
GO:0007601,0.000095215700,LOC105347399,0.0041788762540104,1.78640711033284,uncharacterized protein LOC105347399 isoform X2,105347399,NC_047560.1,62763818,62790201,visual perception,other biological processes,P
GO:0007601,0.000095215700,LOC105347399,0.0041788762540104,1.78640711033284,uncharacterized protein LOC105347399 isoform X2,105347399,NC_047560.1,62754665,62790201,visual perception,other biological processes,P
GO:0007601,0.000095215700,LOC105347399,0.0041788762540104,1.78640711033284,uncharacterized protein LOC105347399 isoform X2,105347399,NC_047560.1,62763842,62790201,visual perception,other biological processes,P
GO:0007601,0.000095215700,LOC105336096,0.00149388965300803,-1.54377641525004,nuclear receptor subfamily 2 group E member 1,105336096,NC_047563.1,38308193,38314735,visual perception,other biological processes,P
GO:0007601,0.000095215700,LOC105320378,0.00256700071218515,-1.66170760396028,coadhesin-like,105320378,NC_047565.1,28144769,28151637,visual perception,other biological processes,P
GO:0008348,0.000000009647,LOC105329085,0.000000000000000000000000000887626183870997,-1.97770414504081,high mobility group-T protein,105329085,NC_047565.1,7562941,7565815,negative regulation of antimicrobial humoral response,other biological processes,P
GO:0008348,0.000000009647,LOC105329085,0.000000000000000000000000000887626183870997,-1.97770414504081,high mobility group-T protein,105329085,NC_047565.1,7563193,7565815,negative regulation of antimicrobial humoral response,other biological processes,P
GO:0008348,0.000000009647,LOC105329085,0.000000000000000000000000000887626183870997,-1.97770414504081,high mobility group-T protein,105329085,NC_047565.1,7562918,7565815,negative regulation of antimicrobial humoral response,other biological processes,P
GO:0009264,0.00241,LOC117685389,0.0268594093228148,2.20748110504351,deoxynucleoside triphosphate triphosphohydrolase SAMHD1-like isoform X1,117685389,NW_022994819.1,658418,671982,deoxyribonucleotide catabolic process,other metabolic processes,P
GO:0009264,0.00241,LOC117685389,0.0268594093228148,2.20748110504351,deoxynucleoside triphosphate triphosphohydrolase SAMHD1-like isoform X1,117685389,NW_022994819.1,658425,671982,deoxyribonucleotide catabolic process,other metabolic processes,P
GO:0009607,0.00240,LOC105321259,0.000032679894487209,2.05271342044582,proline-rich transmembrane protein 1,105321259,NC_047563.1,61457654,61462560,response to biotic stimulus,other biological processes,P
GO:0009615,0.00424,LOC117689449,0.0000792703177398324,-1.67447615894981,RNA-dependent RNA polymerase 2-like isoform X1,117689449,NC_047561.1,31839526,31848432,response to virus,other biological processes,P
GO:0009615,0.00424,LOC117689449,0.0000792703177398324,-1.67447615894981,RNA-dependent RNA polymerase 2-like isoform X1,117689449,NC_047561.1,31845235,31848432,response to virus,other biological processes,P
GO:0009751,0.00049,LOC117689449,0.0000792703177398324,-1.67447615894981,RNA-dependent RNA polymerase 2-like isoform X1,117689449,NC_047561.1,31839526,31848432,response to salicylic acid stimulus,other biological processes,P
GO:0009751,0.00049,LOC117689449,0.0000792703177398324,-1.67447615894981,RNA-dependent RNA polymerase 2-like isoform X1,117689449,NC_047561.1,31845235,31848432,response to salicylic acid stimulus,other biological processes,P
GO:0010025,0.000046746264,LOC117689449,0.0000792703177398324,-1.67447615894981,RNA-dependent RNA polymerase 2-like isoform X1,117689449,NC_047561.1,31839526,31848432,wax biosynthetic process,other metabolic processes,P
GO:0010025,0.000046746264,LOC117689449,0.0000792703177398324,-1.67447615894981,RNA-dependent RNA polymerase 2-like isoform X1,117689449,NC_047561.1,31845235,31848432,wax biosynthetic process,other metabolic processes,P
GO:0010522,0.00159,LOC105325133,0.00906045754548971,1.52089963563927,uncharacterized protein LOC105325133,105325133,NC_047563.1,15745063,15749414,regulation of calcium ion transport into cytosol,transport,P
GO:0010881,0.000002802038,LOC105342216,0.000092672888301861,1.72061484865036,uncharacterized protein LOC105342216 isoform X2,105342216,NC_047560.1,72888142,72909076,regulation of cardiac muscle contraction by regulation of the release of sequestered calcium ion,transport,P
GO:0010881,0.000002802038,LOC105342216,0.000092672888301861,1.72061484865036,uncharacterized protein LOC105342216 isoform X2,105342216,NC_047560.1,72900410,72909076,regulation of cardiac muscle contraction by regulation of the release of sequestered calcium ion,transport,P
GO:0010881,0.000002802038,LOC105342216,0.000092672888301861,1.72061484865036,uncharacterized protein LOC105342216 isoform X2,105342216,NC_047560.1,72900073,72909076,regulation of cardiac muscle contraction by regulation of the release of sequestered calcium ion,transport,P
GO:0010881,0.000002802038,LOC105342216,0.000092672888301861,1.72061484865036,uncharacterized protein LOC105342216 isoform X2,105342216,NC_047560.1,72873367,72909076,regulation of cardiac muscle contraction by regulation of the release of sequestered calcium ion,transport,P
GO:0010882,0.00010,LOC105342216,0.000092672888301861,1.72061484865036,uncharacterized protein LOC105342216 isoform X2,105342216,NC_047560.1,72873367,72909076,regulation of cardiac muscle contraction by calcium ion signaling,other biological processes,P
GO:0010882,0.00010,LOC105342216,0.000092672888301861,1.72061484865036,uncharacterized protein LOC105342216 isoform X2,105342216,NC_047560.1,72900410,72909076,regulation of cardiac muscle contraction by calcium ion signaling,other biological processes,P
GO:0010882,0.00010,LOC105342216,0.000092672888301861,1.72061484865036,uncharacterized protein LOC105342216 isoform X2,105342216,NC_047560.1,72900073,72909076,regulation of cardiac muscle contraction by calcium ion signaling,other biological processes,P
GO:0010882,0.00010,LOC105342216,0.000092672888301861,1.72061484865036,uncharacterized protein LOC105342216 isoform X2,105342216,NC_047560.1,72888142,72909076,regulation of cardiac muscle contraction by calcium ion signaling,other biological processes,P
GO:0014719,0.000000077980,LOC105323700,0.00310332842724422,-2.10269797622111,multiple epidermal growth factor-like domains protein 10 isoform X3,105323700,NC_047563.1,67759683,67773557,satellite cell activation,other biological processes,P
