accession	message	sample_name	sample_title	bioproject_accession	organism	isolate	breed	host	isolation_source	collection_date	geo_loc_name	tissue	age	altitude	biomaterial_provider	collected_by	depth	dev_stage	env_broad_scale	host_tissue_sampled	identified_by	lat_lon	sex	specimen_voucher	temp	description
SAMN32287689	Successfully loaded	D54		PRJNA913164	Crassostrea gigas	D54			ctenidium	7/12/2021	"USA: Quilcene, WA"	ctenidium	2 years	13								47.76 N 122.85 W				"diploid, control"
SAMN32287690	Successfully loaded	D55		PRJNA913164	Crassostrea gigas	D55			ctenidium	7/12/2021	"USA: Quilcene, WA"	ctenidium	2 years	13								47.76 N 122.85 W				"diploid, control"
SAMN32287691	Successfully loaded	D56		PRJNA913164	Crassostrea gigas	D56			ctenidium	7/12/2021	"USA: Quilcene, WA"	ctenidium	2 years	13								47.76 N 122.85 W				"diploid, control"
SAMN32287692	Successfully loaded	D57		PRJNA913164	Crassostrea gigas	D57			ctenidium	7/12/2021	"USA: Quilcene, WA"	ctenidium	2 years	13								47.76 N 122.85 W				"diploid, control"
SAMN32287693	Successfully loaded	D58		PRJNA913164	Crassostrea gigas	D58			ctenidium	7/12/2021	"USA: Quilcene, WA"	ctenidium	2 years	13								47.76 N 122.85 W				"diploid, control"
SAMN32287694	Successfully loaded	D59		PRJNA913164	Crassostrea gigas	D59			ctenidium	7/12/2021	"USA: Quilcene, WA"	ctenidium	2 years	13								47.76 N 122.85 W				"diploid, control"
SAMN32287695	Successfully loaded	M41		PRJNA913164	Crassostrea gigas	M41			ctenidium	7/12/2021	"USA: Quilcene, WA"	ctenidium	2 years	13								47.76 N 122.85 W				"diploid, single stressor"
SAMN32287696	Successfully loaded	M42		PRJNA913164	Crassostrea gigas	M42			ctenidium	7/12/2021	"USA: Quilcene, WA"	ctenidium	2 years	13								47.76 N 122.85 W				"diploid, single stressor"
SAMN32287697	Successfully loaded	M43		PRJNA913164	Crassostrea gigas	M43			ctenidium	7/12/2021	"USA: Quilcene, WA"	ctenidium	2 years	13								47.76 N 122.85 W				"diploid, single stressor"
SAMN32287698	Successfully loaded	M44		PRJNA913164	Crassostrea gigas	M44			ctenidium	7/12/2021	"USA: Quilcene, WA"	ctenidium	2 years	13								47.76 N 122.85 W				"diploid, single stressor"
