biosample_accession	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	filename	filename2	filename3	filename4	assembly	fasta_file
SAMN32287689	D54_S145	Tag-seq of Crassostrea gigas following marine heatwave exposure	RNA-Seq	TRANSCRIPTOMIC	PolyA	single	ILLUMINA	Illumina NovaSeq 6000	"QuantSeq 3' mRNA-Seq (Tag-seq) protocol (v.015UG009V0251, Lexogen, Vienna, Austria)"	fastq	D54_S145_L001_R1_001.fastq.gz	D54_S145_L002_R1_001.fastq.gz				
SAMN32287690	D55_S146	Tag-seq of Crassostrea gigas following marine heatwave exposure	RNA-Seq	TRANSCRIPTOMIC	PolyA	single	ILLUMINA	Illumina NovaSeq 6000	"QuantSeq 3' mRNA-Seq (Tag-seq) protocol (v.015UG009V0251, Lexogen, Vienna, Austria)"	fastq	D55_S146_L001_R1_001.fastq.gz	D55_S146_L002_R1_001.fastq.gz				
SAMN32287691	D56_S136	Tag-seq of Crassostrea gigas following marine heatwave exposure	RNA-Seq	TRANSCRIPTOMIC	PolyA	single	ILLUMINA	Illumina NovaSeq 6000	"QuantSeq 3' mRNA-Seq (Tag-seq) protocol (v.015UG009V0251, Lexogen, Vienna, Austria)"	fastq	D56_S136_L001_R1_001.fastq.gz	D56_S136_L002_R1_001.fastq.gz				
SAMN32287692	D57_S143	Tag-seq of Crassostrea gigas following marine heatwave exposure	RNA-Seq	TRANSCRIPTOMIC	PolyA	single	ILLUMINA	Illumina NovaSeq 6000	"QuantSeq 3' mRNA-Seq (Tag-seq) protocol (v.015UG009V0251, Lexogen, Vienna, Austria)"	fastq	D57_S143_L001_R1_001.fastq.gz	D57_S143_L002_R1_001.fastq.gz				
SAMN32287693	D58_S144	Tag-seq of Crassostrea gigas following marine heatwave exposure	RNA-Seq	TRANSCRIPTOMIC	PolyA	single	ILLUMINA	Illumina NovaSeq 6000	"QuantSeq 3' mRNA-Seq (Tag-seq) protocol (v.015UG009V0251, Lexogen, Vienna, Austria)"	fastq	D58_S144_L001_R1_001.fastq.gz	D58_S144_L002_R1_001.fastq.gz				
SAMN32287694	D59_S142	Tag-seq of Crassostrea gigas following marine heatwave exposure	RNA-Seq	TRANSCRIPTOMIC	PolyA	single	ILLUMINA	Illumina NovaSeq 6000	"QuantSeq 3' mRNA-Seq (Tag-seq) protocol (v.015UG009V0251, Lexogen, Vienna, Austria)"	fastq	D59_S142_L001_R1_001.fastq.gz	D59_S142_L002_R1_001.fastq.gz				
SAMN32287695	M41_S161	Tag-seq of Crassostrea gigas following marine heatwave exposure	RNA-Seq	TRANSCRIPTOMIC	PolyA	single	ILLUMINA	Illumina NovaSeq 6000	"QuantSeq 3' mRNA-Seq (Tag-seq) protocol (v.015UG009V0251, Lexogen, Vienna, Austria)"	fastq	M41_S161_L001_R1_001.fastq.gz	M41_S161_L002_R1_001.fastq.gz				
SAMN32287696	M42_S169	Tag-seq of Crassostrea gigas following marine heatwave exposure	RNA-Seq	TRANSCRIPTOMIC	PolyA	single	ILLUMINA	Illumina NovaSeq 6000	"QuantSeq 3' mRNA-Seq (Tag-seq) protocol (v.015UG009V0251, Lexogen, Vienna, Austria)"	fastq	M42_S169_L001_R1_001.fastq.gz	M42_S169_L002_R1_001.fastq.gz				
SAMN32287697	M43_S160	Tag-seq of Crassostrea gigas following marine heatwave exposure	RNA-Seq	TRANSCRIPTOMIC	PolyA	single	ILLUMINA	Illumina NovaSeq 6000	"QuantSeq 3' mRNA-Seq (Tag-seq) protocol (v.015UG009V0251, Lexogen, Vienna, Austria)"	fastq	M43_S160_L001_R1_001.fastq.gz	M43_S160_L002_R1_001.fastq.gz				
SAMN32287698	M44_S163	Tag-seq of Crassostrea gigas following marine heatwave exposure	RNA-Seq	TRANSCRIPTOMIC	PolyA	single	ILLUMINA	Illumina NovaSeq 6000	"QuantSeq 3' mRNA-Seq (Tag-seq) protocol (v.015UG009V0251, Lexogen, Vienna, Austria)"	fastq	M44_S163_L001_R1_001.fastq.gz	M44_S163_L002_R1_001.fastq.gz				
SAMN32287699	M45_S140	Tag-seq of Crassostrea gigas following marine heatwave exposure	RNA-Seq	TRANSCRIPTOMIC	PolyA	single	ILLUMINA	Illumina NovaSeq 6000	"QuantSeq 3' mRNA-Seq (Tag-seq) protocol (v.015UG009V0251, Lexogen, Vienna, Austria)"	fastq	M45_S140_L001_R1_001.fastq.gz	M45_S140_L002_R1_001.fastq.gz				
SAMN32287700	M46_S141	Tag-seq of Crassostrea gigas following marine heatwave exposure	RNA-Seq	TRANSCRIPTOMIC	PolyA	single	ILLUMINA	Illumina NovaSeq 6000	"QuantSeq 3' mRNA-Seq (Tag-seq) protocol (v.015UG009V0251, Lexogen, Vienna, Austria)"	fastq	M46_S141_L001_R1_001.fastq.gz	M46_S141_L002_R1_001.fastq.gz				
SAMN32287701	M47_S162	Tag-seq of Crassostrea gigas following marine heatwave exposure	RNA-Seq	TRANSCRIPTOMIC	PolyA	single	ILLUMINA	Illumina NovaSeq 6000	"QuantSeq 3' mRNA-Seq (Tag-seq) protocol (v.015UG009V0251, Lexogen, Vienna, Austria)"	fastq	M47_S162_L001_R1_001.fastq.gz	M47_S162_L002_R1_001.fastq.gz				
SAMN32287702	M48_S137	Tag-seq of Crassostrea gigas following marine heatwave exposure	RNA-Seq	TRANSCRIPTOMIC	PolyA	single	ILLUMINA	Illumina NovaSeq 6000	"QuantSeq 3' mRNA-Seq (Tag-seq) protocol (v.015UG009V0251, Lexogen, Vienna, Austria)"	fastq	M48_S137_L001_R1_001.fastq.gz	M48_S137_L002_R1_001.fastq.gz				
SAMN32287703	M49_S139	Tag-seq of Crassostrea gigas following marine heatwave exposure	RNA-Seq	TRANSCRIPTOMIC	PolyA	single	ILLUMINA	Illumina NovaSeq 6000	"QuantSeq 3' mRNA-Seq (Tag-seq) protocol (v.015UG009V0251, Lexogen, Vienna, Austria)"	fastq	M49_S139_L001_R1_001.fastq.gz	M49_S139_L002_R1_001.fastq.gz				
SAMN32287704	M89_S138	Tag-seq of Crassostrea gigas following marine heatwave exposure	RNA-Seq	TRANSCRIPTOMIC	PolyA	single	ILLUMINA	Illumina NovaSeq 6000	"QuantSeq 3' mRNA-Seq (Tag-seq) protocol (v.015UG009V0251, Lexogen, Vienna, Austria)"	fastq	M89_S138_L001_R1_001.fastq.gz	M89_S138_L002_R1_001.fastq.gz				
SAMN32287705	M90_S147	Tag-seq of Crassostrea gigas following marine heatwave exposure	RNA-Seq	TRANSCRIPTOMIC	PolyA	single	ILLUMINA	Illumina NovaSeq 6000	"QuantSeq 3' mRNA-Seq (Tag-seq) protocol (v.015UG009V0251, Lexogen, Vienna, Austria)"	fastq	M90_S147_L001_R1_001.fastq.gz	M90_S147_L002_R1_001.fastq.gz				
SAMN32287706	N41_S164	Tag-seq of Crassostrea gigas following marine heatwave exposure	RNA-Seq	TRANSCRIPTOMIC	PolyA	single	ILLUMINA	Illumina NovaSeq 6000	"QuantSeq 3' mRNA-Seq (Tag-seq) protocol (v.015UG009V0251, Lexogen, Vienna, Austria)"	fastq	N41_S164_L001_R1_001.fastq.gz	N41_S164_L002_R1_001.fastq.gz				
SAMN32287707	N42_S167	Tag-seq of Crassostrea gigas following marine heatwave exposure	RNA-Seq	TRANSCRIPTOMIC	PolyA	single	ILLUMINA	Illumina NovaSeq 6000	"QuantSeq 3' mRNA-Seq (Tag-seq) protocol (v.015UG009V0251, Lexogen, Vienna, Austria)"	fastq	N42_S167_L001_R1_001.fastq.gz	N42_S167_L002_R1_001.fastq.gz				
SAMN32287708	N43_S165	Tag-seq of Crassostrea gigas following marine heatwave exposure	RNA-Seq	TRANSCRIPTOMIC	PolyA	single	ILLUMINA	Illumina NovaSeq 6000	"QuantSeq 3' mRNA-Seq (Tag-seq) protocol (v.015UG009V0251, Lexogen, Vienna, Austria)"	fastq	N43_S165_L001_R1_001.fastq.gz	N43_S165_L002_R1_001.fastq.gz				
