"gene" "baseMean" "log2FoldChange" "lfcSE" "svalue" "description" "feature"
"LOC105348304" 9535.48744972682 8.07354579321559 0.759100275474583 7.39977150724052e-24 "heat shock protein 68" "genome"
"LOC117680673" 9232.56092127071 8.01766717951839 0.756269639079811 1.44438966086973e-23 "heat shock protein 68-like" "genome"
"LOC105334510" 8654.62364835647 7.90490019704382 0.750907951563932 2.77045871755672e-23 "heat shock protein 68" "genome"
"LOC105348305" 8676.51892953138 7.81492050765977 0.770707761318574 4.91043707283227e-22 "heat shock protein 68-like" "genome"
"LOC105346578" 1305.54991045608 6.03224347684365 0.693480946705511 3.19022298083977e-16 "major egg antigen" "genome"
"LOC105326991" 14.185196169923 5.96635496775747 0.846281586167883 1.28957870868277e-11 "dentin sialophosphoprotein" "genome"
"LOC105322484" 496.244277757196 5.36257938986893 0.603808177900965 1.50924909515035e-16 "heat shock protein 68-like" "genome"
"LOC105334234" 629.313206537293 5.35224170820444 0.587494660447585 2.74453186754694e-17 "heat shock protein 70 B2" "genome"
"LOC117691913" 15.0824784112226 5.32228412548579 0.781843914381454 6.69409505881938e-11 "major egg antigen-like" "genome"
"LOC105346536" 181.260635906491 5.20838012360968 0.410911981991472 5.69154292458761e-30 "fibroin heavy chain isoform X1" "genome"
"LOC105343216" 224.403804169749 4.73624257448144 0.677058644441277 3.88768103799802e-11 "heat shock protein 27" "genome"
"LOC105323395" 14.6922210433848 4.36970800898538 0.43873535192743 3.96127058248577e-19 "dentin sialophosphoprotein-like" "genome"
"LOC105334580" 1720.99135727555 4.30061941193785 0.590972969301761 1.99734197536759e-11 "BAG family molecular chaperone regulator 3" "genome"
"LOC105321886" 1773.38932612307 3.99381384482151 0.523986962875575 5.76348423405955e-12 "uncharacterized protein LOC105321886" "genome"
"LOC105343641" 22.8272911805429 3.83087907620691 0.624435427325927 8.51725657132746e-09 "adiponectin" "genome"
"LOC117683439" 9.92685170292985 3.79814986497064 0.438294493105951 1.68001654548359e-14 "uncharacterized G-patch domain protein DDB_G0278987-like" "genome"
"LOC105346538" 19.2110059409095 3.70346445249601 0.721140203597644 6.5417686951897e-07 "clumping factor A" "genome"
"LOC117682793" 11.4848394124972 3.67442123021697 0.467683589630872 2.47627575971297e-12 "nucleolar protein dao-5-like isoform X1" "genome"
"LOC117681755" 12.0298840660472 3.64472219719097 0.473676949924292 8.22437410413704e-12 "uncharacterized protein LOC117681755 isoform X3" "genome"
"LOC117680402" 10.7838953054686 3.36198021868703 0.553448180497364 4.19390037906457e-08 "ataxin-2 homolog isoform X1" "genome"
"LOC117681182" 176.624462360746 2.98260606840502 0.457800559521381 5.33968622285435e-09 "uncharacterized protein LOC117681182" "genome"
"LOC105334167" 14.9893093018239 2.91726823525647 0.553928092783023 1.08488504024719e-06 "N66 matrix protein-like" "genome"
"LOC105321887" 66.1447146060015 2.9061421176266 0.737068792251638 0.000153511370207011 "uncharacterized protein LOC105321887" "genome"
"LOC105338672" 28.7849825266248 2.8182232230127 0.374024897483969 1.45620993090736e-10 "electroneutral sodium bicarbonate exchanger 1 isoform X2" "genome"
"LOC117680491" 8.70809832442861 2.78602685088484 0.430491938807951 1.33616738292955e-08 "mucin-2-like" "genome"
"LOC105336537" 87.1962040762419 2.78554116065118 0.366068729472834 1.02498752164754e-10 "uncharacterized protein LOC105336537 isoform X3" "genome"
"LOC109617191" 128.362919012529 2.75600319564174 0.642477458622992 4.20345639851924e-05 "fibrillin-2-like isoform X2" "genome"
"LOC105318146" 30.794746192631 2.6517324760618 0.289545063956803 4.94552541250377e-14 "ganglioside GM2 activator" "genome"
"LOC105348733" 48.1615556381795 2.61849914725323 0.677265229425197 0.000209905156363809 "G2/mitotic-specific cyclin-A" "genome"
"LOC105332540" 44.7774346035225 2.56270199364604 0.390419859921897 2.35314642697994e-08 "cytosolic iron-sulfur assembly component 2A" "genome"
"LOC117682713" 71.452898069622 2.56225006437434 0.484036864075918 2.20945142196407e-06 "uncharacterized protein LOC117682713" "genome"
"LOC117682258" 33.5517177601423 2.54209334872184 0.747252197736064 0.000807515287608225 "uncharacterized protein LOC117682258" "genome"
"LOC117685225" 7.43447114690576 2.53115897841509 0.572944698269832 3.29844812033369e-05 "uncharacterized protein LOC117685225" "genome"
"LOC105334185" 47.5098270929551 2.4716023929569 0.433958140151215 4.98735790824107e-07 "uncharacterized protein LOC105334185" "genome"
"LOC105329206" 59.6973749118715 2.46291513294697 0.380567041529646 5.16634498756478e-08 "alpha-1,2-mannosyltransferase ALG9" "genome"
"LOC117689418" 14.3021522400439 2.39964788527491 0.46923050224305 7.38239002956193e-06 "translation initiation factor IF-2-like" "genome"
"LOC117681464" 39.168289679424 2.36782110839442 0.271419940212815 3.82548305081207e-12 "electroneutral sodium bicarbonate exchanger 1-like isoform X1" "genome"
"LOC105329018" 23.1368811043891 2.36707099245675 0.636116629831767 0.000475168571793833 "perlucin-like" "genome"
"LOC105338188" 70.8572732752584 2.35123341652506 0.386651933828073 2.25574373739835e-07 "uncharacterized protein LOC105338188" "genome"
"LOC105330701" 24.2948151201198 2.32355453254736 0.653457103475296 0.00066476898125336 "cathepsin L1" "genome"
"LOC117692755" 97.7771522079037 2.28954838470625 0.364638946886247 1.29414915033224e-07 "uncharacterized protein LOC117692755" "genome"
"LOC105321376" 70.6737219959368 2.28887747647711 0.618877704987006 0.000594121850733195 "uncharacterized protein LOC105321376" "genome"
"LOC105322229" 45.1226019122258 2.28348104608281 0.467696609236629 1.37021869407231e-05 "uncharacterized protein LOC105322229" "genome"
"LOC105336535" 201.895150292989 2.26234693489843 0.296124961927193 5.18320612045346e-10 "uncharacterized protein LOC105336535 isoform X1" "genome"
"LOC117682469" 11.0698329904433 2.23051633774951 0.582294141116814 0.000362276360916918 "uncharacterized protein LOC117682469 isoform X1" "genome"
"LOC105335268" 17.8807681448329 2.21201188167382 0.577657377443193 0.000418620333299003 "EGF-like domain-containing protein 2 isoform X1" "genome"
"LOC105332313" 1287.4361757185 2.19670911805568 0.15452261006664 3.00733133452608e-26 "LOW QUALITY PROTEIN: X-box-binding protein 1" "genome"
"LOC117688024" 10.5463048924471 2.18660466407401 0.691051717716219 0.00161167100466918 "perlucin-like protein" "genome"
"LOC105348911" 24.4212118700436 2.16585120609912 0.482570727170635 8.92920162288694e-05 "sulfotransferase 1E1-like" "genome"
"LOC105327537" 153.501122265996 2.08133554334689 0.282568635712576 2.61956847065822e-09 "uncharacterized protein LOC105327537" "genome"
"LOC105325979" 373.534790447913 2.04770963464637 0.221272500180185 1.32338201737493e-12 "uncharacterized protein LOC105325979 isoform X1" "genome"
"LOC105344998" 151.814234596188 2.01174161814895 0.521909724878604 0.000615624279203785 "uncharacterized protein LOC105344998 isoform X2" "genome"
"LOC105336299" 66.1865766306003 2.01038548784023 0.655793095254031 0.00250274185744066 "ribonucleoside-diphosphate reductase small chain" "genome"
"LOC105339629" 41.0448354943385 1.99173590976786 0.507216275402149 0.000532576500430076 "uncharacterized protein LOC105339629" "genome"
"LOC105321434" 87.8205073719076 1.98040050154204 0.365125424179136 8.38043324360586e-06 "perlucin-like protein" "genome"
