"gene" "baseMean" "log2FoldChange" "lfcSE" "pvalue" "padj" "description" "feature"
"LOC105348304" 9535.48744972682 7.94674170565178 0.739860995411878 9.14791745975817e-28 1.59319875003932e-23 "heat shock protein 68" "genome"
"LOC117680673" 9232.56092127071 7.89498586522207 0.73703813698087 1.28592659109675e-27 1.59319875003932e-23 "heat shock protein 68-like" "genome"
"LOC105334510" 8654.62364835647 7.7883987145198 0.731726972099575 2.81669884236595e-27 2.32649935383286e-23 "heat shock protein 68" "genome"
"LOC105348305" 8676.51892953138 7.69596912559123 0.749940146190738 1.64324033821766e-25 1.01794630851738e-21 "heat shock protein 68-like" "genome"
"LOC105346578" 1305.54991045608 6.01381061631422 0.674846024219424 1.40920374846353e-19 4.98837995473968e-16 "major egg antigen" "genome"
"LOC105322484" 496.244277757196 5.37533705653084 0.594214395800263 3.37402450353502e-20 1.39341588621824e-16 "heat shock protein 68-like" "genome"
"LOC105334234" 629.313206537293 5.36330104728897 0.577301053353961 3.64673739021343e-21 1.80725011584197e-17 "heat shock protein 70 B2" "genome"
"LOC117691913" 15.0824784112226 5.31268679551545 0.778092759659872 6.96529044175984e-13 1.32763793735667e-09 "major egg antigen-like" "genome"
"LOC105343216" 224.403804169749 4.75339313777266 0.69043704614523 1.10038488552897e-13 2.27220308987685e-10 "heat shock protein 27" "genome"
"LOC105334580" 1720.99135727555 4.29548518070041 0.624100326619351 1.50099086040144e-14 3.38118659362612e-11 "BAG family molecular chaperone regulator 3" "genome"
"LOC105321886" 1773.38932612307 3.96179250501449 0.565972624822869 1.14156210085316e-15 2.82867672970403e-12 "uncharacterized protein LOC105321886" "genome"
"LOC117681182" 176.624462360746 2.79264713446286 0.479683970324521 3.17706448063683e-12 4.78329214922107e-09 "uncharacterized protein LOC117681182" "genome"
"LOC105329206" 59.6973749118715 2.32264734585887 0.370937754553257 4.70400473810545e-12 6.47558518919528e-09 "alpha-1,2-mannosyltransferase ALG9" "genome"
"LOC105321887" 66.1447146060015 2.31356744701959 0.92404481205185 2.88741310088046e-06 0.000917271913163037 "uncharacterized protein LOC105321887" "genome"
"LOC117692755" 97.7771522079037 2.17022848201956 0.35168321273148 1.71816810681803e-11 2.24076250099179e-08 "uncharacterized protein LOC117692755" "genome"
"LOC105322229" 45.1226019122258 2.09689450709392 0.455579292120818 3.74581242050442e-08 2.50858070182916e-05 "uncharacterized protein LOC105322229" "genome"
"LOC105321376" 70.6737219959368 1.81585082354387 0.757795764084469 7.89284505436651e-06 0.0019755233091126 "uncharacterized protein LOC105321376" "genome"
"LOC105330701" 24.2948151201198 1.7374486078139 0.83749492633726 1.40630706395363e-05 0.00292830947375689 "cathepsin L1" "genome"
"LOC105339629" 41.0448354943385 1.72387232469162 0.581740355060885 3.38191821917016e-06 0.00103457471052861 "uncharacterized protein LOC105339629" "genome"
"LOC105344998" 151.814234596188 1.71693687939619 0.607012410840126 4.39496455138271e-06 0.00126631193742689 "uncharacterized protein LOC105344998 isoform X2" "genome"
"LOC105325416" 1028.43610326008 1.67660068289829 0.334435566323255 7.28981078209772e-09 6.34555474564112e-06 "inactive rhomboid protein 2 isoform X2" "genome"
"LOCNA.13" 1518.07742181653 1.65169406059037 0.212303342066215 4.83851429272544e-16 1.33215050732715e-12 NA NA
"LOC105331471" 503.332211464719 1.58180568607109 0.335883852152074 1.87932249689417e-08 1.36963918089825e-05 "uncharacterized protein LOC105331471" "genome"
"LOC105346088" 14.9633384704541 1.56558938729847 0.568626109221849 5.61800588931053e-06 0.00148958020216266 "mammalian ependymin-related protein 1-like" "genome"
"LOC105330030" 354.94591728812 1.53671779760039 0.660372304981799 1.29490621439134e-05 0.00286486438271455 "uncharacterized protein LOC105330030" "genome"
"LOC117693159" 124.345797743128 1.52818497387052 0.518725287019645 3.73433924737861e-06 0.00111485773747945 "uncharacterized protein LOC117693159 isoform X2" "genome"
"LOC105334185" 47.5098270929551 1.52553104383341 0.528027467757194 4.24201512047591e-06 0.00123662226670909 "uncharacterized protein LOC105334185" "genome"
"LOC105330352" 325.937627308304 1.52097761716458 0.698863410207777 1.70811430711701e-05 0.00333270585953169 "uncharacterized protein LOC105330352" "genome"
"LOC117689883" 64.9825898606649 -1.52776058272007 0.581045458396816 7.35309737272541e-06 0.00185920816121187 "short-chain collagen C4-like" "genome"
"LOC105333234" 309.310557592459 -1.57593512663219 0.426754448124817 5.82701085673885e-07 0.000253311407051109 "fibroleukin isoform X1" "genome"
"LOC105326341" 11.9685288236035 -1.6351950857439 0.494870348916286 1.6685936871919e-06 0.000614057041975949 "AAC-rich mRNA clone AAC4 protein-like" "genome"
