"gene" "baseMean" "log2FoldChange" "lfcSE" "pvalue" "padj" "cat" "description" "feature" "count" "plus_minus" "analysis" "geneID"
"LOC117682976" 30.6265124412037 -3.04408328260876 0.782923276770802 3.14228411576329e-06 0.000551658246231617 "characterized" "MAM and LDL-receptor class A domain-containing protein 1-like" "genome" 1 -1 "diploid_desiccation" 117682976
"LOC105346570" 49.8447867168631 -2.17713150903108 0.69077628328029 5.07613111764437e-05 0.00473838268620696 "characterized" "O-acyltransferase like protein" "genome" 1 -1 "diploid_desiccation" 105346570
"LOC117685120" 12.0844766075835 -2.12481758161897 0.789440769440801 0.00021358196091081 0.0129338746961685 "uncharacterized" "uncharacterized protein LOC117685120" "genome" 1 -1 "diploid_desiccation" 117685120
"LOC109618415" 157.707147939052 -2.12239723678108 0.658965336278234 4.02069287901591e-05 0.00392550912922696 "uncharacterized" "uncharacterized protein LOC109618415" "genome" 1 -1 "diploid_desiccation" 109618415
"LOC117682037" 10.9810064671685 -2.09364767458779 0.423126112284701 3.69754613763978e-08 1.4151248577975e-05 "uncharacterized" "uncharacterized protein LOC117682037" "genome" 1 -1 "diploid_desiccation" 117682037
"LOC117688208" 135.792313499038 -2.0387276325466 0.736163001728723 0.000153880607242085 0.0104051565377546 "uncharacterized" "uncharacterized protein LOC117688208" "genome" 1 -1 "diploid_desiccation" 117688208
"LOC105331917" 12.0455364412643 -1.99635308604136 0.7226301691459 0.000179241518263892 0.0115487060387133 "uncharacterized" "uncharacterized protein LOC105331917" "genome" 1 -1 "diploid_desiccation" 105331917
"LOC105320228" 7.68163702127754 -1.96014234350893 0.527634316310794 8.8624282656801e-06 0.00128599700064413 "characterized" "prostaglandin E2 receptor EP4 subtype" "genome" 1 -1 "diploid_desiccation" 105320228
"LOC105329127" 29.6319902315573 -1.8486959293325 0.672591544211702 0.000172957354962957 0.0113346299471615 "characterized" "complement C1q tumor necrosis factor-related protein 3-like" "genome" 1 -1 "diploid_desiccation" 105329127
"LOC105331456" 22.9275275579508 -1.775637897298 0.621619344215211 0.000136389370886805 0.00952535401930622 "characterized" "organic cation transporter protein" "genome" 1 -1 "diploid_desiccation" 105331456
"LOC105328884" 40.117986999624 -1.74402261485283 0.319006794500347 2.19372934240591e-09 1.04948011740699e-06 "uncharacterized" "uncharacterized protein LOC105328884" "genome" 1 -1 "diploid_desiccation" 105328884
"LOC105326341" 7.91609587293135 -1.62272348681917 0.59072449610865 0.000213573200913228 0.0129338746961685 "characterized" "AAC-rich mRNA clone AAC4 protein-like" "genome" 1 -1 "diploid_desiccation" 105326341
"LOC105338579" 23.6626468855548 -1.6200273560117 0.444825929283284 1.06123879477306e-05 0.00146099752350915 "characterized" "collagen alpha-1(XII) chain" "genome" 1 -1 "diploid_desiccation" 105338579
"LOC117686567" 10.2171738046167 -1.61326655105609 0.767237687745701 0.000896552799659809 0.0353013052968932 "uncharacterized" "uncharacterized protein LOC117686567" "genome" 1 -1 "diploid_desiccation" 117686567
"LOC105347119" 9.9470629334715 -1.54732030564553 0.586337674361497 0.000285060559865197 0.0158113590538562 "characterized" "complement C1q tumor necrosis factor-related protein 3" "genome" 1 -1 "diploid_desiccation" 105347119
"LOC117691751" 256.492155838034 -1.54092219735319 0.7218201961329 0.000798291927888083 0.0329937674558669 "characterized" "complement C1q-like protein 2" "genome" 1 -1 "diploid_desiccation" 117691751
"LOC117690337" 7.38665565483621 -1.4799629959025 0.625134772571346 0.000566362660229688 0.0256215505110055 "uncharacterized" "uncharacterized protein LOC117690337 isoform X1" "genome" 1 -1 "diploid_desiccation" 117690337
"LOC105347288" 16.2026141963606 -1.46198399911537 0.359806135054842 2.23558852051821e-06 0.000445627311756629 "uncharacterized" "uncharacterized protein LOC105347288" "genome" 1 -1 "diploid_desiccation" 105347288
"LOC105322857" 97.5575049331104 -1.44376773652756 0.49617735795004 0.000122253341483283 0.0090325866510583 "uncharacterized" "uncharacterized protein LOC105322857" "genome" 1 -1 "diploid_desiccation" 105322857
"LOC105340472" 68.5125878376766 -1.44171447198227 0.457883611776397 5.8863452475617e-05 0.00528831467874839 "characterized" "actin-like" "genome" 1 -1 "diploid_desiccation" 105340472
"LOC105336572" 89.8611014337985 -1.40269659143539 0.455722860495532 7.37084629710694e-05 0.00620792473819418 "characterized" "cytochrome P450 2J2" "genome" 1 -1 "diploid_desiccation" 105336572
"LOC117681606" 11.3411137610519 -1.38567986947098 0.463897160737839 0.000104436015995034 0.00802605462683117 "uncharacterized" "uncharacterized protein LOC117681606" "genome" 1 -1 "diploid_desiccation" 117681606
"LOC117686351" 20.6890016908673 -1.31312343113423 0.525848269096057 0.000400106301293007 0.0200430214176518 "uncharacterized" "uncharacterized protein LOC117686351" "genome" 1 -1 "diploid_desiccation" 117686351
"LOC105323222" 53.5713075748157 -1.30387456957951 0.670774270568729 0.00127916722439457 0.0442196258090998 "uncharacterized" "uncharacterized protein LOC105323222" "genome" 1 -1 "diploid_desiccation" 105323222
"LOC105337833" 25.308459263908 -1.28049131287289 0.551530601104036 0.000627205454416207 0.0279905830042417 "uncharacterized" "uncharacterized protein LOC105337833" "genome" 1 -1 "diploid_desiccation" 105337833
"LOC105348479" 220.763253697606 -1.27633039805883 0.321112245721166 3.02761658323008e-06 0.000548471993983509 "characterized" "very low-density lipoprotein receptor" "genome" 1 -1 "diploid_desiccation" 105348479
"LOC117681347" 17.6399776112114 -1.25448365946793 0.369642919593467 2.92219043866564e-05 0.0030894495157075 "characterized" "phosphonoacetaldehyde hydrolase-like" "genome" 1 -1 "diploid_desiccation" 117681347
"LOC105345294" 21.4720300149201 -1.17547929773073 0.27336166823681 8.73084933288671e-07 0.000203748210773317 "characterized" "neprilysin-4 isoform X2" "genome" 1 -1 "diploid_desiccation" 105345294
"LOC105328530" 12.0568069788105 -1.15778680028947 0.563413443227858 0.00117088744503524 0.0417245850059484 "uncharacterized" "uncharacterized protein LOC105328530" "genome" 1 -1 "diploid_desiccation" 105328530
"LOC105334919" 67.498037161289 -1.14361120128747 0.433307677927568 0.000294325080645365 0.0162780483908373 "characterized" "fibrinogen C domain-containing protein 1 isoform X2" "genome" 1 -1 "diploid_desiccation" 105334919
"LOC105336885" 15.8067483569637 -1.14351285441577 0.281845292958008 2.64996312590893e-06 0.000512219135125184 "characterized" "prostaglandin reductase 1" "genome" 1 -1 "diploid_desiccation" 105336885
"LOC105346626" 18.8435494323862 -1.14311499425895 0.560179565674474 0.00121281031174172 0.0425841066522744 "characterized" "atrial natriuretic peptide receptor 1" "genome" 1 -1 "diploid_desiccation" 105346626
"LOC105326964" 89.1597981545209 -1.1230796559528 0.325095939435327 2.33689483146523e-05 0.00261513564297769 "uncharacterized" "uncharacterized protein LOC105326964 isoform X2" "genome" 1 -1 "diploid_desiccation" 105326964
"LOC105348359" 215.134395595626 -1.12261817777124 0.314960837954179 1.58118529983522e-05 0.0019776184246828 "uncharacterized" "uncharacterized protein LOC105348359" "genome" 1 -1 "diploid_desiccation" 105348359
"LOC105342575" 42.543293916074 -1.09759103394421 0.369242530160202 0.000118459131922819 0.00879529201063943 "characterized" "integrin beta pat-3-like isoform X4" "genome" 1 -1 "diploid_desiccation" 105342575
"LOC105346612" 28.1784467675356 -1.08702979843108 0.320901211001464 3.20593588534828e-05 0.00329832199473251 "uncharacterized" "uncharacterized protein LOC105346612 isoform X1" "genome" 1 -1 "diploid_desiccation" 105346612
"LOC105337285" 10.8529447888469 -1.08339344136825 0.43108495502967 0.000455424390244491 0.0219521439086111 "characterized" "glycerophosphocholine cholinephosphodiesterase ENPP6" "genome" 1 -1 "diploid_desiccation" 105337285
"LOC105327324" 30.3145818101264 -1.06009739758955 0.376748905579262 0.000196265683422849 0.0121939614220118 "uncharacterized" "uncharacterized protein LOC105327324" "genome" 1 -1 "diploid_desiccation" 105327324
"LOC105326705" 28.8058640788468 -1.04675277171155 0.328728515044471 6.4316798801034e-05 0.00561148308397614 "characterized" "actin, cytoplasmic" "genome" 1 -1 "diploid_desiccation" 105326705
"LOC105338830" 90.0005248905845 -1.0128119481441 0.281246735790977 1.49565521584422e-05 0.0018954210735361 "uncharacterized" "uncharacterized protein LOC105338830" "genome" 1 -1 "diploid_desiccation" 105338830
"LOC105331098" 1172.48206120253 -1.01238296802198 0.343308506297192 0.000130862862424652 0.00932290895766952 "uncharacterized" "uncharacterized protein LOC105331098" "genome" 1 -1 "diploid_desiccation" 105331098
"LOC105344993" 125.968177396404 -1.01231394491435 0.224559175363869 3.39092118882149e-07 8.76873890125514e-05 "uncharacterized" "uncharacterized protein LOC105344993" "genome" 1 -1 "diploid_desiccation" 105344993
"LOC105336806" 86.8540538689649 -1.01139468444135 0.340706879616579 0.00012481869956022 0.009105431524768 "uncharacterized" "uncharacterized protein LOC105336806" "genome" 1 -1 "diploid_desiccation" 105336806
"LOC105335753" 13.0330229670304 -1.00961427459353 0.285125379862275 2.16634248342171e-05 0.00251685454047666 "uncharacterized" "uncharacterized protein LOC105335753" "genome" 1 -1 "diploid_desiccation" 105335753
"LOC105334056" 18.0852076490101 -1.00851476319889 0.38674608559154 0.000367845217490858 0.0189222744137233 "characterized" "tripartite motif-containing protein 2 isoform X2" "genome" 1 -1 "diploid_desiccation" 105334056
"LOC105335071" 42.0434701755005 -0.98966649747371 0.47407098379312 0.00116760214063767 0.0416851391105271 "uncharacterized" "uncharacterized protein LOC105335071" "genome" 1 -1 "diploid_desiccation" 105335071
