"gene" "baseMean" "log2FoldChange" "lfcSE" "pvalue" "padj" "cat" "description" "feature" "count" "plus_minus" "analysis" "geneID"
"LOC105320320" 59.2475746113833 -3.48798373901614 0.625710913727178 8.76024002528319e-10 2.4482216252477e-07 "characterized" "complement C1q-like protein 4 isoform X2" "genome" 1 -1 "triploid_heat" 105320320
"LOC117689028" 56.7613550604091 -3.47100731791979 0.82045966069502 7.38708917524864e-07 8.1104083236584e-05 "uncharacterized" "uncharacterized protein LOC117689028 isoform X3" "genome" 1 -1 "triploid_heat" 117689028
"LOC105327216" 51.2206360189895 -3.0279266563007 0.73731294621472 1.30471311477393e-06 0.000128007624478751 "characterized" "complement C1q subcomponent subunit B-like" "genome" 1 -1 "triploid_heat" 105327216
"LOC105338481" 37.8425795142005 -2.89737625994415 0.615518998388724 9.3712031962944e-08 1.35040502309102e-05 "uncharacterized" "uncharacterized protein LOC105338481" "genome" 1 -1 "triploid_heat" 105338481
"LOC105338225" 10.080795601811 -2.74037381761776 0.714434596069989 4.9184823953614e-06 0.000401422158329385 "uncharacterized" "uncharacterized protein LOC105338225" "genome" 1 -1 "triploid_heat" 105338225
"LOC117692007" 86.5014862997753 -2.70971103701852 0.618174680551102 4.11547862793054e-07 4.88332774697727e-05 "uncharacterized" "uncharacterized protein LOC117692007" "genome" 1 -1 "triploid_heat" 117692007
"LOC105321620" 24.4749958648028 -2.60417585114848 0.641159990497331 1.8002407894369e-06 0.000168848885013755 "characterized" "heavy metal-binding protein HIP" "genome" 1 -1 "triploid_heat" 105321620
"LOC117681275" 54.672839276993 -2.53853254665533 0.612080929081459 1.17238817808014e-06 0.000117525543177654 "uncharacterized" "uncharacterized protein LOC117681275" "genome" 1 -1 "triploid_heat" 117681275
"LOC117686834" 53.4579510752187 -2.52593582429305 0.552091894493866 1.80054176487044e-07 2.42416006226535e-05 "characterized" "perlucin-like protein isoform X1" "genome" 1 -1 "triploid_heat" 117686834
"LOC105329127" 84.1594668013757 -2.47913315836794 0.545554720983448 2.02192615174274e-07 2.64499488431878e-05 "characterized" "complement C1q tumor necrosis factor-related protein 3-like" "genome" 1 -1 "triploid_heat" 105329127
"LOC105333611" 13.8016998171581 -2.44788789179913 0.508107459938379 6.42204749596085e-08 1.0038531022288e-05 "uncharacterized" "uncharacterized protein LOC105333611" "genome" 1 -1 "triploid_heat" 105333611
"LOC105320276" 323.161588091448 -2.41734600531243 0.259488133480353 5.39756192812452e-22 8.29650248035473e-19 "characterized" "translation initiation factor IF-2-like isoform X7" "genome" 1 -1 "triploid_heat" 105320276
"LOC105336630" 29.6579091357204 -2.33388691252973 0.584898131087157 2.34515345225916e-06 0.000214140373400595 "characterized" "complement C1q-like protein 4 isoform X1" "genome" 1 -1 "triploid_heat" 105336630
"LOC117681472" 29.1627311971969 -2.1901053785384 0.848298754299647 0.000265793681373642 0.00832353896933247 "characterized" "sacsin-like" "genome" 1 -1 "triploid_heat" 117681472
"LOC105330870" 15.8690297738529 -2.11880836020198 0.716383432909512 0.00010084157460883 0.00419869716401775 "characterized" "nuclear receptor ROR-alpha A" "genome" 1 -1 "triploid_heat" 105330870
"LOC117683620" 18.8021548701191 -2.09494598143646 0.76299749114144 0.000186188093206779 0.006479696941885 "characterized" "short-chain collagen C4-like" "genome" 1 -1 "triploid_heat" 117683620
"LOC105342748" 19.6833990550768 -2.0778454578867 0.368244965379871 8.5189603399047e-10 2.41741882260834e-07 "characterized" "microfibril-associated glycoprotein 4" "genome" 1 -1 "triploid_heat" 105342748
"LOC117690881" 20.3179407795603 -2.07371381787197 0.685819365487791 7.95130351257412e-05 0.00351706938343956 "uncharacterized" "uncharacterized protein LOC117690881" "genome" 1 -1 "triploid_heat" 117690881
"LOC105337779" 13.9739301574361 -2.03291268214739 0.421070821101403 6.79502289374439e-08 1.04445164395929e-05 "characterized" "microfibril-associated glycoprotein 4" "genome" 1 -1 "triploid_heat" 105337779
"LOC105326443" 374.064362845055 -1.9899935220052 0.457664631647244 5.33545075763673e-07 6.11257075929252e-05 "characterized" "perlucin-like protein" "genome" 1 -1 "triploid_heat" 105326443
"LOC117690334" 25.3601910247647 -1.98224848751505 0.6930888208245 0.000133182158629536 0.00519354104846043 "uncharacterized" "uncharacterized protein LOC117690334" "genome" 1 -1 "triploid_heat" 117690334
"LOC117687128" 12.0176169162204 -1.97663826253462 0.686211035072468 0.000135682864591189 0.0052597481867554 "uncharacterized" "uncharacterized protein LOC117687128 isoform X1" "genome" 1 -1 "triploid_heat" 117687128
"LOC117682909" 12.814793978635 -1.9397367956078 0.612008228259792 5.17309933818597e-05 0.00255127853724172 "characterized" "heavy metal-binding protein HIP-like isoform X1" "genome" 1 -1 "triploid_heat" 117682909
"LOC105346538" 10.029830438041 -1.92137960519613 0.747322035422627 0.000309603068410121 0.00918107491450913 "characterized" "clumping factor A" "genome" 1 -1 "triploid_heat" 105346538
"LOC105326729" 13.1656994558684 -1.82296771234221 0.45911301653814 2.92507259243975e-06 0.000256918876035958 "characterized" "complement C1q-like protein 3" "genome" 1 -1 "triploid_heat" 105326729
"LOC117692009" 85.7010443962858 -1.79987226497328 0.547606781880105 3.54612780290872e-05 0.00195079621246173 "uncharacterized" "uncharacterized protein LOC117692009" "genome" 1 -1 "triploid_heat" 117692009
