"gene" "baseMean" "log2FoldChange" "lfcSE" "svalue" "description" "feature"
"LOC117680673" 9712.22749138836 8.27134481697868 0.76109234244871 9.66971593382577e-25 "heat shock protein 68-like" "genome"
"LOC105334510" 9353.18753406271 8.21657923617703 0.754355818632257 6.63520044557477e-25 "heat shock protein 68" "genome"
"LOC105348304" 8371.05249459273 8.16053747047896 0.746335053051197 3.30288392182978e-25 "heat shock protein 68" "genome"
"LOC105348305" 8464.16628406387 8.14027314330078 0.751588049199827 1.6391003877772e-24 "heat shock protein 68-like" "genome"
"LOC105346536" 166.821604750917 6.94844919271581 0.375640908806083 5.67937132787271e-65 "fibroin heavy chain isoform X1" "genome"
"LOC105334167" 11.1639633390648 5.68048129399663 0.396725343577565 1.16405022546482e-38 "N66 matrix protein-like" "genome"
"LOC105322484" 618.298960636279 5.6626540854629 0.54496558635052 1.16469513856636e-21 "heat shock protein 68-like" "genome"
"LOC105346538" 11.8734051810031 5.513184677792 0.527718730780074 7.64906928583474e-22 "clumping factor A" "genome"
"LOC105346578" 1308.75706589171 5.2252899970724 0.750477958846181 3.7748714309137e-11 "major egg antigen" "genome"
"LOC105321886" 1592.7003591964 3.9821120172487 0.481542648044908 8.97305756650903e-14 "uncharacterized protein LOC105321886" "genome"
"LOC105334234" 444.570432800207 3.89291339296328 0.630644927593887 1.0211775832067e-08 "heat shock protein 70 B2" "genome"
"LOC105333914" 8.20507373507658 3.84261046164476 0.438371843110627 3.37103346553658e-15 "prisilkin-39-like" "genome"
"LOC117680491" 9.19036151522696 3.7761720537466 0.318550021181539 2.11168234088392e-24 "mucin-2-like" "genome"
"LOC105334580" 949.521415443477 3.692949642202 0.528964837281009 1.94407016510855e-10 "BAG family molecular chaperone regulator 3" "genome"
"LOC105338672" 30.0494404881014 3.46178123608155 0.285487539752909 1.28370420044721e-24 "electroneutral sodium bicarbonate exchanger 1 isoform X2" "genome"
"LOC105344998" 189.409875213574 3.40441109675542 0.470094864331871 1.20828742368311e-10 "uncharacterized protein LOC105344998 isoform X2" "genome"
"LOC105343216" 96.4585216068377 3.35580016012819 0.53346662673963 1.25299316858913e-08 "heat shock protein 27" "genome"
"LOC117681464" 39.1228205478587 3.26636567119996 0.18503677567269 2.30236137170926e-48 "electroneutral sodium bicarbonate exchanger 1-like isoform X1" "genome"
"LOC105323913" 13.7646012463649 3.16467530511245 0.275827071832082 3.90976000475389e-22 "translation initiation factor IF-2-like isoform X2" "genome"
"LOC105338188" 52.3096389049823 3.16103903916246 0.279239439507729 2.09235350195292e-21 "uncharacterized protein LOC105338188" "genome"
"LOC117681182" 142.940433199807 3.00830186141638 0.492125963852707 4.31772870203325e-08 "uncharacterized protein LOC117681182" "genome"
"LOC105348880" 20.5112112567484 2.91709823483301 0.62757370599644 8.52696080707544e-06 "uncharacterized protein LOC105348880" "genome"
"LOC117691044" 298.925418911736 2.73811475833979 0.881246470710135 0.00108884130728856 "complement C1q tumor necrosis factor-related protein 3-like" "genome"
"LOC105346119" 8.68249102299639 2.73401541977456 0.305800789386657 1.40340801856469e-13 "uncharacterized protein LOC105346119 isoform X2" "genome"
"LOC109620817" 8.47594945488033 2.718371012615 0.3979384717844 4.09623332559669e-09 "temptin-like" "genome"
"LOC105346049" 7.72503509055965 2.57986068266348 0.365912178247645 3.00000204610197e-09 "von Willebrand factor A domain-containing protein 7" "genome"
"LOC105319646" 81.9968098699208 2.51972588480841 0.450788876689109 7.12563769223034e-07 "C-type lectin domain family 4 member M isoform X7" "genome"
"LOC117690706" 10.0846734429361 2.50902470865705 0.337917901959594 4.76379749704358e-10 "temptin-like" "genome"
"LOC105338907" 93.3334946014205 2.42938209022058 0.296763114658533 1.25228944761279e-11 "myosin heavy chain, striated muscle isoform X4" "genome"
"LOC105343641" 67.6017910394861 2.28993208207585 0.635956359832186 0.000406457749972029 "adiponectin" "genome"
"LOC105335286" 9.13159263694322 2.28222040802241 0.351987725643236 6.64461226630067e-08 "EGF-like domain-containing protein 2" "genome"
"LOC105348306" 27.4029516722274 2.21002895929074 0.435728292800808 7.18417927921524e-06 "transmembrane protein 234 homolog" "genome"
"LOC105345604" 14.7845815371796 2.18915919226328 0.327725824073812 5.27262095216481e-08 "peptidyl-prolyl cis-trans isomerase B" "genome"
"LOC117687358" 15.8771409908711 2.1325171850012 0.644402161397298 0.00130380773752235 "uncharacterized protein LOC117687358" "genome"
"LOC105329537" 16.3112829100717 2.02390263372672 0.48459166518508 0.000171156219042372 "putative mediator of RNA polymerase II transcription subunit 26 isoform X1" "genome"
"LOC105326670" 211.21301683108 1.92230515999721 0.252686483016725 6.99920985818943e-09 "UPF0676 protein C1494.01-like" "genome"
"LOC105323395" 20.5317818486518 1.87693470925164 0.387141541961665 4.59241403489641e-05 "dentin sialophosphoprotein-like" "genome"
"LOC105320549" 9.71241813759459 1.82832949477889 0.471266751640468 0.000475770462017743 "uncharacterized protein LOC105320549 isoform X2" "genome"
"LOC105332086" 32.3290848009676 1.77615341397734 0.530093690853495 0.00198887136875149 "small conductance calcium-activated potassium channel protein" "genome"
"LOC105344740" 17.9211946222077 1.76932541944474 0.553051788264851 0.00285616625122139 "uncharacterized protein LOC105344740" "genome"
"LOC105325416" 905.349270615777 1.72133801339943 0.351905033173494 8.73243841884457e-05 "inactive rhomboid protein 2 isoform X2" "genome"
"LOC105326721" 65.9542356685069 1.64102212188417 0.465061627893022 0.00175323010423909 "mantle protein isoform X2" "genome"
"LOC105319692" 7.30372743126256 1.60274385655372 0.309866461086733 5.71789477006743e-05 "big defensin isoform X1" "genome"
