"gene" "baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj" "description" "feature"
"LOC105332850" 11.2813072141633 3.76171754194793 0.700602832709948 5.36925825349223 7.90611367480131e-08 2.93611821576726e-05 "2'-deoxynucleoside 5'-phosphate N-hydrolase 1-like" "genome"
"LOC117691401" 18.6270034576854 3.23814742701995 0.832011599703272 3.89194985763996 9.94417998257617e-05 0.00959035218319613 "deleted in malignant brain tumors 1 protein-like" "genome"
"LOC105344998" 136.057404272208 3.0568556586168 0.472286879123386 6.47245518294018 9.64231260629535e-11 9.22769316422465e-08 "uncharacterized protein LOC105344998 isoform X2" "genome"
"LOC105319646" 96.3912034075545 2.99759271846716 0.488871078982764 6.13166302392957 8.69651566702611e-10 6.18247722362696e-07 "C-type lectin domain family 4 member M isoform X7" "genome"
"LOC105334643" 21.0249337159058 2.77141503042421 0.603624878999061 4.59128695129301 4.40521174775848e-06 0.000905382086573428 "uncharacterized protein LOC105334643" "genome"
"LOC117683717" 60.9549126078718 2.60479809120513 0.622995659668331 4.18108545506058 2.90120795244608e-05 0.00362753046596801 "uncharacterized protein LOC117683717" "genome"
"LOC117692755" 188.356153866623 2.4216975808766 0.363162443339953 6.66835909188347 2.58679240577026e-11 2.92566221092616e-08 "uncharacterized protein LOC117692755" "genome"
"LOC105318831" 71.7934630851925 2.41716941895834 0.487983743644388 4.9533810304956 7.29349574762115e-07 0.000192996390601904 "epithelial membrane protein 3" "genome"
"LOC105343216" 46.453038432932 2.36991819938932 0.590845202877958 4.01106446806311 6.04456006869697e-05 0.00638255913096663 "heat shock protein 27" "genome"
"LOC117685865" 24.6180866862759 2.23755061924543 0.60851737181392 3.67705298630268 0.000235944044681388 0.0186373324436898 "paternally-expressed gene 3 protein-like" "genome"
"LOC105328062" 15.3497979742807 2.14300640307715 0.466532611551089 4.5934761043869 4.35922956812151e-06 0.000905382086573428 "baculoviral IAP repeat-containing protein 2" "genome"
"LOC105332086" 32.7952436066272 2.12813375820295 0.50351406922089 4.22656264897604 2.37288228473515e-05 0.00320880744612935 "small conductance calcium-activated potassium channel protein" "genome"
"LOC117681902" 10.7465514318807 2.10508072154007 0.526933995277165 3.99496092567117 6.47049235847008e-05 0.00674963752207059 "uncharacterized protein LOC117681902" "genome"
"LOC117688622" 10.7807078708987 2.08059867587369 0.527708057683941 3.94270780136507 8.05667909128655e-05 0.00811604409511708 "uncharacterized protein LOC117688622" "genome"
"LOC105328057" 23.4858794377948 2.02806970272343 0.460347280860993 4.40552119463007 1.05529832639728e-05 0.00168320083060367 "uncharacterized protein LOC105328057" "genome"
"LOC105327716" 30.5657971495705 2.01640383486425 0.452128350122327 4.45980402316885 8.20346300164836e-06 0.00143745469300714 "uncharacterized protein LOC105327716" "genome"
"LOC105321541" 659.408101350659 2.01021624215508 0.376939912055388 5.33298856890406 9.66093954760489e-08 3.4838188090363e-05 "uncharacterized protein LOC105321541" "genome"
"LOC117689114" 659.923502704656 2.00590558853266 0.377386446425603 5.31525603935036 1.06507458509251e-07 3.7858836894674e-05 "LOW QUALITY PROTEIN: uncharacterized protein LOC117689114" "genome"
"LOC105327001" 9.3529377333472 1.9886385634775 0.590389532957595 3.36834996636083 0.000756195417304991 0.0406385623615179 "glutathione-specific gamma-glutamylcyclotransferase 2" "genome"
"LOC117681741" 166.391889946924 1.98560204684756 0.589731023313726 3.36696217148348 0.000760011128718004 0.0406679503328201 "uncharacterized protein LOC117681741" "genome"
"LOC117687174" 26.4027994886661 1.98478457812085 0.556221435037173 3.56833529435665 0.000359256579778524 0.0253230091162868 "uncharacterized protein LOC117687174" "genome"
"LOC105319208" 291.829834209519 1.97066855302048 0.358032384516557 5.50416285856776 3.70926546625572e-08 1.51301546444877e-05 "spliceosome RNA helicase DDX39B" "genome"
"LOCNA.13" 1811.42720305881 1.91249638053195 0.305715461776339 6.25580521645688 3.95470087407598e-10 3.1742215209277e-07 NA NA
"LOC105328762" 51.4924635310072 1.90334610048757 0.505851980822901 3.76265424006303 0.000168119558710589 0.0143796869239793 "D-beta-hydroxybutyrate dehydrogenase" "genome"
"LOC117680291" 3415.83533804111 1.89950902545313 0.31456012148054 6.0386199512917 1.5543785839552e-09 1.01779073489403e-06 "heat shock protein 83-like" "genome"
"LOC105340370" 1020.94562593856 1.89259790014906 0.279872057446912 6.76236819571763 1.35754164197278e-11 1.87657506308704e-08 "78 kDa glucose-regulated protein precursor" "genome"
"LOC105326670" 192.167293375548 1.87720326015474 0.261726355778027 7.1723890953757 7.37001154599368e-13 1.66709661170377e-09 "UPF0676 protein C1494.01-like" "genome"
"LOC105345989" 2975.61287090271 1.85867309570492 0.334399418925371 5.55824260005586 2.72504451392422e-08 1.16904409647349e-05 "heat shock protein 83-like" "genome"
"LOC117692932" 51.4274907198657 1.83229435606535 0.530071629027512 3.45669199354612 0.000546849499749317 0.0334317180657555 "uncharacterized protein LOC117692932 isoform X3" "genome"
"LOC105330649" 77.7912767303693 1.82940300639416 0.33071981061422 5.53157974720823 3.17359519309424e-08 1.3383965355012e-05 "galaxin-like" "genome"
"LOC105328056" 33.6532541545964 1.80303234194462 0.427346507373498 4.21913438119849 2.45242074756474e-05 0.00326316219470085 "uncharacterized protein LOC105328056 isoform X2" "genome"
"LOC105332206" 47.4263064762701 1.79654677749602 0.35890410019401 5.00564573245296 5.567507166666e-07 0.000155652486877509 "uncharacterized protein LOC105332206" "genome"
"LOC105337716" 52.0020127237175 1.77242361820226 0.382801287428024 4.63014017040243 3.65418280246791e-06 0.000780063989696009 "transcription factor jun-B isoform X1" "genome"
"LOC117684572" 26.1900957925922 1.76703870053176 0.517717565568458 3.41313259980186 0.000642206864071273 0.0369704768958008 "uncharacterized protein LOC117684572" "genome"
"LOC117682684" 56.3063850164356 1.74512000025898 0.491512257661804 3.55051165674031 0.000384483108766736 0.0264273721335191 "uncharacterized protein LOC117682684" "genome"
"LOC105326050" 14.0489181339677 1.72975291347655 0.512531976099762 3.37491706691069 0.00073837938594667 0.0402020916435996 "uncharacterized protein LOC105326050" "genome"
"LOC105341658" 73.4006941523578 1.72124594024135 0.476797117133322 3.61001750721587 0.000306176339031382 0.0221735664275387 "uncharacterized protein LOC105341658" "genome"
"LOC105344740" 14.3177678366563 1.71871678867226 0.391183572013938 4.39363232925084 1.11472282964276e-05 0.00175547680045387 "uncharacterized protein LOC105344740" "genome"
"LOC105323139" 2893.92763184399 1.69707263510592 0.329111964109657 5.1565206378838 2.51580766121073e-07 8.02542643926223e-05 "uncharacterized protein LOC105323139" "genome"
"LOC105327678" 259.01007784591 1.69623164154568 0.451198017972478 3.75939515241653 0.000170324638412728 0.0144642240716229 "uncharacterized protein LOC105327678" "genome"
"LOC109619835" 19.3298957275541 1.68280546560917 0.430003390137762 3.91347022885109 9.09791218761349e-05 0.00892222219244514 "uncharacterized protein LOC109619835" "genome"
"LOC105322182" 22.5297433348721 1.68277876069719 0.420941708310468 3.99765270932964 6.39737187156507e-05 0.00671643067123553 "uncharacterized protein LOC105322182 isoform X1" "genome"
"LOC105318474" 16.9089908438839 1.67180741324943 0.353690117311886 4.72675749595576 2.28133444514969e-06 0.000525594108001987 "uncharacterized protein LOC105318474" "genome"
"LOC105326121" 198.779566821342 1.6673812067261 0.363248859479272 4.59018979196889 4.42843154445687e-06 0.000905382086573428 "cysteine-rich with EGF-like domain protein 2-B isoform X2" "genome"
"LOC105325010" 218.764699805755 1.65169067592394 0.353832880866688 4.6679965747622 3.04150969618525e-06 0.000671936100117555 "hypoxia up-regulated protein 1 isoform X2" "genome"
"LOC105326635" 56.9736173883695 1.65120216801563 0.371183690903206 4.44847715156271 8.64812464820358e-06 0.00147400422966269 "basic salivary proline-rich protein 4" "genome"
"LOC105326643" 24.3297574231268 1.64117491328891 0.369747439643549 4.43863766810954 9.05300711086722e-06 0.00150782890386555 "uncharacterized protein LOC105326643" "genome"
"LOC105322807" 36.893745296714 1.62862688723256 0.352161159735734 4.62466357293547 3.75206891465333e-06 0.000791177785884781 "uncharacterized protein LOC105322807" "genome"
"LOC105341388" 147.229593047623 1.62852667747263 0.257489540145929 6.32463235807438 2.5383619642043e-10 2.25569722833326e-07 "protein disulfide-isomerase A6 isoform X1" "genome"
"LOC105336293" 21.2575806883881 1.62556423511501 0.354586341122573 4.58439608804076 4.55300440596431e-06 0.000910541990227871 "uncharacterized protein LOC105336293" "genome"
"LOC105324591" 33.3317538274525 1.61152573770935 0.445354130057459 3.61852653640246 0.000296285123424598 0.0220064669882115 "multiple epidermal growth factor-like domains protein 11 isoform X1" "genome"
"LOC105342525" 215.269387931081 1.57472428134664 0.351693001035567 4.47755365250328 7.55032558083833e-06 0.00134190857930299 "uncharacterized protein LOC105342525" "genome"
"LOC105347143" 45.9044374077819 1.56096990464402 0.403936884583561 3.8643906120465 0.000111366883789163 0.010456720009215 "uncharacterized protein LOC105347143" "genome"
"LOC105347119" 82.1983596944538 -1.52139643787921 0.44433835580736 -3.42395928236905 0.000617158672348536 0.036302936372048 "complement C1q tumor necrosis factor-related protein 3" "genome"
"LOC105338755" 1410.00078663913 -1.5293701747011 0.179292689755645 -8.53001969453102 1.46322803892299e-17 7.28160801289636e-14 "short-chain collagen C4-like" "genome"
"LOC105340239" 108.310691474756 -1.53062079195451 0.269788169828152 -5.67341701057342 1.39976927436021e-08 6.82922727149624e-06 "A disintegrin and metalloproteinase with thrombospondin motifs gon-1" "genome"
"LOC117691511" 57.937865727159 -1.531990790343 0.365241208513346 -4.19446315101934 2.73518609397898e-05 0.0035631885021144 "ryncolin-4-like" "genome"
"LOC105329069" 4786.35742431108 -1.53466605177008 0.384195351233672 -3.99449406881728 6.48325443201861e-05 0.00674963752207059 "L-rhamnose-binding lectin CSL3 isoform X1" "genome"
"LOC105342362" 10.7879676423948 -1.53666685796969 0.403504805109828 -3.80829878234394 0.000139926141360095 0.0125238929831723 "probable serine/threonine-protein kinase pats1" "genome"
"LOC117692303" 88.8068044909776 -1.54226895782816 0.332863549078506 -4.63333687962455 3.59818295625624e-06 0.000778521637544067 "uncharacterized protein LOC117692303 isoform X1" "genome"
"LOC117682935" 398.70778862674 -1.5440624022818 0.333537052050578 -4.62935794625797 3.66801249073358e-06 0.000780063989696009 "heavy metal-binding protein HIP-like" "genome"
"LOC105334262" 8.61974141682175 -1.54981491543864 0.349797090027994 -4.4306112303982 9.39663629194525e-06 0.00154839141865021 "uncharacterized protein LOC105334262" "genome"
"LOC117683787" 858.166115514124 -1.55541973144713 0.353253211261799 -4.40312977167643 1.06700296918374e-05 0.00169102980122483 "uncharacterized protein LOC117683787" "genome"
"LOC105322914" 177.029947584099 -1.55748842521554 0.381855511572824 -4.0787375800873 4.52809134350886e-05 0.00521610966709202 "uncharacterized protein LOC105322914" "genome"
"LOC105326445" 929.701930006868 -1.56864223034275 0.358007975727867 -4.38158459222463 1.17819282816128e-05 0.00182085676709994 "uncharacterized protein LOC105326445" "genome"
"LOC117682926" 237.734757692198 -1.5695685181646 0.376447473154792 -4.16942237654283 3.05372597759716e-05 0.00376152523636497 "heavy metal-binding protein HIP-like" "genome"
"LOC117688508" 123.19431895516 -1.5739694810153 0.427518674253444 -3.68163913252175 0.000231739267642954 0.0184221612060447 "uncharacterized protein LOC117688508" "genome"
