day,ploidy,trt,survival,mortality
-30,diploid,D-control,100,0
-29,diploid,D-control,100,0
-28,diploid,D-control,100,0
-27,diploid,D-control,100,0
-26,diploid,D-control,100,0
-25,diploid,D-control,100,0
-24,diploid,D-control,100,0
-23,diploid,D-control,100,0
-22,diploid,D-control,100,0
-21,diploid,D-control,100,0
-20,diploid,D-control,100,0
-19,diploid,D-control,100,0
-18,diploid,D-control,100,0
-17,diploid,D-control,100,0
-16,diploid,D-control,100,0
-15,diploid,D-control,100,0
-14,diploid,D-control,100,0
-13,diploid,D-control,100,0
-12,diploid,D-control,100,0
-11,diploid,D-control,100,0
-10,diploid,D-control,100,0
-9,diploid,D-control,100,0
-8,diploid,D-control,100,0
-7,diploid,D-control,100,0
-6,diploid,D-control,100,0
-5,diploid,D-control,100,0
-4,diploid,D-control,100,0
-3,diploid,D-control,100,0
-2,diploid,D-control,100,0
-1,diploid,D-control,100,0
0,diploid,D-control,100,0
1,diploid,D-control,100,0
2,diploid,D-control,100,0
3,diploid,D-control,100,0
4,diploid,D-control,100,0
5,diploid,D-control,100,0
6,diploid,D-control,100,0
7,diploid,D-control,100,0
8,diploid,D-control,100,0
9,diploid,D-control,100,0
10,diploid,D-control,100,0
11,diploid,D-control,100,0
12,diploid,D-control,100,0
13,diploid,D-control,100,0
14,diploid,D-control,97.72727273,2.272727273
15,diploid,D-control,97.72727273,2.272727273
16,diploid,D-control,97.72727273,2.272727273
17,diploid,D-control,97.72727273,2.272727273
18,diploid,D-control,97.72727273,2.272727273
19,diploid,D-control,97.72727273,2.272727273
20,diploid,D-control,97.72727273,2.272727273
21,diploid,D-control,97.72727273,2.272727273
22,diploid,D-control,97.72727273,2.272727273
23,diploid,D-control,97.72727273,2.272727273
24,diploid,D-control,97.72727273,2.272727273
25,diploid,D-control,97.72727273,2.272727273
26,diploid,D-control,97.72727273,2.272727273
27,diploid,D-control,97.72727273,2.272727273
28,diploid,D-control,97.72727273,2.272727273
29,diploid,D-control,97.72727273,2.272727273
30,diploid,D-control,94.31818182,5.681818182
-30,diploid,D-heat_only,100,0
-29,diploid,D-heat_only,100,0
-28,diploid,D-heat_only,100,0
-27,diploid,D-heat_only,100,0
-26,diploid,D-heat_only,100,0
-25,diploid,D-heat_only,100,0
-24,diploid,D-heat_only,100,0
-23,diploid,D-heat_only,100,0
-22,diploid,D-heat_only,100,0
-21,diploid,D-heat_only,100,0
-20,diploid,D-heat_only,100,0
-19,diploid,D-heat_only,100,0
-18,diploid,D-heat_only,100,0
-17,diploid,D-heat_only,100,0
-16,diploid,D-heat_only,100,0
-15,diploid,D-heat_only,100,0
-14,diploid,D-heat_only,100,0
-13,diploid,D-heat_only,100,0
-12,diploid,D-heat_only,100,0
-11,diploid,D-heat_only,100,0
-10,diploid,D-heat_only,100,0
-9,diploid,D-heat_only,100,0
-8,diploid,D-heat_only,100,0
-7,diploid,D-heat_only,100,0
-6,diploid,D-heat_only,100,0
-5,diploid,D-heat_only,100,0
-4,diploid,D-heat_only,100,0
-3,diploid,D-heat_only,100,0
-2,diploid,D-heat_only,100,0
-1,diploid,D-heat_only,100,0
0,diploid,D-heat_only,97.72727273,2.272727273
1,diploid,D-heat_only,97.72727273,2.272727273
2,diploid,D-heat_only,94.31818182,5.681818182
3,diploid,D-heat_only,94.31818182,5.681818182
4,diploid,D-heat_only,90.90909091,9.090909091
5,diploid,D-heat_only,90.90909091,9.090909091
6,diploid,D-heat_only,90.90909091,9.090909091
7,diploid,D-heat_only,90.90909091,9.090909091
8,diploid,D-heat_only,90.90909091,9.090909091
9,diploid,D-heat_only,90.90909091,9.090909091
10,diploid,D-heat_only,90.90909091,9.090909091
11,diploid,D-heat_only,90.90909091,9.090909091
12,diploid,D-heat_only,90.90909091,9.090909091
13,diploid,D-heat_only,90.90909091,9.090909091
14,diploid,D-heat_only,90.90909091,9.090909091
15,diploid,D-heat_only,90.90909091,9.090909091
16,diploid,D-heat_only,90.90909091,9.090909091
17,diploid,D-heat_only,90.90909091,9.090909091
18,diploid,D-heat_only,90.90909091,9.090909091
19,diploid,D-heat_only,90.90909091,9.090909091
20,diploid,D-heat_only,90.90909091,9.090909091
21,diploid,D-heat_only,90.90909091,9.090909091
22,diploid,D-heat_only,90.90909091,9.090909091
23,diploid,D-heat_only,90.90909091,9.090909091
24,diploid,D-heat_only,90.90909091,9.090909091
25,diploid,D-heat_only,90.90909091,9.090909091
26,diploid,D-heat_only,90.90909091,9.090909091
27,diploid,D-heat_only,90.90909091,9.090909091
28,diploid,D-heat_only,90.90909091,9.090909091
29,diploid,D-heat_only,90.90909091,9.090909091
30,diploid,D-heat_only,90.90909091,9.090909091
