"gene" "baseMean" "log2FoldChange" "lfcSE" "pvalue" "padj" "cat" "description" "feature" "count" "plus_minus" "analysis"
"LOC105322681" 16.2167389968574 3.22134605077944 0.639847914937908 2.46265235095362e-08 1.1367242863853e-05 "characterized" "barrier-to-autointegration factor" "genome" 1 "1" "heat_ploidy"
"LOC109617784" 39.1826436708099 3.11988132010781 0.827485077013877 6.56933794987271e-06 0.000501269063790081 "characterized" "heat shock 70 kDa protein 12A-like" "genome" 1 "1" "heat_ploidy"
"LOC105337786" 12.7879884426943 3.10812249345752 0.587253806230451 6.29902105226675e-09 3.84545075529511e-06 "characterized" "neuropeptide SIFamide receptor" "genome" 1 "1" "heat_ploidy"
"LOC109619522" 18.7589777990181 2.83130229973689 0.650529483747776 6.34007083826982e-07 0.000108095351904736 "characterized" "sarcoplasmic calcium-binding protein-like" "genome" 1 "1" "heat_ploidy"
"LOC105331377" 22.7610938055727 2.75421921307734 0.490601605149344 1.09213048593899e-09 1.04938759165387e-06 "characterized" "atrial natriuretic peptide receptor 1" "genome" 1 "1" "heat_ploidy"
"LOC117683546" 13.3461823251482 2.61904121614141 0.810326562363309 4.90070904649748e-05 0.0019281895780658 "characterized" "kielin/chordin-like protein" "genome" 1 "1" "heat_ploidy"
"LOC117683634" 17.6433998490308 2.60264354059674 0.594015345891452 5.63012077378618e-07 0.000100518901550852 "characterized" "sarcoplasmic calcium-binding protein-like" "genome" 1 "1" "heat_ploidy"
"LOC105339973" 18.8250911397736 2.55650133139974 0.460205631357851 1.48425286329429e-09 1.33759454465926e-06 "characterized" "natural resistance-associated macrophage protein 2-like isoform X1" "genome" 1 "1" "heat_ploidy"
"LOC105329537" 18.1832084496186 2.53798013441342 0.650451937607087 4.38027637794455e-06 0.000389186527946481 "characterized" "putative mediator of RNA polymerase II transcription subunit 26 isoform X1" "genome" 1 "1" "heat_ploidy"
"LOC105323056" 19.5747738000995 2.51800686655227 0.583213269878273 7.51491872118397e-07 0.000120667218341459 "characterized" "temptin" "genome" 1 "1" "heat_ploidy"
"LOC105344970" 22.4443937381304 2.50219136428429 0.45853529047186 2.47507370975706e-09 1.79482007652628e-06 "characterized" "homeobox protein ARX-like" "genome" 1 "1" "heat_ploidy"
"LOC105318527" 8.17956515049996 2.4881267642688 0.530372878796518 1.45614980883395e-07 3.99386016408441e-05 "characterized" "L-galactose dehydrogenase" "genome" 1 "1" "heat_ploidy"
"LOC105319852" 23.2946513997895 2.43370219799302 0.457875807725664 5.4608671546077e-09 3.44489703003169e-06 "characterized" "cytochrome P450 26A1" "genome" 1 "1" "heat_ploidy"
"LOC105324591" 26.0029262519222 2.39196289470804 0.798109441517392 0.000102691394371732 0.00321228865865294 "characterized" "multiple epidermal growth factor-like domains protein 11 isoform X1" "genome" 1 "1" "heat_ploidy"
"LOC117692625" 19.8847926593137 2.36819137595136 1.57962580837916 0.00235039455359598 0.0227409084492863 "characterized" "zinc finger protein 182-like" "genome" 1 "1" "heat_ploidy"
"LOC117692333" 75.6680935807029 2.3649596117542 0.585874118443576 2.54493707070672e-06 0.00027057828125351 "characterized" "GTPase IMAP family member 6-like" "genome" 1 "1" "heat_ploidy"
"LOC117691269" 13.6195115778461 2.35699127411786 0.680044720561975 2.36676349874134e-05 0.00119074144023746 "characterized" "multiple epidermal growth factor-like domains protein 10" "genome" 1 "1" "heat_ploidy"
