"Gene.secondaryIdentifier","Gene.symbol","Gene.primaryIdentifier","Gene.organism.name","Gene.goAnnotation.ontologyTerm.identifier","Gene.goAnnotation.ontologyTerm.name","Gene.goAnnotation.ontologyTerm.parents.identifier","Gene.goAnnotation.ontologyTerm.parents.name"
"","LOC105321060","105321060","Crassostrea gigas","GO:0016301","kinase activity","GO:0006793","phosphorus metabolic process"
"","LOC105321060","105321060","Crassostrea gigas","GO:0016301","kinase activity","GO:0006796","phosphate-containing compound metabolic process"
"","LOC105321060","105321060","Crassostrea gigas","GO:0016301","kinase activity","GO:0008152","metabolic process"
"","LOC105321060","105321060","Crassostrea gigas","GO:0016301","kinase activity","GO:0009987","cellular process"
"","LOC105321060","105321060","Crassostrea gigas","GO:0016301","kinase activity","GO:0016310","phosphorylation"
"","LOC105321060","105321060","Crassostrea gigas","GO:0016301","kinase activity","GO:0044237","cellular metabolic process"
"","LOC105324323","105324323","Crassostrea gigas","GO:0006886","intracellular protein transport","GO:0006810","transport"
"","LOC105324323","105324323","Crassostrea gigas","GO:0006886","intracellular protein transport","GO:0006886","intracellular protein transport"
"","LOC105324323","105324323","Crassostrea gigas","GO:0006886","intracellular protein transport","GO:0008104","protein localization"
"","LOC105324323","105324323","Crassostrea gigas","GO:0006886","intracellular protein transport","GO:0009987","cellular process"
"","LOC105324323","105324323","Crassostrea gigas","GO:0006886","intracellular protein transport","GO:0015031","protein transport"
"","LOC105324323","105324323","Crassostrea gigas","GO:0006886","intracellular protein transport","GO:0033036","macromolecule localization"
"","LOC105324323","105324323","Crassostrea gigas","GO:0006886","intracellular protein transport","GO:0034613","cellular protein localization"
"","LOC105324323","105324323","Crassostrea gigas","GO:0006886","intracellular protein transport","GO:0045184","establishment of protein localization"
"","LOC105324323","105324323","Crassostrea gigas","GO:0006886","intracellular protein transport","GO:0046907","intracellular transport"
"","LOC105324323","105324323","Crassostrea gigas","GO:0006886","intracellular protein transport","GO:0051179","localization"
