"gene" "baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj" "description" "feature"
"LOC117680554" 32.5989122349176 8.55361249404278 1.46977348323514 5.81968078184081 5.89601223452247e-09 6.71446293744903e-06 "uncharacterized protein LOC117680554" "genome"
"LOC105324285" 28.0432491959111 4.87389475358371 0.727382986998964 6.700589429088 2.07580515179322e-11 1.70984070353207e-07 "patched domain-containing protein 3-like" "genome"
"LOC117680321" 78.0125359478911 3.99871330366965 0.974452597162814 4.10354830528666 4.06861454257868e-05 0.0015760341834872 "uncharacterized protein LOC117680321" "genome"
"LOC105338289" 74.2821619075872 3.95233759911299 1.02092572609515 3.87132726513803 0.000108244349559485 0.00275384064922846 "bcl-2-associated transcription factor 1-like" "genome"
"LOC105322866" 28.1852427603544 3.63419267370781 0.716613077720515 5.07134573271795 3.95012400096546e-07 9.56975629292719e-05 "uncharacterized protein LOC105322866" "genome"
"LOC105330135" 36.7496807184257 3.50600913649623 0.587313795879556 5.96956713956576 2.37883856476834e-09 5.03526636099104e-06 "potassium voltage-gated channel protein Shaw" "genome"
"LOC105347441" 125.944947675428 3.4708558907002 0.604140848554178 5.74511043079872 9.18610152242093e-09 9.86946759654537e-06 "uncharacterized protein LOC105347441" "genome"
"LOC105329018" 47.2236345891551 3.39976437193677 0.571197603903688 5.95199340596328 2.6489604909912e-09 5.03526636099104e-06 "perlucin-like" "genome"
"LOC117687261" 26.6763216360278 3.33802037212495 0.67043244883435 4.97890634310528 6.39445745506476e-07 0.000125734784093235 "uncharacterized protein LOC117687261" "genome"
"LOC109620497" 26.8437265334741 3.33092583700613 0.878336176685499 3.79231315460073 0.000149250539055822 0.0033659169818974 "uncharacterized protein LOC109620497" "genome"
"LOC105341995" 84.5096813566589 3.30774664958623 0.565427854057545 5.84998886391895 4.91605925184847e-09 6.3290264663765e-06 "neurotrypsin isoform X1" "genome"
"LOC105318674" 25.0054072363108 3.28353009256012 0.600450912180683 5.46844051020788 4.54012392344629e-08 2.60909307609956e-05 "uncharacterized protein LOC105318674" "genome"
"LOC105322531" 54.9498958612987 3.27761106544278 0.626949035122779 5.22787480612504 1.71469548873777e-07 5.6495786962932e-05 "uncharacterized protein LOC105322531" "genome"
"LOC105323226" 98.8869017907016 3.27535345401972 0.650177261895924 5.03763149832209 4.71327743836643e-07 0.000103070618388914 "FK506-binding protein 2" "genome"
"LOC117689920" 20.9183835505455 3.25675322671246 0.55327083980874 5.88636340899202 3.94785739294318e-09 5.66199235415409e-06 "P-selectin-like" "genome"
"LOC117688512" 36.9414669000152 3.22966072065246 0.601035601254043 5.37349320724741 7.72257158850659e-08 3.5339345652516e-05 "uncharacterized protein LOC117688512" "genome"
"LOC105334430" 38.6538356007096 3.20608065039243 0.620373870959572 5.16798143905284 2.36635803402779e-07 6.87942039751303e-05 "uncharacterized protein LOC105334430" "genome"
"LOC117681619" 110.045270633125 3.20490639747137 0.603752021801607 5.30831580142435 1.10642821250331e-07 4.6308418085353e-05 "uncharacterized protein LOC117681619" "genome"
"LOC105328933" 22.2815106413878 3.18873737728156 0.506179802649012 6.29961401184679 2.98387754178958e-10 1.05335139907375e-06 "low-density lipoprotein receptor-related protein 4" "genome"
"LOC105333169" 67.0693983551352 3.17752083943964 0.730166269974829 4.35177708160798 1.35038523602718e-05 0.000768879483121373 "uncharacterized protein LOC105333169" "genome"
"LOC117690809" 74.4872285400227 3.13737056883791 0.409813973122897 7.6555968673549 1.92416445850832e-14 4.7548027934199e-10 "uncharacterized protein LOC117690809 isoform X1" "genome"
"LOC117689258" 45.037214732315 3.07753906486478 0.641229854172281 4.79943197410446 1.59116268522375e-06 0.000205960215782766 "uncharacterized protein LOC117689258" "genome"
"LOC117692625" 36.3508024025204 3.06846769335556 0.744073879202971 4.12387503327278 3.72551074077136e-05 0.00148376826971445 "zinc finger protein 182-like" "genome"
"LOC117692998" 38.8237655547132 3.06534177889631 0.58612455871752 5.22984702364885 1.69650363512796e-07 5.6495786962932e-05 "uncharacterized protein LOC117692998" "genome"
"LOC105338509" 350.414633947187 3.00251832664874 0.484126484117659 6.2019295063375 5.57750617349621e-10 1.53139727836961e-06 "gonadotropin-releasing hormone II receptor" "genome"
"LOC105337262" 55.2218300599531 2.99999684889035 0.609398785716821 4.92287959740768 8.52799260583125e-07 0.000143941178178788 "multiple epidermal growth factor-like domains protein 6" "genome"
"LOC105323935" 29.7693879971249 2.96691269130334 0.638426298417637 4.64722819009326 3.36424948093554e-06 0.000308535796218301 "uncharacterized protein LOC105323935" "genome"
"LOC117687542" 34.6545240552897 2.96039866222565 0.642968648196081 4.6042659630938 4.13923205594316e-06 0.000352705390808315 "uncharacterized protein LOC117687542" "genome"
"LOC117692398" 1926.64670759268 2.95882281174687 0.695757920807714 4.25266133989813 2.11244918316689e-05 0.0010524341081701 "histone H4" "genome"
"LOC117689339" 50.3138888349732 2.95280024097355 0.455522430242363 6.48222797591437 9.03779368099656e-11 5.58332299127765e-07 "uncharacterized protein LOC117689339" "genome"
"LOC105345161" 58.7501526208008 2.93144693278954 0.536867228350957 5.46028287439668 4.75376544047126e-08 2.61045106221079e-05 "uncharacterized protein LOC105345161" "genome"
"LOC117688518" 69.6076213997077 2.92021077964311 0.736088319937027 3.96720162587682 7.27214681374078e-05 0.0021821937352301 "fucolectin-5-like" "genome"
"LOC105328254" 157.576156074382 2.89264892296543 0.479350810158124 6.03451347461211 1.59442326876433e-09 3.93997933944353e-06 "uncharacterized protein LOC105328254 isoform X1" "genome"
"LOC105324728" 126.958221502285 2.88992495305776 0.488273513293498 5.91866008369913 3.24574990321328e-09 5.05997430831299e-06 "cytochrome P450 2D20" "genome"
"LOC117692922" 17.9649194822682 2.86208528804394 0.621069504511052 4.6083172128974 4.05941019914554e-06 0.000349214678854675 "uncharacterized protein LOC117692922 isoform X1" "genome"
"LOC105342351" 97.784974049924 2.85587734721623 0.606980312716468 4.70505762276718 2.53794260499985e-06 0.000263315795369706 "uncharacterized protein LOC105342351" "genome"
"LOC105325816" 44.3733160265979 2.85123471263142 0.776118248947928 3.67371172691331 0.000239052418836585 0.00449345417054163 "uncharacterized protein LOC105325816" "genome"
"LOC109619024" 56.0290306717527 2.84595896862078 0.514449970858008 5.53204223896495 3.16523654520724e-08 2.00554257099016e-05 "uncharacterized protein LOC109619024" "genome"
"LOC105343679" 84.7523443235531 2.82842866746671 0.498981611764586 5.66840260398439 1.44134964107688e-08 1.3033759792408e-05 "solute carrier family 22 member 15-like isoform X1" "genome"
"LOC105319836" 87.9538767478264 2.81418586999011 0.612776616799431 4.59251510719971 4.37935797035714e-06 0.000363553408742172 "uncharacterized protein LOC105319836" "genome"
"LOC105318064" 137.110367134102 2.79490668426257 0.597238533704123 4.67971593682733 2.87272655693696e-06 0.00028282050178673 "LOW QUALITY PROTEIN: alkaline phosphatase, tissue-nonspecific isozyme" "genome"
"LOC117693006" 32.6021407251882 2.79487695238197 0.507908982402086 5.5027121969058 3.73992670942234e-08 2.25408119308623e-05 "uncharacterized protein LOC117693006" "genome"
"LOC117685250" 71.6138658474142 2.79071751781002 0.490073271929293 5.69449035003211 1.23740984175065e-08 1.27406810831252e-05 "uncharacterized protein LOC117685250" "genome"
"LOC105336862" 64.1368296959455 2.76489091073866 0.543749520934656 5.08486132730023 3.67894763825348e-07 9.00103713751304e-05 "protein SpAN-like" "genome"
"LOC117682309" 29.6391751425431 2.73851725068584 0.602129878758805 4.54805075664217 5.41450786175986e-06 0.000416815899601084 "uncharacterized protein LOC117682309" "genome"
"LOC117691037" 68.9372133039534 2.71207347611771 0.570818683196139 4.75119955943315 2.02213441356995e-06 0.00023133779395244 "uncharacterized protein LOC117691037" "genome"
"LOC105344467" 139.964819888621 2.70270107370468 0.562772709939073 4.80247358475731 1.56717498748619e-06 0.000205960215782766 "uncharacterized protein LOC105344467 isoform X3" "genome"
"LOC117686204" 98.6742391716933 2.68223241769947 0.531576742086919 5.04580468883811 4.51616566500127e-07 0.000100539612385447 "uncharacterized protein LOC117686204 isoform X1" "genome"
"LOC105318297" 17.9360333265182 2.67624498360642 0.505983524845647 5.2891939207365 1.22856584023113e-07 4.84405034796343e-05 "uncharacterized protein LOC105318297 isoform X2" "genome"
