"","GOID","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","GOSlim"
"1","GO:0033194",0.000590884352213826,0.999965611943927,4,13,"response to hydroperoxide","BP","stress response"
"2","GO:0002407",0.000829920951621542,0.999945974089591,4,14,"dendritic cell chemotaxis","BP","other biological processes"
"3","GO:0030970",0.00264186570836168,0.999872703985801,3,8,"retrograde protein transport, ER to cytosol","BP","transport"
"4","GO:0045599",0.00368715455851286,0.999325032757718,6,39,"negative regulation of fat cell differentiation","BP","other biological processes"
"5","GO:0070588",0.00386720700641313,0.999276419046416,6,45,"calcium ion transmembrane transport","BP","transport"
"6","GO:0034162",0.00387293321919658,0.999776068330209,3,9,"toll-like receptor 9 signaling pathway","BP","signal transduction"
"7","GO:0051489",0.00496166136502695,0.999208405448147,5,34,"regulation of filopodium assembly","BP","cell organization and biogenesis"
"8","GO:0051568",0.0080382564058883,0.999343723031145,3,12,"histone H3-K4 methylation","BP","cell organization and biogenesis"
"9","GO:0001659",0.00804557596503528,0.998914376728903,4,24,"temperature homeostasis","BP","other biological processes"
"10","GO:0007154",0.00906571478508605,0.999213398459148,3,13,"cell communication","BP","other biological processes"
"11","GO:0007435",0.0115921288922963,0.998883194174561,3,14,"salivary gland morphogenesis","BP","developmental processes"
"12","GO:0048147",0.0124804119896703,0.997494926421887,5,36,"negative regulation of fibroblast proliferation","BP","cell cycle and proliferation"
"13","GO:0021537",0.0135033709613267,0.998606962395075,3,15,"telencephalon development","BP","developmental processes"
"14","GO:0070301",0.0135084789524385,0.997202251697549,5,42,"cellular response to hydrogen peroxide","BP","stress response"
"15","GO:0032024",0.0137952355389378,0.99778485737829,4,28,"positive regulation of insulin secretion","BP","cell-cell signaling"
"16","GO:0051209",0.0157965400958322,0.997368175392412,4,27,"release of sequestered calcium ion into cytosol","BP","transport"
"17","GO:0048730",0.015883124237232,0.999270629872101,2,6,"epidermis morphogenesis","BP","developmental processes"
"18","GO:0034097",0.0159525081627779,0.997325201555956,4,28,"response to cytokine","BP","other biological processes"
"19","GO:0014819",0.016192870685741,0.999248731842725,2,6,"regulation of skeletal muscle contraction","BP","other biological processes"
"20","GO:0007566",0.0165874095935031,0.998133302932041,3,16,"embryo implantation","BP","developmental processes"
"21","GO:0032570",0.0173224019328574,0.998018466881788,3,16,"response to progesterone","BP","other biological processes"
"22","GO:0016032",0.0175213562769665,0.994245375266146,8,97,"viral process","BP","other biological processes"
"23","GO:0046549",0.0176410756469386,0.999143342141854,2,6,"retinal cone cell development","BP","developmental processes"
"24","GO:0006366",0.0180222424969176,0.994054895842352,8,95,"transcription by RNA polymerase II","BP","RNA metabolism"
"25","GO:0032481",0.0186153643568317,0.996730613110649,4,28,"positive regulation of type I interferon production","BP","other biological processes"
"26","GO:0031589",0.0192798127235892,0.997683920369315,3,17,"cell-substrate adhesion","BP","cell adhesion"
"27","GO:0051292",0.0194495874089017,0.998951222443065,2,7,"nuclear pore complex assembly","BP","cell organization and biogenesis"
"28","GO:0002218",0.0198680059773098,0.997606170955631,3,16,"activation of innate immune response","BP","stress response"
"29","GO:0048009",0.0206200855888185,0.998852826146019,2,7,"insulin-like growth factor receptor signaling pathway","BP","signal transduction"
"30","GO:0001678",0.0206553308792274,0.998849814724103,2,7,"cellular glucose homeostasis","BP","other biological processes"
"31","GO:0030100",0.0224216502896942,0.997126248104652,3,18,"regulation of endocytosis","BP","cell organization and biogenesis"
"32","GO:0060337",0.0228448284229738,0.99865729192892,2,7,"type I interferon signaling pathway","BP","signal transduction"
"33","GO:0021895",0.0238117671094292,0.998568920432896,2,7,"cerebral cortex neuron differentiation","BP","developmental processes"
"34","GO:0060216",0.0239772936360027,0.996847028387985,3,18,"definitive hemopoiesis","BP","developmental processes"
"35","GO:0007026",0.0244431689240707,0.996761974893076,3,18,"negative regulation of microtubule depolymerization","BP","cell organization and biogenesis"
"36","GO:0032967",0.0245306848017363,0.998501916041335,2,7,"positive regulation of collagen biosynthetic process","BP","other metabolic processes"
"37","GO:0002230",0.0250974407748267,0.995130609086618,4,31,"positive regulation of defense response to virus by host","BP","stress response"
"38","GO:0045739",0.026529244036649,0.996399552895951,3,17,"positive regulation of DNA repair","BP",NA
"39","GO:0060402",0.0273929183725337,0.998158468185688,2,8,"calcium ion transport into cytosol","BP","transport"
"40","GO:0046485",0.0275363726376252,0.998210063840706,2,7,"ether lipid metabolic process","BP","other metabolic processes"
"41","GO:0050807",0.0286709562767562,0.998024445471339,2,8,"regulation of synapse organization","BP","cell organization and biogenesis"
"42","GO:0016199",0.0296243761442062,0.995722414232434,3,20,"axon midline choice point recognition","BP","cell organization and biogenesis"
"43","GO:0006367",0.0298185831280326,0.992363877391389,5,49,"transcription initiation from RNA polymerase II promoter","BP","RNA metabolism"
"44","GO:0043967",0.029974609868355,0.995676678047252,3,19,"histone H4 acetylation","BP","cell organization and biogenesis"
"45","GO:0007044",0.0310931842534063,0.997761246411874,2,8,"cell-substrate junction assembly","BP","cell organization and biogenesis"
"46","GO:0070371",0.0341538940398894,0.994849845003688,3,18,"ERK1 and ERK2 cascade","BP","signal transduction"
"47","GO:0002244",0.0355770525826081,0.990423259655818,5,52,"hematopoietic progenitor cell differentiation","BP","developmental processes"
"48","GO:0045087",0.0369834216337232,0.981119288907885,15,248,"innate immune response","BP","stress response"
"49","GO:0007409",0.0383225595217233,0.986505910919658,7,91,"axonogenesis","BP","cell organization and biogenesis"
"50","GO:0032874",0.0412007850152799,0.996446714872757,2,9,"positive regulation of stress-activated MAPK cascade","BP","signal transduction"
"51","GO:0030048",0.0420037052441429,0.996263206681976,2,10,"actin filament-based movement","BP","transport"
"52","GO:0030433",0.0428630494980417,0.987857804491449,5,53,"ubiquitin-dependent ERAD pathway","BP","protein metabolism"
"53","GO:0034244",0.0430670787701925,0.996194091956098,2,9,"negative regulation of transcription elongation from RNA polymerase II promoter","BP","RNA metabolism"
"54","GO:0046847",0.0431754226132394,0.996100421003758,2,10,"filopodium assembly","BP","cell organization and biogenesis"
"55","GO:0015949",0.0435981636572235,0.996121043980891,2,9,"nucleobase-containing small molecule interconversion","BP","other metabolic processes"
"56","GO:0048709",0.0441711967634377,0.99241153049463,3,24,"oligodendrocyte differentiation","BP","developmental processes"
"57","GO:0040034",0.0452111986102824,0.995811578563065,2,10,"regulation of development, heterochronic","BP","other biological processes"
"58","GO:0046548",0.0455516299777551,0.995762539120241,2,10,"retinal rod cell development","BP","developmental processes"
"59","GO:0012501",0.0461700035745392,0.991956982910406,3,23,"programmed cell death","BP","death"
"60","GO:0001503",0.0462895489487082,0.988932542484004,4,40,"ossification","BP","developmental processes"
"61","GO:0006283",0.0468211916680528,0.991797931240807,3,23,"transcription-coupled nucleotide-excision repair","BP",NA
"62","GO:0019722",0.0469801730006876,0.99175895864651,3,23,"calcium-mediated signaling","BP","signal transduction"
"63","GO:0070542",0.0472080541027793,0.995448065471328,2,11,"response to fatty acid","BP","other biological processes"
"64","GO:0010761",0.0472183976194289,0.995519419626417,2,10,"fibroblast migration","BP","other biological processes"
"65","GO:0031929",0.0484026657572267,0.995343655112841,2,10,"TOR signaling","BP","signal transduction"
"66","GO:0002224",0.0486981012201832,0.991368966645075,3,22,"toll-like receptor signaling pathway","BP","signal transduction"
