gene,baseMean,log2FoldChange,lfcSE,pvalue,padj,cat,description,feature,count,plus_minus,analysis
LOC105343654,43.67797396,-3.412640594,0.757805272,2.66E-07,1.67E-05,characterized,short-chain collagen C4-like,genome,1,-1,diploid_heat
LOC105346570,48.55676878,-2.729286456,0.649162912,1.14E-06,5.53E-05,characterized,O-acyltransferase like protein,genome,1,-1,diploid_heat
LOC105318074,257.7897719,-2.393379886,0.50903636,1.19E-07,8.56E-06,characterized,perlucin-like protein,genome,1,-1,diploid_heat
LOC105348557,388.0522204,-2.372581137,0.941187447,0.000347021,0.00431062,characterized,fucolectin,genome,1,-1,diploid_heat
LOC105333234,26.57207589,-2.339833509,0.605179717,4.90E-06,0.000176736,characterized,fibroleukin isoform X1,genome,1,-1,diploid_heat
LOC117688633,33.16129427,-2.300324888,0.613655759,7.70E-06,0.000251435,characterized,flocculation protein FLO11-like,genome,1,-1,diploid_heat
LOC109617890,25.21639319,-2.236813196,0.649755404,2.40E-05,0.000618983,characterized,multiple epidermal growth factor-like domains protein 10 isoform X1,genome,1,-1,diploid_heat
LOC117692236,23.80153477,-2.221407228,0.470160085,1.20E-07,8.57E-06,characterized,toll-like receptor 4,genome,1,-1,diploid_heat
LOC105344805,21.76675275,-2.217787813,0.556287529,3.14E-06,0.000123735,characterized,QRFP-like peptide receptor,genome,1,-1,diploid_heat
LOC105334004,38.14582662,-2.214470931,0.847729172,0.000296269,0.003891946,characterized,putative laccase-19,genome,1,-1,diploid_heat
LOC105325095,13.49055735,-2.158068056,0.775246549,0.000198688,0.002913159,characterized,L-proline trans-4-hydroxylase,genome,1,-1,diploid_heat
LOC105345603,149.8063415,-2.136770302,0.221398915,3.00E-23,3.75E-20,characterized,peptidyl-prolyl cis-trans isomerase B isoform X2,genome,1,-1,diploid_heat
LOC117692226,143.3649121,-2.110643141,0.470669667,3.53E-07,2.09E-05,characterized,SET domain-containing protein 4-like,genome,1,-1,diploid_heat
LOC105342747,19.58510288,-2.105236577,0.60150626,2.03E-05,0.000539646,characterized,ryncolin-1,genome,1,-1,diploid_heat
LOC105323700,19.02274811,-2.102697976,0.761818578,0.000215964,0.003103328,characterized,multiple epidermal growth factor-like domains protein 10 isoform X3,genome,1,-1,diploid_heat
LOC105330239,22.03650965,-2.08961697,0.691533311,9.92E-05,0.001766332,characterized,putative cuticle collagen 75,genome,1,-1,diploid_heat
LOC105336755,30.36288233,-2.071390034,0.523318098,3.61E-06,0.000137917,characterized,neurogenic differentiation factor 6-A,genome,1,-1,diploid_heat
LOC105332591,26.634004,-2.04116906,0.618190774,4.13E-05,0.000932602,characterized,choline transporter-like protein 1,genome,1,-1,diploid_heat
LOC105321102,27.10594955,-2.029071292,0.433320603,1.51E-07,1.03E-05,characterized,paired box protein Pax-6 isoform X1,genome,1,-1,diploid_heat
LOC105343572,14.43608809,-2.005727717,0.55336992,1.41E-05,0.000405783,characterized,chitin synthase chs-2 isoform X1,genome,1,-1,diploid_heat
LOC105324728,25.93223983,-1.991027824,0.746608753,0.000280546,0.003741544,characterized,cytochrome P450 2D20,genome,1,-1,diploid_heat
LOC105329085,614.1504894,-1.977704145,0.173578371,2.84E-31,8.88E-28,characterized,high mobility group-T protein,genome,1,-1,diploid_heat
LOC105334413,49.7311042,-1.959853545,0.644803777,9.79E-05,0.001745354,characterized,galanin receptor type 1-like,genome,1,-1,diploid_heat
LOC105347687,16.12259521,-1.953782377,0.573869375,3.11E-05,0.00074608,characterized,insulin-like peptide,genome,1,-1,diploid_heat
LOC105317965,208.244576,-1.941169587,0.373590272,1.10E-08,1.11E-06,characterized,CD109 antigen-like,genome,1,-1,diploid_heat
LOC105344085,2278.666809,-1.933916767,0.17699871,5.14E-29,1.20E-25,characterized,nucleolin isoform X1,genome,1,-1,diploid_heat
LOC117682508,455.1529412,-1.928347268,0.963981626,0.001248616,0.010548495,characterized,fucolectin-like,genome,1,-1,diploid_heat
LOC105318064,54.10036829,-1.920024723,0.520413304,1.07E-05,0.000325361,characterized,LOW QUALITY PROTEIN: alkaline phosphatase tissue-nonspecific isozyme,genome,1,-1,diploid_heat
LOC105331787,20.66988941,-1.918494733,0.911825007,0.001072173,0.009454298,characterized,multiple epidermal growth factor-like domains protein 10,genome,1,-1,diploid_heat
LOC105326972,24.71188776,-1.899071688,0.492786576,5.93E-06,0.000207531,characterized,ryncolin-1,genome,1,-1,diploid_heat
LOC105317867,52.40252193,-1.892520792,0.501429239,7.78E-06,0.000253128,characterized,growth hormone secretagogue receptor type 1,genome,1,-1,diploid_heat
LOC105323580,28.43993862,-1.887911631,0.41141176,2.42E-07,1.55E-05,characterized,single-minded homolog 2 isoform X2,genome,1,-1,diploid_heat
LOC117691511,31.48667074,-1.878798982,0.706792067,0.000299167,0.003914658,characterized,ryncolin-4-like,genome,1,-1,diploid_heat
LOC105327085,19.08267299,-1.875311681,0.720582811,0.000353387,0.004342136,characterized,beta-hexosaminidase-like,genome,1,-1,diploid_heat
LOC117688377,19.63555859,-1.875154481,0.772387777,0.000541622,0.005842782,characterized,angiopoietin-1 receptor-like,genome,1,-1,diploid_heat
LOC105334158,41.18305376,-1.861458124,0.405912175,2.44E-07,1.55E-05,characterized,nacrein-like protein,genome,1,-1,diploid_heat
LOC105325806,26.14905691,-1.859963427,0.638194158,0.000151119,0.002393628,characterized,A disintegrin and metalloproteinase with thrombospondin motifs 9,genome,1,-1,diploid_heat
LOC117688118,278.1423498,-1.858758563,0.616158241,0.000104835,0.001830757,characterized,heavy metal-binding protein HIP-like isoform X2,genome,1,-1,diploid_heat
LOC105320302,57.53142353,-1.858423345,0.459738686,2.70E-06,0.000110735,characterized,prolyl 4-hydroxylase subunit alpha-1,genome,1,-1,diploid_heat
LOC105318706,13.18705801,-1.84588307,0.500928357,1.17E-05,0.000347329,characterized,basic salivary proline-rich protein 1 isoform X1,genome,1,-1,diploid_heat
LOC105345976,19.48742247,-1.837362925,0.798312732,0.000746493,0.007344886,characterized,receptor-type tyrosine-protein phosphatase F,genome,1,-1,diploid_heat
LOC117680703,13.1624691,-1.830632794,0.591532181,9.11E-05,0.001655084,characterized,transmembrane protein 163-like isoform X2,genome,1,-1,diploid_heat
LOC117688064,177.0142457,-1.830361582,0.660096584,0.000221843,0.003156253,characterized,cerebellin-3-like isoform X1,genome,1,-1,diploid_heat
LOC105342627,74.58837173,-1.824807357,0.460027984,3.71E-06,0.000140729,characterized,serine/threonine-protein kinase BUR1,genome,1,-1,diploid_heat
LOC105333726,28.43340617,-1.808679379,0.594773443,0.000103151,0.001818293,characterized,probable insulin-like peptide 7,genome,1,-1,diploid_heat
LOC105331377,14.43069287,-1.808580383,0.485952426,1.05E-05,0.000322981,characterized,atrial natriuretic peptide receptor 1,genome,1,-1,diploid_heat
LOC105335164,15.18711695,-1.800394786,1.092504034,0.002438908,0.016988945,characterized,DEP domain-containing mTOR-interacting protein,genome,1,-1,diploid_heat
LOC117680327,45.66033835,-1.79918065,0.369228865,6.16E-08,4.85E-06,characterized,actin-85C-like isoform X1,genome,1,-1,diploid_heat
LOC105348097,29.23135441,-1.798885312,0.574127821,7.86E-05,0.00149389,characterized,antistasin,genome,1,-1,diploid_heat
LOC105325704,39.3304737,-1.796788023,0.577428236,8.40E-05,0.001563269,characterized,protein Wnt-16,genome,1,-1,diploid_heat
LOC105330090,13.75707777,-1.794772213,0.677335825,0.000327688,0.004159894,characterized,dimethylaniline monooxygenase [N-oxide-forming] 5,genome,1,-1,diploid_heat
LOC117681597,22.38048017,-1.793545062,0.553213791,5.61E-05,0.001174794,characterized,sodium-coupled monocarboxylate transporter 1-like,genome,1,-1,diploid_heat
LOC105319697,74.48343844,-1.782386762,0.214118997,5.60E-18,3.88E-15,characterized,sodium/calcium exchanger 3 isoform X3,genome,1,-1,diploid_heat
LOC105346602,25.36981557,-1.78147578,0.540298364,4.67E-05,0.001028153,characterized,aggrecan core protein-like,genome,1,-1,diploid_heat
LOC105342726,18.54941669,-1.774194837,0.742140745,0.000633649,0.006534567,characterized,delta-like protein 1,genome,1,-1,diploid_heat
LOC105335146,123.4310648,-1.764009787,0.551830907,6.36E-05,0.001281524,characterized,receptor-type tyrosine-protein phosphatase alpha,genome,1,-1,diploid_heat
LOC105345968,59.77281647,-1.763968819,0.453996656,5.29E-06,0.000188443,characterized,prostaglandin E2 receptor EP4 subtype,genome,1,-1,diploid_heat
LOC105329527,30.90040174,-1.763213906,0.738913786,0.000631609,0.006524308,characterized,sialin,genome,1,-1,diploid_heat
LOC117691483,20.30221001,-1.750890993,0.789177234,0.000922829,0.008529197,characterized,perlucin-like,genome,1,-1,diploid_heat
LOC105323826,124.2889066,-1.75002213,0.503051144,2.45E-05,0.000629276,characterized,melanopsin-B-like,genome,1,-1,diploid_heat
LOC105340472,67.02417913,-1.749434044,0.45164764,5.51E-06,0.000195393,characterized,actin-like,genome,1,-1,diploid_heat
LOC105322333,9.222137185,-1.746420964,0.374539474,2.15E-07,1.41E-05,characterized,blastula protease 10,genome,1,-1,diploid_heat
LOC105327436,46.7697324,-1.743973381,0.539862522,5.82E-05,0.001207275,characterized,universal stress protein PHOS34,genome,1,-1,diploid_heat
LOC117692235,30.03532326,-1.73046516,0.52714672,4.95E-05,0.001066886,characterized,toll-like receptor 4,genome,1,-1,diploid_heat
LOC105324726,15.73752343,-1.723137251,0.533729662,6.11E-05,0.001247833,characterized,toll-like receptor 2 type-1,genome,1,-1,diploid_heat
LOC105329537,12.87768088,-1.721910311,0.698786501,0.000557595,0.005967003,characterized,putative mediator of RNA polymerase II transcription subunit 26 isoform X1,genome,1,-1,diploid_heat
