gene,baseMean,log2FoldChange,lfcSE,pvalue,padj,cat,description,feature,count,plus_minus,analysis
LOC105318074,429.4727962,-3.938785608,0.374337686,2.94E-27,9.04E-24,characterized,perlucin-like protein,genome,1,-1,triploid_heat
LOC105320320,59.24757461,-3.487983739,0.625710914,8.76E-10,2.45E-07,characterized,complement C1q-like protein 4 isoform X2,genome,1,-1,triploid_heat
LOC105327216,51.22063602,-3.027926656,0.737312946,1.30E-06,0.000128008,characterized,complement C1q subcomponent subunit B-like,genome,1,-1,triploid_heat
LOC105321620,24.47499586,-2.604175851,0.64115999,1.80E-06,0.000168849,characterized,heavy metal-binding protein HIP,genome,1,-1,triploid_heat
LOC117686834,53.45795108,-2.525935824,0.552091894,1.80E-07,2.42E-05,characterized,perlucin-like protein isoform X1,genome,1,-1,triploid_heat
LOC105329127,84.1594668,-2.479133158,0.545554721,2.02E-07,2.64E-05,characterized,complement C1q tumor necrosis factor-related protein 3-like,genome,1,-1,triploid_heat
LOC105320276,323.1615881,-2.417346005,0.259488133,5.40E-22,8.30E-19,characterized,translation initiation factor IF-2-like isoform X7,genome,1,-1,triploid_heat
LOC105333638,45.60913267,-2.413409756,0.484023329,2.50E-08,4.44E-06,characterized,C-type lectin mannose-binding isoform-like isoform X2,genome,1,-1,triploid_heat
LOC105336630,29.65790914,-2.333886913,0.584898131,2.35E-06,0.00021414,characterized,complement C1q-like protein 4 isoform X1,genome,1,-1,triploid_heat
LOC117689844,31.92718767,-2.318573747,0.645925972,1.11E-05,0.000778786,characterized,microfibril-associated glycoprotein 4-like,genome,1,-1,triploid_heat
LOC117681472,29.1627312,-2.190105379,0.848298754,0.000265794,0.008323539,characterized,sacsin-like,genome,1,-1,triploid_heat
LOC105329085,674.9743109,-2.167631087,0.20277398,5.35E-28,2.47E-24,characterized,high mobility group-T protein,genome,1,-1,triploid_heat
LOC105330870,15.86902977,-2.11880836,0.716383433,0.000100842,0.004198697,characterized,nuclear receptor ROR-alpha A,genome,1,-1,triploid_heat
LOC117683620,18.80215487,-2.094945981,0.762997491,0.000186188,0.006479697,characterized,short-chain collagen C4-like,genome,1,-1,triploid_heat
LOC105339575,41.91382999,-2.093271902,0.292551937,3.78E-14,3.32E-11,characterized,betaine--homocysteine S-methyltransferase 1,genome,1,-1,triploid_heat
LOC105330265,124.1466179,-2.085565993,0.419906357,2.80E-08,4.88E-06,characterized,fibroleukin isoform X1,genome,1,-1,triploid_heat
LOC105342748,19.68339906,-2.077845458,0.368244965,8.52E-10,2.42E-07,characterized,microfibril-associated glycoprotein 4,genome,1,-1,triploid_heat
LOC105337779,13.97393016,-2.032912682,0.421070821,6.80E-08,1.04E-05,characterized,microfibril-associated glycoprotein 4,genome,1,-1,triploid_heat
LOC105326443,374.0643628,-1.989993522,0.457664632,5.34E-07,6.11E-05,characterized,perlucin-like protein,genome,1,-1,triploid_heat
LOC117682909,12.81479398,-1.939736796,0.612008228,5.17E-05,0.002551279,characterized,heavy metal-binding protein HIP-like isoform X1,genome,1,-1,triploid_heat
LOC117686727,30.53682009,-1.937617686,0.503768789,4.56E-06,0.000380471,characterized,short-chain collagen C4-like,genome,1,-1,triploid_heat
LOC105333234,33.94229882,-1.930114975,0.714894824,0.000198303,0.006736084,characterized,fibroleukin isoform X1,genome,1,-1,triploid_heat
LOC105346538,10.02983044,-1.921379605,0.747322035,0.000309603,0.009181075,characterized,clumping factor A,genome,1,-1,triploid_heat
LOC117681347,24.60080837,-1.921032451,0.3104549,2.84E-11,1.22E-08,characterized,phosphonoacetaldehyde hydrolase-like,genome,1,-1,triploid_heat
LOC105335714,846.3514231,-1.89470727,0.435857411,5.46E-07,6.18E-05,characterized,lectin BRA-3 isoform X4,genome,1,-1,triploid_heat
LOC105338755,329.9186524,-1.890886527,0.201627521,3.19E-22,6.54E-19,characterized,short-chain collagen C4-like,genome,1,-1,triploid_heat
LOCNA.11,152.4287174,-1.872819998,0.170848704,3.14E-29,1.93E-25,characterized,NA,NA,1,-1,triploid_heat
LOC105345449,76.22186515,-1.850556303,0.628469675,0.000103089,0.004245512,characterized,fucolectin-7-like,genome,1,-1,triploid_heat
LOC105326729,13.16569946,-1.822967712,0.459113017,2.93E-06,0.000256919,characterized,complement C1q-like protein 3,genome,1,-1,triploid_heat
LOC105344085,2246.798951,-1.806320969,0.169054419,7.46E-28,2.75E-24,characterized,nucleolin isoform X1,genome,1,-1,triploid_heat
LOC105340239,69.15727612,-1.802251149,0.279378808,5.19E-12,2.59E-09,characterized,A disintegrin and metalloproteinase with thrombospondin motifs gon-1,genome,1,-1,triploid_heat
LOC105317162,937.8071696,-1.787586218,0.252494383,6.44E-14,5.40E-11,characterized,adenosylhomocysteinase A,genome,1,-1,triploid_heat
LOC117681168,165.6822957,-1.728496638,0.331531876,8.21E-09,1.76E-06,characterized,complement C1q-like protein 3 isoform X2,genome,1,-1,triploid_heat
LOC117691511,42.04269686,-1.720731571,0.461044647,7.45E-06,0.000558459,characterized,ryncolin-4-like,genome,1,-1,triploid_heat
LOC105329128,101.4239536,-1.690823764,0.621308103,0.000201313,0.006788331,characterized,complement C1q tumor necrosis factor-related protein 3,genome,1,-1,triploid_heat
LOC105338367,20.81297961,-1.690069395,0.492316281,2.38E-05,0.001427149,characterized,interferon-induced protein 44-like,genome,1,-1,triploid_heat
LOC117684617,24.62716717,-1.684115132,0.478967035,1.70E-05,0.001105227,characterized,cilia- and flagella-associated protein 57-like,genome,1,-1,triploid_heat
LOC105348479,156.6576351,-1.665087977,0.381378548,5.40E-07,6.15E-05,characterized,very low-density lipoprotein receptor,genome,1,-1,triploid_heat
LOC105343727,48.09021226,-1.664807461,0.298884034,1.27E-09,3.39E-07,characterized,collagen alpha-3(VI) chain-like,genome,1,-1,triploid_heat
LOC105331115,19.62584595,-1.646506094,0.320554624,1.39E-08,2.85E-06,characterized,pyrroline-5-carboxylate reductase 3,genome,1,-1,triploid_heat
LOC105339247,74.30028263,-1.526167082,0.261050486,2.42E-10,7.98E-08,characterized,aldose 1-epimerase,genome,1,-1,triploid_heat
LOC105330939,10.47787138,-1.508132044,0.710555108,0.00092243,0.020040314,characterized,microfibril-associated glycoprotein 4-like,genome,1,-1,triploid_heat
LOC105323188,228.8126312,-1.494187851,0.496522747,9.44E-05,0.003993141,characterized,complement C1q tumor necrosis factor-related protein 3,genome,1,-1,triploid_heat
LOC105329069,1680.344431,-1.470495986,0.458731076,5.07E-05,0.002507596,characterized,L-rhamnose-binding lectin CSL3 isoform X1,genome,1,-1,triploid_heat
LOC117688218,39.23189128,-1.462523188,0.523852206,0.000181127,0.006363611,characterized,transmembrane GTPase Marf-like,genome,1,-1,triploid_heat
LOC105320582,21.00169317,-1.459372082,0.768998962,0.001388381,0.026778807,characterized,MAM and LDL-receptor class A domain-containing protein 1-like isoform X3,genome,1,-1,triploid_heat
LOC105330787,37.0846708,-1.456764279,0.283930362,1.47E-08,2.89E-06,characterized,N-acetylated-alpha-linked acidic dipeptidase 2,genome,1,-1,triploid_heat
LOC105341283,44.37279314,-1.41377849,0.573065355,0.000438823,0.011850789,characterized,complement C1q tumor necrosis factor-related protein 6,genome,1,-1,triploid_heat
LOC117687932,12.5715516,-1.402725326,0.602527179,0.000634653,0.015566728,characterized,multiple epidermal growth factor-like domains protein 10,genome,1,-1,triploid_heat
LOC105327017,67.13085342,-1.39656837,0.358402403,4.25E-06,0.000357999,characterized,universal stress protein in QAH/OAS sulfhydrylase 3'region,genome,1,-1,triploid_heat
LOC109617043,13.0046048,-1.354668876,0.487394712,0.000207891,0.006946655,characterized,heavy metal-binding protein HIP-like isoform X1,genome,1,-1,triploid_heat
LOC117687970,55.66258555,-1.347565875,0.484270133,0.000194332,0.006681908,characterized,perlucin-like protein isoform X2,genome,1,-1,triploid_heat
LOC105321744,14.30059253,-1.329427621,0.33272411,3.14E-06,0.000272289,characterized,endoplasmic reticulum aminopeptidase 1,genome,1,-1,triploid_heat
LOC105323271,182.9176487,-1.310313485,0.111689104,4.97E-33,4.58E-29,characterized,nucleolar protein of 40 kDa,genome,1,-1,triploid_heat
LOC105344671,424.4946681,-1.305000196,0.216800673,9.18E-11,3.60E-08,characterized,neuroendocrine convertase 1-like isoform X2,genome,1,-1,triploid_heat
LOC105325151,38.11731969,-1.290664181,0.312794847,1.79E-06,0.000168849,characterized,calmodulin-beta-like,genome,1,-1,triploid_heat
LOC117682916,20.17600727,-1.286016378,0.457117453,0.000190741,0.006613206,characterized,complement C1q tumor necrosis factor-related protein 3-like isoform X2,genome,1,-1,triploid_heat
LOC105347762,50.24130661,-1.282258632,0.294989781,6.87E-07,7.63E-05,characterized,kelch-like protein 10,genome,1,-1,triploid_heat
LOC105345603,131.5571922,-1.281172383,0.192646103,1.57E-12,9.33E-10,characterized,peptidyl-prolyl cis-trans isomerase B isoform X2,genome,1,-1,triploid_heat
LOC117682935,110.0804842,-1.278983722,0.456856015,0.000191916,0.006641442,characterized,heavy metal-binding protein HIP-like,genome,1,-1,triploid_heat
LOC105330682,31.23833874,-1.276308557,0.351091378,1.30E-05,0.000886693,characterized,regucalcin,genome,1,-1,triploid_heat
LOC117682926,96.71951838,-1.262494649,0.450659632,0.00019369,0.006677787,characterized,heavy metal-binding protein HIP-like,genome,1,-1,triploid_heat
LOC117682594,13.52583002,-1.261284579,0.599227315,0.001067508,0.02235558,characterized,complement C1q tumor necrosis factor-related protein 3-like,genome,1,-1,triploid_heat
LOC105347364,77.01473261,-1.257738151,0.260057423,6.95E-08,1.06E-05,characterized,adenosine kinase 2 isoform X1,genome,1,-1,triploid_heat
LOC105317849,21.76293662,-1.252128087,0.260024052,8.60E-08,1.26E-05,characterized,peroxisome proliferator-activated receptor alpha,genome,1,-1,triploid_heat
LOC105318706,26.21794278,-1.245470447,0.491839992,0.000416255,0.011408348,characterized,basic salivary proline-rich protein 1 isoform X1,genome,1,-1,triploid_heat
LOC105331867,102.5232716,-1.242059036,0.227545193,2.60E-09,6.56E-07,characterized,putative ammonium transporter 1,genome,1,-1,triploid_heat
LOC105334919,93.63624103,-1.236998357,0.427055205,0.000148076,0.005559937,characterized,fibrinogen C domain-containing protein 1 isoform X2,genome,1,-1,triploid_heat
LOC105328022,26.05897364,-1.230853113,0.432058193,0.000178803,0.006318066,characterized,nacrein-like protein isoform X1,genome,1,-1,triploid_heat
LOC117692915,19.90172848,-1.208048787,0.459678937,0.000336895,0.009785862,characterized,ammonium transporter 1 member 3-like isoform X2,genome,1,-1,triploid_heat
LOC105317495,14.60170253,-1.207434719,0.49085116,0.000521515,0.013491358,characterized,prolyl 4-hydroxylase subunit alpha-1,genome,1,-1,triploid_heat
LOC105336885,17.03545687,-1.19453728,0.238977007,3.58E-08,6.00E-06,characterized,prostaglandin reductase 1,genome,1,-1,triploid_heat
