"gene" "baseMean" "log2FoldChange" "lfcSE" "svalue" "description" "feature"
"LOC105326991" 16.5792264124546 7.05742474637339 0.761079167627979 1.48854654228242e-18 "dentin sialophosphoprotein" "genome"
"LOC105323395" 13.5409055450785 5.47575508810791 0.400981613622446 2.69002159169013e-35 "dentin sialophosphoprotein-like" "genome"
"LOC105346538" 14.2043772916683 4.33758431526429 0.583277341103721 9.08033161403842e-12 "clumping factor A" "genome"
"LOC105339624" 301.838133563139 3.89887839347797 0.369886395740129 2.48044000947124e-20 "uncharacterized protein LOC105339624" "genome"
"LOC105340504" 6.52451930400903 3.78111628395425 0.782351096512625 2.46902770976484e-06 "sperm-specific protein PHI-2B/PHI-3-like" "genome"
"LOC105324323" 8.3488603785718 3.37242642911758 0.217564494815832 1.40549015387791e-38 "GTP-binding protein SAR1 isoform X1" "genome"
"LOC117692755" 195.380439361693 3.30859612015696 0.373332384135747 1.13612256219118e-14 "uncharacterized protein LOC117692755" "genome"
"LOC105347073" 52.9342667967339 3.28811915692838 0.655631820620464 1.99479691369768e-06 "uncharacterized protein LOC105347073" "genome"
"LOC105343216" 108.115710628623 3.27222356629066 0.894003515849041 0.000209455367805796 "heat shock protein 27" "genome"
"LOC105346536" 135.209119479372 3.25155277314275 0.335310286654262 7.87198331019076e-17 "fibroin heavy chain isoform X1" "genome"
"LOC105322807" 47.7574285081808 3.10745023666697 0.37316021839302 6.8451033188679e-13 "uncharacterized protein LOC105322807" "genome"
"LOC117680491" 8.70481254897212 3.06675360135463 0.403925440147764 3.63651690966687e-11 "mucin-2-like" "genome"
"LOC105329166" 17.3177157455095 2.95669093302078 0.424571443421787 9.00194071644067e-10 "arginine kinase" "genome"
"LOC105339793" 29.7083165473025 2.94653125419566 0.460719075755027 1.08930542624725e-08 "protein PFC0760c" "genome"
"LOC117691793" 37.5210273360301 2.88839625390132 0.356255907104586 7.36355564158881e-12 "arginine kinase-like" "genome"
"LOC105335878" 9.0640359145095 2.88304568812943 0.38239714219463 8.31629610448225e-11 "nacrein-like protein precursor" "genome"
"LOC105328062" 35.5706000783453 2.81399810571433 0.517977072518744 7.31959493264794e-07 "baculoviral IAP repeat-containing protein 2" "genome"
"LOC105337716" 71.5748058108792 2.80032162143301 0.313091243161532 6.79544804004415e-14 "transcription factor jun-B isoform X1" "genome"
"LOC105333558" 6.66160262326705 2.78503494495067 0.570493182416379 6.87262511954189e-06 "asparagine-rich protein isoform X3" "genome"
"LOC105333327" 19.6058921075041 2.7158936895661 0.418123685008442 1.39546247395086e-08 "uncharacterized protein LOC105333327" "genome"
"LOC105321541" 679.280510943952 2.67232097721908 0.316937722458388 1.56139010976031e-12 "uncharacterized protein LOC105321541" "genome"
"LOC117689114" 681.68524325729 2.66597748602049 0.316552096699256 3.19739595417011e-12 "LOW QUALITY PROTEIN: uncharacterized protein LOC117689114" "genome"
"LOC105338672" 21.5949668643436 2.64466638391677 0.241944877005457 7.93243374642959e-19 "electroneutral sodium bicarbonate exchanger 1 isoform X2" "genome"
"LOC105319208" 408.643516657161 2.63813190165354 0.316159637434347 5.92700720190058e-12 "spliceosome RNA helicase DDX39B" "genome"
"LOC105330352" 478.694139374594 2.59814366439803 0.405807061392555 2.85607063325776e-08 "uncharacterized protein LOC105330352" "genome"
"LOC105318645" 11.2368341094656 2.56516144414611 0.43890008890567 2.85072225548958e-07 "myb-like protein X isoform X1" "genome"
"LOC105318831" 55.5827151547282 2.54979009815372 0.465373818661597 1.27123641325719e-06 "epithelial membrane protein 3" "genome"
"LOC105348733" 98.3459706944041 2.53500149080072 0.68508595666705 0.000425758684054726 "G2/mitotic-specific cyclin-A" "genome"
"LOC105330030" 516.388786648019 2.5326516689591 0.400682669538031 3.83133823659421e-08 "uncharacterized protein LOC105330030" "genome"
"LOC105343643" 270.338454652147 2.51832012133351 0.611623949520487 0.000101001716039219 "complement C1q tumor necrosis factor-related protein 7" "genome"
