,Label,meanA,OD,GSH,weights,protein_content,standardization,Protein (mg/ul),CS activity (nmol/(mg*min)),ploidy,trt
1,D54,0.148,0.017,5.539,13.600,299.333,0.039,0.008,0.320,D,D-control
2,M42,0.371,0.092,11.708,23.200,1010.533,0.066,0.015,0.341,D,D-heat
3,M43,0.493,0.051,8.333,20.400,823.556,0.058,0.014,0.262,D,D-heat
4,M46,0.185,0.017,5.539,22.700,656.800,0.065,0.010,0.243,D,D-control
5,M48,0.172,0.030,6.618,14.900,724.933,0.043,0.017,0.173,D,D-control
6,M49,0.166,0.019,5.705,16.800,476.667,0.048,0.010,0.255,D,D-control
7,M90,0.211,0.024,6.120,25.200,1189.733,0.072,0.017,0.165,D,D-control
8,N41,0.249,0.007,4.681,17.900,503.111,0.051,0.010,0.211,D,D-heat
9,N42,0.193,0.038,7.226,19.600,1015.822,0.056,0.018,0.177,D,D-heat
10,N43,0.127,0.020,5.732,11.000,119.200,0.031,0.004,0.672,D,D-heat
11,N47,0.187,0.027,6.369,17.800,697.244,0.051,0.014,0.206,D,D-heat
12,N49,0.133,0.021,5.871,9.300,17.778,0.027,0.001,3.900,D,D-desiccation
13,N57,0.240,0.022,5.898,7.500,891.689,0.021,0.042,0.063,D,D-desiccation
14,N59,0.165,0.032,6.728,13.400,521.467,0.038,0.014,0.220,D,D-desiccation
15,R58,0.223,0.037,7.143,10.700,788.089,0.031,0.026,0.123,T,T-desiccation
16,R60,0.148,0.022,5.954,6.400,-70.578,0.018,-0.004,-0.686,T,T-desiccation
17,R62,0.212,0.025,6.147,8.300,201.644,0.024,0.009,0.321,T,T-desiccation
18,R78,0.289,0.030,6.618,17.600,1010.222,0.050,0.020,0.146,T,T-heat
19,T55,0.191,0.027,6.341,14.400,529.867,0.041,0.013,0.219,T,T-control
20,T57,0.234,0.021,5.815,11.500,541.378,0.033,0.016,0.157,T,T-control
21,X41,0.265,0.033,6.867,13.000,645.911,0.037,0.017,0.175,T,T-heat
22,X45,0.204,0.021,5.871,11.800,559.733,0.034,0.017,0.157,T,T-control
23,X47,0.383,0.011,4.985,39.000,1210.267,0.111,0.011,0.204,T,T-control
24,X48,0.307,0.002,4.294,21.400,917.200,0.061,0.015,0.127,T,T-control
