"gene" "baseMean" "log2FoldChange" "lfcSE" "pvalue" "padj" "cat" "description" "feature" "count" "plus_minus" "analysis"
"LOC105324591" 19.135957742707 3.86318641178389 0.683361587961218 7.03430678770372e-10 1.21992525922614e-06 "characterized" "multiple epidermal growth factor-like domains protein 11 isoform X1" "genome" 1 "1" "desiccation_ploidy"
"LOC117687700" 29.2624384397722 3.18625346683196 0.564670193672187 7.46308814680398e-10 1.21992525922614e-06 "characterized" "transient receptor potential cation channel subfamily M member-like 2 isoform X2" "genome" 1 "1" "desiccation_ploidy"
"LOC117690820" 5.49841670252354 2.82800999509135 0.564309486878971 4.61345468684664e-08 2.9118588165147e-05 "characterized" "integrase/recombinase xerD homolog" "genome" 1 "1" "desiccation_ploidy"
"LOC117682228" 10.0311786827339 2.80057632143144 0.735829258893749 5.31348081761562e-06 0.00111789732535058 "characterized" "interaptin-like" "genome" 1 "1" "desiccation_ploidy"
"LOC105329127" 37.7153888355901 2.57334557985585 0.527292214343534 3.89259424146213e-08 2.65032170222345e-05 "characterized" "complement C1q tumor necrosis factor-related protein 3-like" "genome" 1 "1" "desiccation_ploidy"
"LOC105326104" 12.2160901928857 2.51928656220293 0.88115143005192 0.000114614909709535 0.0100549239859032 "characterized" "cytochrome P450 2B2-like" "genome" 1 "1" "desiccation_ploidy"
"LOC105322227" 51.7359169465702 2.48821551777984 0.715078602969445 1.56708714933223e-05 0.00255799958384532 "characterized" "low-density lipoprotein receptor-related protein 4" "genome" 1 "1" "desiccation_ploidy"
"LOC105328676" 9.20114445763965 2.42281383887322 0.597920253224664 1.98528137278e-06 0.000529454968923792 "characterized" "transmembrane protein 26-like" "genome" 1 "1" "desiccation_ploidy"
"LOC105325689" 18.6443725738234 2.35787417612096 0.717388533432552 3.27148531198443e-05 0.00430177599877952 "characterized" "low-density lipoprotein receptor-related protein 4-like isoform X2" "genome" 1 "1" "desiccation_ploidy"
"LOC105324626" 25.0174462016903 2.24912353292436 0.523266383198152 7.03117565730079e-07 0.000256029444367289 "characterized" "protocadherin Fat 1" "genome" 1 "1" "desiccation_ploidy"
"LOC105337786" 16.1624034664363 2.20470353683648 0.726109161633563 7.14455636859011e-05 0.00759636285529692 "characterized" "neuropeptide SIFamide receptor" "genome" 1 "1" "desiccation_ploidy"
"LOC105328812" 15.266305419771 1.98400651860605 0.546784348613298 1.0357626080991e-05 0.00176686171030239 "characterized" "microfibril-associated glycoprotein 4 isoform X1" "genome" 1 "1" "desiccation_ploidy"
"LOC105336491" 51.7722844578702 1.93773636706451 0.471093271319159 1.48245836807142e-06 0.000428664237490406 "characterized" "multiple epidermal growth factor-like domains protein 6 isoform X3" "genome" 1 "1" "desiccation_ploidy"
"LOC105331456" 22.8463648698565 1.90755960593344 0.616176660149426 6.33966903993963e-05 0.00689894444087684 "characterized" "organic cation transporter protein" "genome" 1 "1" "desiccation_ploidy"
"LOC117683634" 25.2399883681584 1.89150817571352 0.500694728372698 5.70656068308592e-06 0.00118071394690547 "characterized" "sarcoplasmic calcium-binding protein-like" "genome" 1 "1" "desiccation_ploidy"
"LOC105327547" 228.844004178341 1.8197451645477 0.317983314171689 4.65899559888532e-10 1.10272602081117e-06 "characterized" "metalloproteinase inhibitor 3" "genome" 1 "1" "desiccation_ploidy"
"LOC109619522" 22.4732145908429 1.7823298598668 0.541245564638913 3.39438909607487e-05 0.00434275388744444 "characterized" "sarcoplasmic calcium-binding protein-like" "genome" 1 "1" "desiccation_ploidy"
"LOC105327950" 13.1169629486074 1.77681749301344 0.761093332007391 0.000511539081138146 0.0266098695092055 "characterized" "putative T-box protein 7 isoform X1" "genome" 1 "1" "desiccation_ploidy"
"LOC105320489" 7.3698105636514 1.77642597239931 0.673917479048827 0.000290574566004824 0.0184592142021892 "characterized" "formin-like protein 14" "genome" 1 "1" "desiccation_ploidy"
"LOC105346734" 48.5702869871624 1.75118501836572 0.330471619026208 5.15158055243862e-09 5.41917654224585e-06 "characterized" "interferon alpha-inducible protein 27-like protein 2B isoform X2" "genome" 1 "1" "desiccation_ploidy"
"LOC117687008" 43.8396495339623 1.71127902334848 0.729206825670382 0.000489812183280736 0.0258641542854785 "characterized" "transmembrane GTPase Marf-like isoform X1" "genome" 1 "1" "desiccation_ploidy"
"LOC105332245" 15.8117422393532 1.68356046796152 0.561795087138521 9.62609064654568e-05 0.00911350131961713 "characterized" "laccase-24" "genome" 1 "1" "desiccation_ploidy"
"LOC109618433" 12.3684965223598 1.68183617358833 0.707751319838534 0.000488300380672858 0.0258641542854785 "characterized" "heat shock 70 kDa protein 12B" "genome" 1 "1" "desiccation_ploidy"
"LOC117686834" 50.1482759353947 1.66535336008465 0.670372824986844 0.000368488569230158 0.0213592216103832 "characterized" "perlucin-like protein isoform X1" "genome" 1 "1" "desiccation_ploidy"
"LOC105335514" 9.73252043665908 1.66257538935656 0.641213786368721 0.000291486931420891 0.0184592142021892 "characterized" "ALX homeobox protein 1" "genome" 1 "1" "desiccation_ploidy"
"LOC117686992" 21.0059744764077 1.65135091214621 0.816080806551152 0.000962780945746884 0.0385417699951739 "characterized" "cell death abnormality protein 1-like" "genome" 1 "1" "desiccation_ploidy"
